"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM25","NO2"
"01/01/2015","61","PM2.5","Livermore","06-001-0007","AQS","15","31","1","61","37"
"01/02/2015","76","PM2.5","Oakland West","06-001-0011","AQS","19","25","7","76","41"
"01/03/2015","96","PM2.5","Oakland West","06-001-0011","AQS","20","19","4","96","36"
"01/04/2015","99","PM2.5","Oakland West","06-001-0011","AQS","30","25","3","99","42"
"01/05/2015","91","PM2.5","Livermore","06-001-0007","AQS","19","28","6","91","50"
"01/06/2015","102","PM2.5","Oakland West","06-001-0011","AQS","19","30","30","102","53"
"01/07/2015","79","PM2.5","Oakland West","06-001-0011","AQS","19","24","4","79","54"
"01/08/2015","109","PM2.5","Oakland West","06-001-0011","AQS","20","19","16","109","51"
"01/09/2015","91","PM2.5","Laney College","06-001-0012","AQS","16","7","4","91","45"
"01/10/2015","72","PM2.5","Livermore","06-001-0007","AQS","11","16","3","72","34"
"01/11/2015","70","PM2.5","Livermore","06-001-0007","AQS","11","19","1","70","25"
"01/12/2015","57","PM2.5","Oakland","06-001-0009","AQS","14","14","1","57","34"
"01/13/2015","53","PM2.5","Oakland West","06-001-0011","AQS","19","26","3","53","41"
"01/14/2015","81","PM2.5","Livermore","06-001-0007","AQS","13","19","1","81","30"
"01/15/2015","102","PM2.5","Oakland West","06-001-0011","AQS","16","20","3","102","42"
"01/16/2015","95","PM2.5","Oakland West","06-001-0011","AQS","13","16","4","95","43"
"01/17/2015","64","PM2.5","Laney College","06-001-0012","AQS","8","17","3","64","29"
"01/18/2015","58","PM2.5","Oakland West","06-001-0011","AQS","8","11","1","58","21"
"01/19/2015","44","PM2.5","Oakland West","06-001-0011","AQS","9","17","1","44","25"
"01/20/2015","60","PM2.5","Oakland West","06-001-0011","AQS","15","15","3","60","26"
"01/21/2015","55","PM2.5","Livermore","06-001-0007","AQS","16","19","3","55","38"
"01/22/2015","65","PM2.5","Oakland West","06-001-0011","AQS","10","11","3","65","29"
"01/23/2015","72","PM2.5","Oakland West","06-001-0011","AQS","14","24","4","72","44"
"01/24/2015","71","PM2.5","Oakland West","06-001-0011","AQS","11","24","3","71","27"
"01/25/2015","71","PM2.5","Oakland West","06-001-0011","AQS","18","21","4","71","32"
"01/26/2015","67","PM2.5","Oakland West","06-001-0011","AQS","23","19","4","67","42"
"01/27/2015","49","PM2.5","Oakland West","06-001-0011","AQS","14","23","3","49","43"
"01/28/2015","62","PM2.5","Oakland","06-001-0009","AQS","23","28","7","62","41"
"01/29/2015","60","PM2.5","Laney College","06-001-0012","AQS","13","27","4","60","42"
"01/30/2015","54","PM2.5","Oakland West","06-001-0011","AQS","13","17","1","54","29"
"01/31/2015","42","PM2.5","Oakland West","06-001-0011","AQS","15","32","3","42","33"
"02/01/2015","62","PM2.5","Oakland West","06-001-0011","AQS","11","19","4","62","30"
"02/02/2015","82","PM2.5","Oakland West","06-001-0011","AQS","16","25","3","82","43"
"02/03/2015","74","PM2.5","Livermore","06-001-0007","AQS","14","17","11","74","38"
"02/04/2015","77","PM2.5","Oakland","06-001-0009","AQS","17","22","4","77","39"
"02/05/2015","47","PM2.5","Livermore","06-001-0007","AQS","7","29","1","47","33"
"02/06/2015","28","Ozone","Oakland West","06-001-0011","AQS","6","28","0","21","22"
"02/07/2015","29","PM2.5","Laney College","06-001-0012","AQS","7","25","0","29","24"
"02/08/2015","36","Ozone","Oakland","06-001-0009","AQS","7","36","0","18","19"
"02/09/2015","45","PM2.5","Laney College","06-001-0012","AQS","7","33","0","45","25"
"02/10/2015","37","NO2","Laney College","06-001-0012","AQS","11","30","21","35","37"
"02/11/2015","40","PM2.5","Oakland West","06-001-0011","AQS","15","23","7","40","32"
"02/12/2015","52","PM2.5","Laney College","06-001-0012","AQS","11","28","1","52","39"
"02/13/2015","58","PM2.5","Laney College","06-001-0012","AQS","18","28","3","58","43"
"02/14/2015","48","PM2.5","Oakland West","06-001-0011","AQS","11","27","4","48","33"
"02/15/2015","54","PM2.5","Oakland West","06-001-0011","AQS","18","28","3","54","34"
"02/16/2015","52","PM2.5","Oakland West","06-001-0011","AQS","16","35","3","52","31"
"02/17/2015","50","PM2.5","Laney College","06-001-0012","AQS","7","37","0","50","28"
"02/18/2015","52","PM2.5","Livermore","06-001-0007","AQS","8","35","1","52","32"
"02/19/2015","63","PM2.5","Oakland","06-001-0009","AQS","8","19","6","63","29"
"02/20/2015","52","PM2.5","Oakland","06-001-0009","AQS","8","29","6","52","33"
"02/21/2015","53","PM2.5","Oakland West","06-001-0011","AQS","14","29","3","53","25"
"02/22/2015","33","Ozone","Oakland West","06-001-0011","AQS","8","33","1","28","20"
"02/23/2015","36","NO2","Oakland West","06-001-0011","AQS","6","35","3","21","36"
"02/24/2015","42","NO2","Oakland West","06-001-0011","AQS","10","32","4","37","42"
"02/25/2015","52","PM2.5","Oakland West","06-001-0011","AQS","10","29","9","52","36"
"02/26/2015","47","PM2.5","Oakland","06-001-0009","AQS","11","30","1","47","31"
"02/27/2015","34","Ozone","Livermore","06-001-0007","AQS","6","34","0","21","32"
"02/28/2015","32","Ozone","Oakland West","06-001-0011","AQS","8","32","1","28","30"
"03/01/2015","35","PM2.5","Oakland West","06-001-0011","AQS",".","30","1","35","28"
"03/02/2015","43","PM2.5","Oakland West","06-001-0011","AQS","10","38","1","43","31"
"03/03/2015","52","PM2.5","Oakland West","06-001-0011","AQS","11","31","4","52","42"
"03/04/2015","53","PM2.5","Oakland West","06-001-0011","AQS","10","35","21","53","42"
