"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2015","108","PM2.5","Willits-125 East Commercial Street","06-045-2002","AQS","20",".","108"
"01/02/2015","85","PM2.5","Willits-125 East Commercial Street","06-045-2002","AQS","16",".","85"
"01/03/2015","64","PM2.5","Ukiah-Library","06-045-0006","AQS","11",".","64"
"01/04/2015","66","PM2.5","Willits-125 East Commercial Street","06-045-2002","AQS","13",".","66"
"01/05/2015","64","PM2.5","Willits-125 East Commercial Street","06-045-2002","AQS","9",".","64"
"01/06/2015","65","PM2.5","Willits-125 East Commercial Street","06-045-2002","AQS","11",".","65"
"01/07/2015","70","PM2.5","Willits-125 East Commercial Street","06-045-2002","AQS","11",".","70"
"01/08/2015","67","PM2.5","Willits-125 East Commercial Street","06-045-2002","AQS","5","10","67"
"01/09/2015","61","PM2.5","Willits-125 East Commercial Street","06-045-2002","AQS","8","15","61"
"01/10/2015","76","PM2.5","Willits-125 East Commercial Street","06-045-2002","AQS","6","11","76"
"01/11/2015","56","PM2.5","Willits-125 East Commercial Street","06-045-2002","AQS","14","6","56"
"01/12/2015","23","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","23","6","."
"01/13/2015","35","PM2.5","Ukiah-Library","06-045-0006","AQS","15","7","35"
"01/14/2015","45","PM2.5","Ukiah-Library","06-045-0006","AQS","15","6","45"
"01/15/2015","58","PM2.5","Ukiah-Library","06-045-0006","AQS","6","15","58"
"01/16/2015","60","PM2.5","Ukiah-Library","06-045-0006","AQS","14","9","60"
"01/17/2015","36","PM2.5","Ukiah-Library","06-045-0006","AQS","7","2","36"
"01/18/2015","23","PM2.5","Willits-125 East Commercial Street","06-045-2002","AQS","13","9","23"
"01/19/2015","20","PM2.5","Willits-125 East Commercial Street","06-045-2002","AQS","16","11","20"
"01/20/2015","26","PM2.5","Willits-125 East Commercial Street","06-045-2002","AQS","11","3","26"
"01/21/2015","45","PM2.5","Ukiah-Library","06-045-0006","AQS","12","6","45"
