"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2015","43","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","43","."
"01/02/2015","43","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","43","."
"01/03/2015","46","PM2.5","Truckee-Fire Station","06-057-1001","AQS","41","46"
"01/04/2015","40","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","40","."
"01/05/2015","38","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","38","."
"01/06/2015","41","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","41","31"
"01/07/2015","41","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","41","."
"01/08/2015","37","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","37","."
"01/09/2015","56","PM2.5","Truckee-Fire Station","06-057-1001","AQS","35","56"
"01/10/2015","46","PM2.5","Grass Valley-Litton Building","06-057-0005","AQS","31","46"
"01/11/2015","32","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","32","."
"01/12/2015","42","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","42","24"
"01/13/2015","43","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","43","10"
"01/14/2015","38","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","38","."
"01/15/2015","42","PM2.5","Truckee-Fire Station","06-057-1001","AQS","37","42"
"01/16/2015","40","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","40","."
"01/17/2015","33","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","33","."
"01/18/2015","29","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","29","18"
"01/19/2015","31","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","31","."
"01/20/2015","41","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","41","."
"01/21/2015","41","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","41","28"
"01/22/2015","45","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","45","."
"01/23/2015","46","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","46","."
"01/24/2015","47","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","47","31"
"01/25/2015","42","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","42","."
"01/26/2015","41","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","41","."
"01/27/2015","45","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","45","22"
"01/28/2015","47","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","47","."
"01/29/2015","41","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","41","."
"01/30/2015","43","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","43","20"
