"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2015","94","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","27","94"
"01/02/2015","80","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","27","80"
"01/03/2015","86","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","27","86"
"01/04/2015","88","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","24","88"
"01/05/2015","75","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","18","75"
"01/06/2015","67","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","18","67"
"01/07/2015","66","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","19","66"
"01/08/2015","67","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","13","67"
"01/09/2015","54","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","16","54"
"01/10/2015","51","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","27","51"
"01/11/2015","60","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","25","60"
"01/12/2015","41","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","17","41"
"01/13/2015","56","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","21","56"
"01/14/2015","58","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","26","58"
"01/15/2015","56","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","26","56"
"01/16/2015","40","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","24","40"
"01/17/2015","51","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","21","51"
"01/18/2015","42","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","17","42"
"01/19/2015","35","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","14","35"
"01/20/2015","40","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","16","40"
"01/21/2015","54","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","19","54"
"01/22/2015","50","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","16","50"
"01/23/2015","43","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","22","43"
"01/24/2015","59","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","26","59"
"01/25/2015","57","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","31","57"
"01/26/2015","48","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","19","48"
"01/27/2015","32","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","28","32"
"01/28/2015","35","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","31","35"
"01/29/2015","54","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","27","54"
"01/30/2015","38","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","23","38"
"01/31/2015","41","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","27","41"
"02/01/2015","54","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","31","54"
"02/02/2015","44","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","26","44"
"02/03/2015","42","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","28","42"
"02/04/2015","40","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","33","40"
"02/05/2015","30","Ozone","Santa Cruz","06-087-0007","AQS","30","20"
"02/06/2015","31","PM2.5","Santa Cruz","06-087-0007","AQS","27","31"
"02/07/2015","25","Ozone","Santa Cruz","06-087-0007","AQS","25","8"
"02/08/2015","30","Ozone","Santa Cruz","06-087-0007","AQS","30","20"
"02/09/2015","33","PM2.5","Santa Cruz","06-087-0007","AQS","30","33"
"02/10/2015","27","Ozone","Santa Cruz","06-087-0007","AQS","27","19"
"02/11/2015","25","Ozone","Santa Cruz","06-087-0007","AQS","25","20"
