"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2015","82","PM2.5","Ontario-Route 60 Near Road","06-071-0027","AQS","17","40","3","39","82","42"
"01/02/2015","87","PM2.5","Ontario-Route 60 Near Road","06-071-0027","AQS","16","37","4","39","87","51"
"01/03/2015","112","PM2.5","Ontario-Route 60 Near Road","06-071-0027","AQS","17","37","4","71","112","42"
"01/04/2015","92","PM2.5","Ontario-Route 60 Near Road","06-071-0027","AQS","20","36","3","32","92","45"
"01/05/2015","51","PM2.5","Ontario-Route 60 Near Road","06-071-0027","AQS","11","39","4","31","51","46"
"01/06/2015","66","PM2.5","Big Bear","06-071-8001","AQS","11","35","4","25","66","46"
"01/07/2015","51","PM2.5","Ontario-Route 60 Near Road","06-071-0027","AQS","13","32","6","25","51","45"
"01/08/2015","57","PM2.5","Upland","06-071-1004","AQS","14","34","3","36","57","48"
"01/09/2015","106","PM2.5","Fontana","06-071-2002","AQS","19","41","3","49","106","60"
"01/10/2015","125","PM2.5","Ontario-Route 60 Near Road","06-071-0027","AQS","20","50","3","33","125","42"
"01/11/2015","103","PM2.5","Ontario-Route 60 Near Road","06-071-0027","AQS","15","41","1","24","103","33"
"01/12/2015","83","PM2.5","Ontario-Route 60 Near Road","06-071-0027","AQS","15","34","3","25","83","41"
"01/13/2015","89","PM2.5","Upland","06-071-1004","AQS","16","39","1","33","89","38"
"01/14/2015","44","NO2","Ontario Near Road (Etiwanda)","06-071-0026","AQS","14","35","3","17","34","44"
"01/15/2015","49","NO2","Ontario Near Road (Etiwanda)","06-071-0026","AQS","15","35","6","19","42","49"
"01/16/2015","50","NO2","Ontario Near Road (Etiwanda)","06-071-0026","AQS","18","38","3","24","43","50"
"01/17/2015","45","PM2.5","Crestline","06-071-0005","AQS","18","40","1","19","45","43"
"01/18/2015","70","PM2.5","Big Bear","06-071-8001","AQS","18","39","1","30","70","45"
"01/19/2015","89","PM2.5","Upland","06-071-1004","AQS","22","39","3","42","89","74"
"01/20/2015","134","PM2.5","Upland","06-071-1004","AQS","24","40","3","58","134","68"
"01/21/2015","100","PM2.5","Upland","06-071-1004","AQS","20","43","3","44","100","42"
"01/22/2015","48","NO2","Ontario Near Road (Etiwanda)","06-071-0026","AQS","16","39","3","23","11","48"
"01/23/2015","42","NO2","Ontario Near Road (Etiwanda)","06-071-0026","AQS","18","40","3","20","15","42"
"01/24/2015","42","Ozone","Fontana","06-071-2002","AQS","14","42","1","26","24","35"
"01/25/2015","57","PM2.5","Ontario-Route 60 Near Road","06-071-0027","AQS","16","42","1","19","57","35"
"01/26/2015","56","PM2.5","Ontario-Route 60 Near Road","06-071-0027","AQS","19","33","1","22","56","47"
"01/27/2015","62","PM2.5","Ontario-Route 60 Near Road","06-071-0027","AQS","20","32","1","14","62","42"
"01/28/2015","62","PM2.5","Ontario-Route 60 Near Road","06-071-0027","AQS","20","38","1","16","62","36"
"01/29/2015","42","PM2.5","Ontario-Route 60 Near Road","06-071-0027","AQS","7","33","1","12","42","35"
"01/30/2015","44","PM2.5","Crestline","06-071-0005","AQS","6","32","1","11","44","42"
"01/31/2015","56","PM2.5","Upland","06-071-1004","AQS","23","33","1","18","56","34"
