"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2015","76","PM2.5","San Rafael","06-041-0001","AQS","8","25",".","76","27"
"01/02/2015","82","PM2.5","San Rafael","06-041-0001","AQS","8","23",".","82","30"
"01/03/2015","89","PM2.5","San Rafael","06-041-0001","AQS","9","21",".","89","33"
"01/04/2015","91","PM2.5","San Rafael","06-041-0001","AQS","9","28",".","91","36"
"01/05/2015","78","PM2.5","San Rafael","06-041-0001","AQS","9","26",".","78","37"
"01/06/2015","84","PM2.5","San Rafael","06-041-0001","AQS","9","20","27","84","37"
"01/07/2015","63","PM2.5","San Rafael","06-041-0001","AQS","9","19",".","63","35"
"01/08/2015","99","PM2.5","San Rafael","06-041-0001","AQS","8","15",".","99","34"
"01/09/2015","71","PM2.5","San Rafael","06-041-0001","AQS","8","10",".","71","28"
"01/10/2015","66","PM2.5","San Rafael","06-041-0001","AQS","7","16",".","66","25"
"01/11/2015","60","PM2.5","San Rafael","06-041-0001","AQS","7","11",".","60","19"
"01/12/2015","45","PM2.5","San Rafael","06-041-0001","AQS","7","10","8","45","27"
"01/13/2015","47","PM2.5","San Rafael","06-041-0001","AQS","9","18",".","47","30"
"01/14/2015","99","PM2.5","San Rafael","06-041-0001","AQS","8","22",".","99","32"
"01/15/2015","103","PM2.5","San Rafael","06-041-0001","AQS","7","14",".","103","27"
"01/16/2015","102","PM2.5","San Rafael","06-041-0001","AQS","7","5",".","102","25"
"01/17/2015","70","PM2.5","San Rafael","06-041-0001","AQS","6","18",".","70","18"
"01/18/2015","66","PM2.5","San Rafael","06-041-0001","AQS","7","8","14","66","16"
"01/19/2015","57","PM2.5","San Rafael","06-041-0001","AQS","7","12",".","57","16"
"01/20/2015","56","PM2.5","San Rafael","06-041-0001","AQS","8","10",".","56","25"
"01/21/2015","61","PM2.5","San Rafael","06-041-0001","AQS","8","18",".","61","29"
"01/22/2015","77","PM2.5","San Rafael","06-041-0001","AQS","8","14",".","77","23"
"01/23/2015","75","PM2.5","San Rafael","06-041-0001","AQS","8","14",".","75","30"
"01/24/2015","90","PM2.5","San Rafael","06-041-0001","AQS","8","13","25","90","21"
"01/25/2015","75","PM2.5","San Rafael","06-041-0001","AQS","6","19",".","75","25"
"01/26/2015","77","PM2.5","San Rafael","06-041-0001","AQS","7","17",".","77","28"
"01/27/2015","47","PM2.5","San Rafael","06-041-0001","AQS","7","31",".","47","25"
"01/28/2015","60","PM2.5","San Rafael","06-041-0001","AQS","8","25",".","60","25"
"01/29/2015","54","PM2.5","San Rafael","06-041-0001","AQS","8","25",".","54","29"
"01/30/2015","55","PM2.5","San Rafael","06-041-0001","AQS","7","10","17","55","23"
"01/31/2015","42","PM2.5","San Rafael","06-041-0001","AQS","7","29",".","42","35"
"02/01/2015","66","PM2.5","San Rafael","06-041-0001","AQS","8","19",".","66","27"
"02/02/2015","88","PM2.5","San Rafael","06-041-0001","AQS","8","26",".","88","32"
"02/03/2015","63","PM2.5","San Rafael","06-041-0001","AQS","7","19",".","63","26"
"02/04/2015","91","PM2.5","San Rafael","06-041-0001","AQS","8","32",".","91","28"
"02/05/2015","41","PM2.5","San Rafael","06-041-0001","AQS","3","30","11","41","24"
"02/06/2015","31","PM2.5","San Rafael","06-041-0001","AQS","3","29",".","31","10"
"02/07/2015","48","PM2.5","San Rafael","06-041-0001","AQS","5","25",".","48","15"
"02/08/2015","46","PM2.5","San Rafael","06-041-0001","AQS","6","38",".","46","16"
"02/09/2015","55","PM2.5","San Rafael","06-041-0001","AQS","5","34",".","55","20"
"02/10/2015","38","PM2.5","San Rafael","06-041-0001","AQS","7","20",".","38","27"
"02/11/2015","45","PM2.5","San Rafael","06-041-0001","AQS","7","23","10","45","29"
"02/12/2015","49","PM2.5","San Rafael","06-041-0001","AQS","8","26",".","49","28"
"02/13/2015","52","PM2.5","San Rafael","06-041-0001","AQS",".","28",".","52","29"
"02/14/2015","48","PM2.5","San Rafael","06-041-0001","AQS","7","27",".","48","25"
"02/15/2015","43","PM2.5","San Rafael","06-041-0001","AQS","7","30",".","43","24"
"02/16/2015","50","PM2.5","San Rafael","06-041-0001","AQS","6","33",".","50","24"
"02/17/2015","56","PM2.5","San Rafael","06-041-0001","AQS","5","34","12","56","18"
"02/18/2015","53","PM2.5","San Rafael","06-041-0001","AQS","5","28",".","53","16"
"02/19/2015","62","PM2.5","San Rafael","06-041-0001","AQS","5","20",".","62","18"
"02/20/2015","52","PM2.5","San Rafael","06-041-0001","AQS","6","22",".","52","20"
"02/21/2015","54","PM2.5","San Rafael","06-041-0001","AQS","6","29",".","54","19"
"02/22/2015","33","Ozone","San Rafael","06-041-0001","AQS","5","33",".","32","17"
"02/23/2015","36","Ozone","San Rafael","06-041-0001","AQS","5","36","11","30","26"
"02/24/2015","42","PM2.5","San Rafael","06-041-0001","AQS","6","29",".","42","41"
"02/25/2015","53","PM2.5","San Rafael","06-041-0001","AQS","6","31",".","53","25"
"02/26/2015","53","PM2.5","San Rafael","06-041-0001","AQS","7","31",".","53","26"
"02/27/2015","35","PM2.5","San Rafael","06-041-0001","AQS","3","33",".","35","7"
"02/28/2015","32","Ozone","San Rafael","06-041-0001","AQS","3","32",".","26","19"
"03/01/2015","34","PM2.5","San Rafael","06-041-0001","AQS",".","31","6","34","19"
"03/02/2015","43","PM2.5","San Rafael","06-041-0001","AQS","6","34",".","43","31"
"03/03/2015","42","PM2.5","San Rafael","06-041-0001","AQS",".",".",".","42","26"
"03/04/2015","38","PM2.5","San Rafael","06-041-0001","AQS","7","31",".","38","30"
"03/05/2015","45","PM2.5","San Rafael","06-041-0001","AQS","6","42",".","45","34"
"03/06/2015","54","PM2.5","San Rafael","06-041-0001","AQS","8","43",".","54","39"
"03/07/2015","54","PM2.5","San Rafael","06-041-0001","AQS","7","42","14","54","22"
"03/08/2015","58","PM2.5","San Rafael","06-041-0001","AQS","6","31",".","58","14"
"03/09/2015","58","PM2.5","San Rafael","06-041-0001","AQS","5","29",".","58","18"
"03/10/2015","63","PM2.5","San Rafael","06-041-0001","AQS",".","23",".","63","19"
"03/11/2015","54","PM2.5","San Rafael","06-041-0001","AQS","5","31",".","54","21"
"03/12/2015","33","PM2.5","San Rafael","06-041-0001","AQS","7","30",".","33","28"
"03/13/2015","46","PM2.5","San Rafael","06-041-0001","AQS","7","33","10","46","24"
"03/14/2015","49","Ozone","San Rafael","06-041-0001","AQS","5","49",".","48","24"
"03/15/2015","39","PM2.5","San Rafael","06-041-0001","AQS","2","35",".","39","15"
"03/16/2015","34","Ozone","San Rafael","06-041-0001","AQS","5","34",".","32","22"
"03/17/2015","34","Ozone","San Rafael","06-041-0001","AQS","3","34",".","32","13"
"03/18/2015","42","PM2.5","San Rafael","06-041-0001","AQS","5","28",".","42","23"
"03/19/2015","56","PM2.5","San Rafael","06-041-0001","AQS","6","31","21","56","25"
"03/20/2015","45","PM2.5","San Rafael","06-041-0001","AQS","6","34",".","45","30"
