"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2015","96","PM2.5","Yuba City","06-101-0003","AQS","2","23","31","96","25"
"01/02/2015","94","PM2.5","Yuba City","06-101-0003","AQS","2","19",".","94","33"
"01/03/2015","96","PM2.5","Yuba City","06-101-0003","AQS","2","21",".","96","36"
"01/04/2015","91","PM2.5","Yuba City","06-101-0003","AQS","2","19",".","91","27"
"01/05/2015","87","PM2.5","Yuba City","06-101-0003","AQS","2","16",".","87","29"
"01/06/2015","80","PM2.5","Yuba City","06-101-0003","AQS","1","16",".","80","29"
"01/07/2015","84","PM2.5","Yuba City","06-101-0003","AQS","1","13","33","84","25"
"01/08/2015","75","PM2.5","Yuba City","06-101-0003","AQS","2","13","28","75","26"
"01/09/2015","95","PM2.5","Yuba City","06-101-0003","AQS","1","5","36","95","17"
"01/10/2015","99","PM2.5","Yuba City","06-101-0003","AQS","2","14","34","99","18"
"01/11/2015","97","PM2.5","Yuba City","06-101-0003","AQS","2","17","32","97","27"
"01/12/2015","72","PM2.5","Yuba City","06-101-0003","AQS","2","21","25","72","26"
"01/13/2015","36","PM2.5","Yuba City","06-101-0003","AQS","1","24","11","36","19"
"01/14/2015","102","PM2.5","Yuba City","06-101-0003","AQS","2","16","33","102","26"
"01/15/2015","83","PM2.5","Yuba City","06-101-0003","AQS","2","9","27","83","20"
"01/16/2015","67","PM2.5","Yuba City","06-101-0003","AQS","2","11","16","67","13"
"01/17/2015","58","PM2.5","Yuba City","06-101-0003","AQS","2","13","13","58","12"
"01/18/2015","77","PM2.5","Yuba City","06-101-0003","AQS","2","6","19","77","13"
"01/19/2015","68","PM2.5","Yuba City","06-101-0003","AQS","2","8","18","68","8"
"01/20/2015","61","PM2.5","Yuba City","06-101-0003","AQS","2","10","19","61","17"
"01/21/2015","65","PM2.5","Yuba City","06-101-0003","AQS","2","13","20","65","22"
"01/22/2015","74","PM2.5","Yuba City","06-101-0003","AQS","2","10","21","74","20"
"01/23/2015","70","PM2.5","Yuba City","06-101-0003","AQS","1","10","19","70","18"
"01/24/2015","77","PM2.5","Yuba City","06-101-0003","AQS","1","14","22","77","16"
"01/25/2015","60","PM2.5","Yuba City","06-101-0003","AQS","1","12","14","60","16"
"01/26/2015","72","PM2.5","Yuba City","06-101-0003","AQS","2","13","23","72","22"
"01/27/2015","85","PM2.5","Yuba City","06-101-0003","AQS","2","7","30","85","22"
"01/28/2015","59","PM2.5","Yuba City","06-101-0003","AQS","2","25","20","59","21"
"01/29/2015","60","PM2.5","Yuba City","06-101-0003","AQS","2","24","23","60","31"
"01/30/2015","41","PM2.5","Yuba City","06-101-0003","AQS","1","24","17","41","20"
"01/31/2015","30","Ozone","Yuba City","06-101-0003","AQS","1","30","10","22","29"
"02/01/2015","84","PM2.5","Yuba City","06-101-0003","AQS","2","29","29","84","20"
"02/02/2015","79","PM2.5","Yuba City","06-101-0003","AQS","2","20","28","79","22"
"02/03/2015","52","PM2.5","Yuba City","06-101-0003","AQS","1","19","17","52","30"
"02/04/2015","94","PM2.5","Yuba City","06-101-0003","AQS","2","26","41","94","37"
"02/05/2015","64","PM2.5","Yuba City","06-101-0003","AQS","2","19","24","64","20"
"02/06/2015","36","PM2.5","Yuba City","06-101-0003","AQS","2","28","12","36","12"
"02/07/2015","23","Ozone","Yuba City","06-101-0003","AQS","1","23","5","22","9"
"02/08/2015","34","Ozone","Yuba City","06-101-0003","AQS","2","34","6","22","10"
"02/09/2015","33","Ozone","Yuba City","06-101-0003","AQS","1","33","13","24","22"
"02/10/2015","26","NO2","Yuba City","06-101-0003","AQS","1","24","8","21","26"
"02/11/2015","44","PM2.5","Yuba City","06-101-0003","AQS","1","19","16","44","25"
"02/12/2015","42","PM2.5","Yuba City","06-101-0003","AQS","1","19","15","42","29"
"02/13/2015","41","PM2.5","Yuba City","06-101-0003","AQS","1","24","15","41","18"
"02/14/2015","51","PM2.5","Yuba City","06-101-0003","AQS",".","23","16","51","28"
"02/15/2015","52","PM2.5","Yuba City","06-101-0003","AQS",".","25","16","52","15"
"02/16/2015","38","PM2.5","Yuba City","06-101-0003","AQS",".","30","14","38","28"
"02/17/2015","46","PM2.5","Yuba City","06-101-0003","AQS","2","30","15","46","15"
"02/18/2015","58","PM2.5","Yuba City","06-101-0003","AQS","2","20","16","58","16"
"02/19/2015","59","PM2.5","Yuba City","06-101-0003","AQS","1","20","12","59","12"
"02/20/2015","39","PM2.5","Yuba City","06-101-0003","AQS","2","27","10","39","8"
"02/21/2015","56","PM2.5","Yuba City","06-101-0003","AQS","2","21","16","56","9"
"02/22/2015","33","Ozone","Yuba City","06-101-0003","AQS","2","33","32","19","3"
"02/23/2015","34","Ozone","Yuba City","06-101-0003","AQS","1","34","17","10","5"
"02/24/2015","31","Ozone","Yuba City","06-101-0003","AQS","1","31","13","21","17"
"02/25/2015","47","PM2.5","Yuba City","06-101-0003","AQS","2","34","19","47","20"
"02/26/2015","33","PM2.5","Yuba City","06-101-0003","AQS","2","33","15","33","18"
"02/27/2015","31","Ozone","Yuba City","06-101-0003","AQS","1","31","7","18","11"
"02/28/2015","26","PM2.5","Yuba City","06-101-0003","AQS","1","26","9","26","25"
"03/01/2015","31","Ozone","Yuba City","06-101-0003","AQS","1","31","6","17","23"
"03/02/2015","31","Ozone","Yuba City","06-101-0003","AQS","2","31","10","25","8"
"03/03/2015","27","NO2","Yuba City","06-101-0003","AQS","1",".","9","26","27"
"03/04/2015","38","PM2.5","Yuba City","06-101-0003","AQS","2","35","16","38","30"
"03/05/2015","43","PM2.5","Yuba City","06-101-0003","AQS","2","34","17","43","34"
"03/06/2015","39","PM2.5","Yuba City","06-101-0003","AQS","2","32","18","39","23"
"03/07/2015","47","PM2.5","Yuba City","06-101-0003","AQS","2","44","21","47","27"
"03/08/2015","52","PM2.5","Yuba City","06-101-0003","AQS","2","40","20","52","22"
"03/09/2015","55","PM2.5","Yuba City","06-101-0003","AQS","2","39","30","55","22"
"03/10/2015","54","PM2.5","Yuba City","06-101-0003","AQS","2","41","31","54","20"
"03/11/2015","45","PM2.5","Yuba City","06-101-0003","AQS","2","37","14","45","20"
"03/12/2015","31","Ozone","Yuba City","06-101-0003","AQS","1","31","7","18","8"
"03/13/2015","38","Ozone","Yuba City","06-101-0003","AQS","2","38","14","31","19"
"03/14/2015","51","PM2.5","Yuba City","06-101-0003","AQS","2","39","19","51","31"
"03/15/2015","40","Ozone","Yuba City","06-101-0003","AQS","2","40","13","23","26"
"03/16/2015","29","Ozone","Yuba City","06-101-0003","AQS","1","29","7","19","9"
"03/17/2015","38","Ozone","Yuba City","06-101-0003","AQS","1","38","11","32","28"
"03/18/2015","36","Ozone","Yuba City","06-101-0003","AQS","1","36","11","15","25"
"03/19/2015","37","Ozone","Yuba City","06-101-0003","AQS","1","37","15","23","20"
"03/20/2015","36","PM2.5","Yuba City","06-101-0003","AQS","2","31","19","36","22"
"03/21/2015","39","Ozone","Yuba City","06-101-0003","AQS","2","39","11","21","8"
"03/22/2015","34","Ozone","Yuba City","06-101-0003","AQS","1","34","10","18","4"
"03/23/2015","40","Ozone","Yuba City","06-101-0003","AQS","1","40","7","21","6"
"03/24/2015","31","PM2.5","Yuba City","06-101-0003","AQS","1","31","9","31","11"
"03/25/2015","30","Ozone","Yuba City","06-101-0003","AQS","1","30","8","15","25"
"03/26/2015","39","Ozone","Yuba City","06-101-0003","AQS","2","39","17","23","36"
"03/27/2015","44","Ozone","Yuba City","06-101-0003","AQS","2","44","17","28","18"
"03/28/2015","42","Ozone","Yuba City","06-101-0003","AQS","1","42","14","15","28"
"03/29/2015","44","Ozone","Yuba City","06-101-0003","AQS","2","44","16","27","18"
"03/30/2015","44","Ozone","Yuba City","06-101-0003","AQS","2","44","21","30","19"
"03/31/2015","39","Ozone","Yuba City","06-101-0003","AQS","1","39","16","20","6"
"04/01/2015","39","Ozone","Yuba City","06-101-0003","AQS","1","39","12","10","8"
"04/02/2015","36","Ozone","Yuba City","06-101-0003","AQS","2","36","15","12","6"
"04/03/2015","40","Ozone","Yuba City","06-101-0003","AQS","2","40","19","28","18"
"04/04/2015","43","Ozone","Yuba City","06-101-0003","AQS","2","43","19","36","7"
"04/05/2015","36","Ozone","Yuba City","06-101-0003","AQS","1","36","6","12","5"
"04/06/2015","43","Ozone","Yuba City","06-101-0003","AQS","2","43","6","12","6"
"04/07/2015","32","Ozone","Yuba City","06-101-0003","AQS","2","32","4","10","6"
"04/08/2015","38","Ozone","Yuba City","06-101-0003","AQS","2","38","5","17","12"
"04/09/2015","37","Ozone","Yuba City","06-101-0003","AQS","2","37","8","19","29"
"04/10/2015","47","Ozone","Yuba City","06-101-0003","AQS","2","47","9","19","16"
"04/11/2015","41","Ozone","Yuba City","06-101-0003","AQS","1","41","13","25","28"
"04/12/2015","43","Ozone","Yuba City","06-101-0003","AQS","1","43","11","19","25"
"04/13/2015","44","Ozone","Yuba City","06-101-0003","AQS","2","44","18","25","14"
"04/14/2015","41","Ozone","Yuba City","06-101-0003","AQS","2","41","9","10","6"
"04/15/2015","1","CO","Sutter Buttes (seasonal)","06-101-0004","AQS","1",".",".",".","."
"04/16/2015","44","Ozone","Yuba City","06-101-0003","AQS","1","44",".","17","."
"04/17/2015","50","Ozone","Yuba City","06-101-0003","AQS","2","50","26","26","24"
"04/18/2015","64","Ozone","Yuba City","06-101-0003","AQS","2","64","34","44","18"
"04/19/2015","45","Ozone","Yuba City","06-101-0003","AQS","2","45","28","36","11"
"04/20/2015","54","PM2.5","Yuba City","06-101-0003","AQS","2","45","31","54","6"
"04/21/2015","35","Ozone","Yuba City","06-101-0003","AQS","2","35","27","29","7"
"04/22/2015","44","Ozone","Yuba City","06-101-0003","AQS","2","44","27","38","12"
"04/23/2015","51","PM2.5","Yuba City","06-101-0003","AQS","2","45","38","51","7"
"04/24/2015","36","Ozone","Yuba City","06-101-0003","AQS","2","36","20","25","5"
"04/25/2015","38","Ozone","Yuba City","06-101-0003","AQS","1","38","5","13","7"
"04/26/2015","39","Ozone","Yuba City","06-101-0003","AQS","1","39","8","25","28"
"04/27/2015","34","Ozone","Yuba City","06-101-0003","AQS","1","34","10","15","20"
"04/28/2015","38","Ozone","Yuba City","06-101-0003","AQS","1","38","12","22","6"
"04/29/2015","44","Ozone","Yuba City","06-101-0003","AQS","1","44","18","32","24"
"04/30/2015","41","Ozone","Yuba City","06-101-0003","AQS","2","41","39","30","32"
"05/01/2015","64","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","2","64","25","36","22"
"05/02/2015","77","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","77","28","52","6"
"05/03/2015","64","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","64","19","38","4"
"05/04/2015","49","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","2","49","21","35","4"
"05/05/2015","49","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","2","49","27","44","6"
"05/06/2015","48","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","2","48","21","32","14"
"05/07/2015","49","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","49","28","26","3"
"05/08/2015","58","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","2","58","19","40","10"
"05/09/2015","51","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","2","51","22","48","4"
"05/10/2015","51","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","2","51","16","43","3"
"05/11/2015","40","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","40","19","31","4"
"05/12/2015","46","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","46","16","30","7"
"05/13/2015","45","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","45","14","25","5"
"05/14/2015","47","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","47","10","37","6"
"05/15/2015","47","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","47","12","31","4"
"05/16/2015","44","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","44","15","26","4"
"05/17/2015","44","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","44","11","26","3"
"05/18/2015","46","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","46","14","37","3"
"05/19/2015","49","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","49","16","46","8"
"05/20/2015","47","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","47","17","37","5"
"05/21/2015","44","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","44","15","24","4"
"05/22/2015","43","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","43","12","20","3"
"05/23/2015","47","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","47","17","35","8"
"05/24/2015","44","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","44","20","42","6"
"05/25/2015","41","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","41","13","25","20"
"05/26/2015","45","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","45","14","20","20"
"05/27/2015","47","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","47","15","28","5"
"05/28/2015","93","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","2","93","19","29","6"
"05/29/2015","77","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","2","77","19","28","7"
"05/30/2015","58","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","58","18","26","4"
"05/31/2015","48","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","48","19","24","3"
"06/01/2015","36","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","36","9","11","2"
"06/02/2015","39","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","39","11","16","4"
"06/03/2015","44","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","44","19","26","6"
"06/04/2015","49","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","49","19","27","6"
"06/05/2015","84","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","84","20","25","8"
"06/06/2015","97","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","97","19","32","11"
"06/07/2015","71","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","71","15","30","6"
"06/08/2015","108","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","2","108","28","51","26"
"06/09/2015","84","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","2","84","34","36","22"
"06/10/2015","58","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","58","10","31","8"
"06/11/2015","101","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","101","16","32","10"
"06/12/2015","77","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","77","21","35","17"
"06/13/2015","64","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","2","64","29","54","3"
"06/14/2015","59","PM2.5","Yuba City","06-101-0003","AQS","1","48","29","59","3"
"06/15/2015","56","PM2.5","Yuba City","06-101-0003","AQS","1","54","29","56","3"
"06/16/2015","90","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","2","90","28","51","7"
"06/17/2015","119","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","2","119","28","51","8"
"06/18/2015","51","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","51","27","39","7"
"06/19/2015","64","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","64","20","21","7"
"06/20/2015","77","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","77","19","25","7"
"06/21/2015","45","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","45","18","23","3"
"06/22/2015","58","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","58","18","22","5"
"06/23/2015","50","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","50","23","32","15"
"06/24/2015","74","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","74","27","41","8"
"06/25/2015","90","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","2","90","31","48","19"
"06/26/2015","112","Ozone","Yuba City","06-101-0003","AQS","2","112","28","43","8"
"06/27/2015","84","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","84","20","23","4"
"06/28/2015","45","Ozone","Sutter Buttes (seasonal)","06-101-0004","AQS","1","45","10","15","5"
