"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","SO2","PM10","PM25","NO2"
"01/01/2015","75","PM2.5","Atascadero (original site)","06-079-8001","AQS","38","1","31","75","25"
"01/02/2015","62","PM2.5","Atascadero (original site)","06-079-8001","AQS","37","1","29","62","25"
"01/03/2015","62","PM2.5","Atascadero (original site)","06-079-8001","AQS","35","1","25","62","26"
"01/04/2015","69","PM2.5","Atascadero (original site)","06-079-8001","AQS","37","1","28","69","25"
"01/05/2015","68","PM2.5","Atascadero (original site)","06-079-8001","AQS","40","4","31","68","28"
"01/06/2015","55","PM2.5","Atascadero (original site)","06-079-8001","AQS","41","1","29","55","28"
"01/07/2015","43","Ozone","Red Hills","06-079-8005","AQS","43","3","28","36","29"
"01/08/2015","38","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","38","3","28","38","23"
"01/09/2015","44","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","34","1","24","44","26"
"01/10/2015","43","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","37","1","23","43","20"
"01/11/2015","60","PM2.5","Atascadero (original site)","06-079-8001","AQS","36","1","22","60","19"
"01/12/2015","75","PM2.5","Atascadero (original site)","06-079-8001","AQS","35","1","31","75","18"
"01/13/2015","87","PM2.5","Atascadero (original site)","06-079-8001","AQS","34","1","35","87","21"
"01/14/2015","62","PM2.5","Atascadero (original site)","06-079-8001","AQS","36","4","27","62","28"
"01/15/2015","53","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","40","1","28","53","25"
"01/16/2015","46","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","38","3","41","46","25"
"01/17/2015","39","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","35","1","19","39","22"
"01/18/2015","43","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","31","1","23","43","17"
"01/19/2015","55","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","25","3","54","55","12"
"01/20/2015","39","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","30","1","33","39","11"
"01/21/2015","46","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","28","1","23","46","15"
"01/22/2015","50","PM2.5","Atascadero (original site)","06-079-8001","AQS","30","1","29","50","23"
"01/23/2015","58","PM2.5","Atascadero (original site)","06-079-8001","AQS","34","3","31","58","18"
"01/24/2015","57","PM2.5","Atascadero (original site)","06-079-8001","AQS","40","3","34","57","24"
"01/25/2015","41","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","39","3","30","41","27"
"01/26/2015","43","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","38","3","41","43","22"
"01/27/2015","35","Ozone","San Luis Obispo","06-079-2006","AQS","35","1","15","30","21"
"01/28/2015","51","PM2.5","Atascadero (original site)","06-079-8001","AQS","33","1","19","51","10"
"01/29/2015","57","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","33","6","29","57","22"
"01/30/2015","66","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","38","4","54","66","18"
"01/31/2015","58","PM2.5","Atascadero (original site)","06-079-8001","AQS","36","1","22","58","20"
"02/01/2015","56","PM2.5","Atascadero (original site)","06-079-8001","AQS","39","4","22","56","22"
"02/02/2015","54","PM2.5","Atascadero (original site)","06-079-8001","AQS","42","3","27","54","24"
"02/03/2015","63","PM2.5","Atascadero (original site)","06-079-8001","AQS","44","3","31","63","28"
"02/04/2015","61","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","38","3","23","61","17"
"02/05/2015","48","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","36","3","19","48","21"
"02/06/2015","38","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","38","3","20","38","22"
"02/07/2015","26","Ozone","Red Hills","06-079-8005","AQS","26","3","8","24","8"
"02/08/2015","31","Ozone","Red Hills","06-079-8005","AQS","31","3","9","22","8"
"02/09/2015","50","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","36","3","41","50","16"
"02/10/2015","37","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","37","0","13","29","8"
"02/11/2015","46","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","39","0","27","46","17"
"02/12/2015","46","Ozone","Red Hills","06-079-8005","AQS","46","1","27","39","25"
"02/13/2015","52","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","48","0","37","52","29"
"02/14/2015","57","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","51","0","52","57","27"
"02/15/2015","52","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","50","0","24","52","23"
"02/16/2015","57","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","51","0","19","57","11"
"02/17/2015","49","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","44","0","17","49","13"
"02/18/2015","62","PM2.5","Atascadero (original site)","06-079-8001","AQS","43","0","24","62","18"
"02/19/2015","71","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","45","0","27","71","25"
"02/20/2015","76","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","46","0","31","76","19"
"02/21/2015","62","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","44","0","27","62","7"
"02/22/2015","39","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","39","0","13","34","6"
"02/23/2015","38","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","38","0","20","37","10"
"02/24/2015","51","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","40","0","51","51","18"
"02/25/2015","70","PM10","Arroyo Grande CDF","06-079-2007","AQS","45","6","70","65","15"
"02/26/2015","64","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","48","1","56","64","22"
"02/27/2015","58","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","37","0","54","58","15"
"02/28/2015","37","Ozone","Morro Bay","06-079-3001","AQS","37","0","11","30","10"
"03/01/2015","36","Ozone","Red Hills","06-079-8005","AQS","36","0","10","31","10"
"03/02/2015","36","Ozone","Carrizo Plains","06-079-8006","AQS","36","0","10","34","12"
"03/03/2015","52","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","38","0","48","52","12"
"03/04/2015","53","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","43","0","19","53","18"
"03/05/2015","46","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","46","1","30","46","16"
"03/06/2015","55","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","49","0","22","55","19"
"03/07/2015","58","Ozone","Red Hills","06-079-8005","AQS","58","1","31","55","22"
"03/08/2015","67","Ozone","Red Hills","06-079-8005","AQS","67","0","25","60","19"
"03/09/2015","71","Ozone","Red Hills","06-079-8005","AQS","71","0","24","59","16"
"03/10/2015","64","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","64","0","27","64","14"
"03/11/2015","55","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","51","0","28","55","12"
"03/12/2015","44","Ozone","Morro Bay","06-079-3001","AQS","44","0","17","40","7"
"03/13/2015","48","Ozone","Red Hills","06-079-8005","AQS","48","0","28","41","21"
"03/14/2015","61","Ozone","Red Hills","06-079-8005","AQS","61","0","35","55","24"
"03/15/2015","54","Ozone","Red Hills","06-079-8005","AQS","54","0","42","48","14"
"03/16/2015","49","Ozone","Carrizo Plains","06-079-8006","AQS","49","0","24","48","15"
"03/17/2015","62","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","50","1","59","62","17"
"03/18/2015","88","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","49","0","88","88","21"
"03/19/2015","57","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","49","0","37","57","13"
"03/20/2015","55","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","48","0","42","55","14"
"03/21/2015","64","Ozone","Carrizo Plains","06-079-8006","AQS","64","0","31","40","13"
"03/22/2015","39","Ozone","Carrizo Plains","06-079-8006","AQS","39","0","13","37","8"
"03/23/2015","83","PM10","Arroyo Grande CDF","06-079-2007","AQS","40","0","83","77","10"
"03/24/2015","74","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","42","0","68","74","6"
"03/25/2015","66","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","41","0","58","66","10"
"03/26/2015","55","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","49","0","37","55","15"
"03/27/2015","54","Ozone","Red Hills","06-079-8005","AQS","54","0","20","44","15"
"03/28/2015","53","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","45","0","22","53","10"
"03/29/2015","67","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","49","0","53","67","13"
"03/30/2015","58","Ozone","Red Hills","06-079-8005","AQS","58","0","27","52","12"
"03/31/2015","94","PM10","Arroyo Grande CDF","06-079-2007","AQS","46","1","94","89","17"
"04/01/2015","88","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","47","0","88","88","17"
"04/02/2015","81","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","46","0","74","81","18"
"04/03/2015","75","PM2.5","Mesa2","06-079-2004","AQS","51","3","68","75","13"
"04/04/2015","102","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","67","1","98","102","14"
"04/05/2015","51","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","46","0","27","51","9"
"04/06/2015","47","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","45","0","25","47","19"
"04/07/2015","43","Ozone","Paso Robles","06-079-0005","AQS","43","0","12","34","11"
"04/08/2015","54","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","47","0","51","54","13"
"04/09/2015","50","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","50","0","23","48","9"
"04/10/2015","61","Ozone","Red Hills","06-079-8005","AQS","61","0","27","49","15"
"04/11/2015","75","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","45","3","75","75","12"
"04/12/2015","71","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","49","4","63","71","10"
"04/13/2015","49","Ozone","Carrizo Plains","06-079-8006","AQS","49","0","27","48","11"
"04/14/2015","59","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","54","0","55","59","13"
"04/15/2015","70","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","49","0","64","70","11"
"04/16/2015","80","Ozone","Red Hills","06-079-8005","AQS","80","0","44","48","41"
"04/17/2015","87","Ozone","Atascadero","06-079-8002","AQS","87","0","44","45","25"
"04/18/2015","97","Ozone","Carrizo Plains","06-079-8006","AQS","97","0","28","54","8"
"04/19/2015","77","Ozone","Red Hills","06-079-8005","AQS","77","0","21","51","7"
"04/20/2015","50","Ozone","Carrizo Plains","06-079-8006","AQS","50","0","19","44","7"
"04/21/2015","44","Ozone","Carrizo Plains","06-079-8006","AQS","44","0","21","38","4"
"04/22/2015","44","Ozone","Carrizo Plains","06-079-8006","AQS","44","0","23","34","8"
"04/23/2015","45","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","43","0","25","45","3"
"04/24/2015","62","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","46","0","54","62","6"
"04/25/2015","44","Ozone","Red Hills","06-079-8005","AQS","44","0","31","36","9"
"04/26/2015","73","PM10","Arroyo Grande CDF","06-079-2007","AQS","48","0","73","70","7"
"04/27/2015","48","Ozone","Carrizo Plains","06-079-8006","AQS","48","0","27","44","14"
"04/28/2015","61","Ozone","Red Hills","06-079-8005","AQS","61","0","25","42","12"
"04/29/2015","74","Ozone","Carrizo Plains","06-079-8006","AQS","74","0","36","55","9"
"04/30/2015","84","Ozone","Carrizo Plains","06-079-8006","AQS","84","0","46","61","14"
"05/01/2015","80","Ozone","Red Hills","06-079-8005","AQS","80","0","29","51","18"
"05/02/2015","77","Ozone","Red Hills","06-079-8005","AQS","77","0","28","54","8"
"05/03/2015","47","Ozone","Morro Bay","06-079-3001","AQS","47","0","21","46","6"
"05/04/2015","45","Ozone","Morro Bay","06-079-3001","AQS","45","0","25","43","13"
"05/05/2015","48","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","44","0","30","48","12"
"05/06/2015","53","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","43","0","38","53","4"
"05/07/2015","53","PM2.5","Mesa2","06-079-2004","AQS","44","0","33","53","2"
"05/08/2015","56","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","44","0","31","56","10"
"05/09/2015","57","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","49","0","44","57","5"
"05/10/2015","61","Ozone","Carrizo Plains","06-079-8006","AQS","61","0","31","51","7"
"05/11/2015","67","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","51","0","60","67","4"
"05/12/2015","75","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","58","0","68","75","12"
"05/13/2015","48","Ozone","Carrizo Plains","06-079-8006","AQS","48","0","20","34","13"
"05/14/2015","43","Ozone","Paso Robles","06-079-0005","AQS","43","0","12","21","10"
"05/15/2015","44","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","43","0","38","44","18"
"05/16/2015","50","Ozone","Red Hills","06-079-8005","AQS","50","0","28","40","7"
"05/17/2015","46","Ozone","Carrizo Plains","06-079-8006","AQS","46","0","21","29","2"
"05/18/2015","44","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","44","0","37","44","11"
"05/19/2015","51","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","44","0","46","51","8"
"05/20/2015","42","Ozone","Carrizo Plains","06-079-8006","AQS","42","0","17","24","3"
"05/21/2015","42","Ozone","Carrizo Plains","06-079-8006","AQS","42","0","15","16","7"
"05/22/2015","41","Ozone","Carrizo Plains","06-079-8006","AQS","41","0","15","18","5"
"05/23/2015","58","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","44","0","53","58","3"
"05/24/2015","54","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","44","0","48","54","3"
"05/25/2015","39","Ozone","Carrizo Plains","06-079-8006","AQS","39","0","10","18","2"
"05/26/2015","39","Ozone","Red Hills","06-079-8005","AQS","39","0","10","19","3"
"05/27/2015","47","Ozone","Carrizo Plains","06-079-8006","AQS","47","0","30","40","5"
"05/28/2015","50","Ozone","Carrizo Plains","06-079-8006","AQS","50","0","22","29","8"
"05/29/2015","74","Ozone","Red Hills","06-079-8005","AQS","74","0","16","21","8"
"05/30/2015","74","Ozone","Red Hills","06-079-8005","AQS","74","0","15","29","6"
"05/31/2015","46","Ozone","Red Hills","06-079-8005","AQS","46","0","13","22","4"
"06/01/2015","38","Ozone","Carrizo Plains","06-079-8006","AQS","38","0","22","33","8"
"06/02/2015","55","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","44","0","54","55","8"
"06/03/2015","52","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","45","0","45","52","3"
"06/04/2015","39","PM2.5","Mesa2","06-079-2004","AQS","36","0","27","39","6"
"06/05/2015","48","Ozone","Carrizo Plains","06-079-8006","AQS","48","0","14","28","5"
"06/06/2015","61","Ozone","Carrizo Plains","06-079-8006","AQS","61","0","14","29","5"
"06/07/2015","87","Ozone","Red Hills","06-079-8005","AQS","87","0","14","20","8"
"06/08/2015","97","Ozone","Red Hills","06-079-8005","AQS","97","0","22","22","8"
"06/09/2015","61","Ozone","Red Hills","06-079-8005","AQS","61","1","20","23","27"
"06/10/2015","51","Ozone","Carrizo Plains","06-079-8006","AQS","51","0","19","30","16"
"06/11/2015","71","Ozone","Carrizo Plains","06-079-8006","AQS","71","0","12","20","8"
"06/12/2015","90","Ozone","Red Hills","06-079-8005","AQS","90","0","16","21","9"
"06/13/2015","77","Ozone","Carrizo Plains","06-079-8006","AQS","77","0","16","13","5"
"06/14/2015","64","Ozone","Red Hills","06-079-8005","AQS","64","0","19","30","2"
"06/15/2015","71","Ozone","Red Hills","06-079-8005","AQS","71","0","37","55","5"
"06/16/2015","93","Ozone","Red Hills","06-079-8005","AQS","93","0","33","52","12"
"06/17/2015","93","Ozone","Red Hills","06-079-8005","AQS","93","0","29","45","10"
"06/18/2015","80","Ozone","Red Hills","06-079-8005","AQS","80","0","27","36","15"
"06/19/2015","77","Ozone","Red Hills","06-079-8005","AQS","77","0","70","74","13"
"06/20/2015","84","Ozone","Red Hills","06-079-8005","AQS","84","0","24","40","18"
"06/21/2015","49","Ozone","Red Hills","06-079-8005","AQS","49","0","28","35","8"
"06/22/2015","74","Ozone","Carrizo Plains","06-079-8006","AQS","74","0","54","61","13"
"06/23/2015","71","Ozone","Carrizo Plains","06-079-8006","AQS","71","0","58","64","10"
"06/24/2015","58","Ozone","Carrizo Plains","06-079-8006","AQS","58","0","40","53","8"
"06/25/2015","105","Ozone","Red Hills","06-079-8005","AQS","105","0","28","49","14"
"06/26/2015","97","Ozone","Red Hills","06-079-8005","AQS","97","0","23","28","18"
"06/27/2015","39","Ozone","Carrizo Plains","06-079-8006","AQS","39","0","18","31","5"
"06/28/2015","45","Ozone","Carrizo Plains","06-079-8006","AQS","45","0","33","35","5"
"06/29/2015","61","Ozone","Red Hills","06-079-8005","AQS","61","0","17","28","10"
"06/30/2015","90","Ozone","Red Hills","06-079-8005","AQS","90","1","69","25","12"
"07/01/2015","49","Ozone","Carrizo Plains","06-079-8006","AQS","49","0","44","26","20"
"07/02/2015","48","Ozone","Carrizo Plains","06-079-8006","AQS","48","0","17","27","9"
"07/03/2015","51","Ozone","Carrizo Plains","06-079-8006","AQS","51","0","14","13","9"
"07/04/2015","46","Ozone","Carrizo Plains","06-079-8006","AQS","46","0","10","17","3"
