"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM25"
"01/03/2015","9","PM2.5","Trinity","06-105-9000","AQS","9"
"01/06/2015","3","PM2.5","Trinity","06-105-9000","AQS","3"
"01/09/2015","5","PM2.5","Trinity","06-105-9000","AQS","5"
"01/12/2015","5","PM2.5","Trinity","06-105-9000","AQS","5"
"01/15/2015","18","PM2.5","Trinity","06-105-9000","AQS","18"
"01/18/2015","1","PM2.5","Trinity","06-105-9000","AQS","1"
"01/21/2015","5","PM2.5","Trinity","06-105-9000","AQS","5"
"01/24/2015","4","PM2.5","Trinity","06-105-9000","AQS","4"
"01/27/2015","15","PM2.5","Trinity","06-105-9000","AQS","15"
"01/30/2015","7","PM2.5","Trinity","06-105-9000","AQS","7"
"02/02/2015","2","PM2.5","Trinity","06-105-9000","AQS","2"
"02/05/2015","27","PM2.5","Trinity","06-105-9000","AQS","27"
"02/08/2015","8","PM2.5","Trinity","06-105-9000","AQS","8"
"02/11/2015","3","PM2.5","Trinity","06-105-9000","AQS","3"
"02/14/2015","5","PM2.5","Trinity","06-105-9000","AQS","5"
"02/17/2015","8","PM2.5","Trinity","06-105-9000","AQS","8"
"02/20/2015","5","PM2.5","Trinity","06-105-9000","AQS","5"
"02/23/2015","4","PM2.5","Trinity","06-105-9000","AQS","4"
"02/26/2015","6","PM2.5","Trinity","06-105-9000","AQS","6"
"03/01/2015","4","PM2.5","Trinity","06-105-9000","AQS","4"
"03/04/2015","7","PM2.5","Trinity","06-105-9000","AQS","7"
"03/07/2015","16","PM2.5","Trinity","06-105-9000","AQS","16"
"03/10/2015","30","PM2.5","Trinity","06-105-9000","AQS","30"
"03/13/2015","5","PM2.5","Trinity","06-105-9000","AQS","5"
"03/16/2015","3","PM2.5","Trinity","06-105-9000","AQS","3"
"03/19/2015","7","PM2.5","Trinity","06-105-9000","AQS","7"
"03/22/2015","6","PM2.5","Trinity","06-105-9000","AQS","6"
"03/25/2015","1","PM2.5","Trinity","06-105-9000","AQS","1"
"03/28/2015","3","PM2.5","Trinity","06-105-9000","AQS","3"
"03/31/2015","7","PM2.5","Trinity","06-105-9000","AQS","7"
"04/03/2015","25","PM2.5","Trinity","06-105-9000","AQS","25"
"04/06/2015","5","PM2.5","Trinity","06-105-9000","AQS","5"
"04/09/2015","3","PM2.5","Trinity","06-105-9000","AQS","3"
"04/12/2015","10","PM2.5","Trinity","06-105-9000","AQS","10"
"04/15/2015","6","PM2.5","Trinity","06-105-9000","AQS","6"
"04/18/2015","12","PM2.5","Trinity","06-105-9000","AQS","12"
"04/21/2015","20","PM2.5","Trinity","06-105-9000","AQS","20"
"04/24/2015","7","PM2.5","Trinity","06-105-9000","AQS","7"
"04/27/2015","4","PM2.5","Trinity","06-105-9000","AQS","4"
"04/30/2015","16","PM2.5","Trinity","06-105-9000","AQS","16"
"05/03/2015","27","PM2.5","Trinity","06-105-9000","AQS","27"
"05/06/2015","8","PM2.5","Trinity","06-105-9000","AQS","8"
"05/09/2015","15","PM2.5","Trinity","06-105-9000","AQS","15"
"05/12/2015","7","PM2.5","Trinity","06-105-9000","AQS","7"
"05/15/2015","10","PM2.5","Trinity","06-105-9000","AQS","10"
"05/18/2015","10","PM2.5","Trinity","06-105-9000","AQS","10"
"05/21/2015","8","PM2.5","Trinity","06-105-9000","AQS","8"
"05/24/2015","12","PM2.5","Trinity","06-105-9000","AQS","12"
"05/27/2015","10","PM2.5","Trinity","06-105-9000","AQS","10"
"05/30/2015","17","PM2.5","Trinity","06-105-9000","AQS","17"
"06/02/2015","4","PM2.5","Trinity","06-105-9000","AQS","4"
"06/05/2015","9","PM2.5","Trinity","06-105-9000","AQS","9"
"06/08/2015","17","PM2.5","Trinity","06-105-9000","AQS","17"
"06/11/2015","16","PM2.5","Trinity","06-105-9000","AQS","16"
"06/14/2015","19","PM2.5","Trinity","06-105-9000","AQS","19"
"06/17/2015","15","PM2.5","Trinity","06-105-9000","AQS","15"
"06/20/2015","12","PM2.5","Trinity","06-105-9000","AQS","12"
"06/23/2015","9","PM2.5","Trinity","06-105-9000","AQS","9"
"06/26/2015","25","PM2.5","Trinity","06-105-9000","AQS","25"
"06/29/2015","10","PM2.5","Trinity","06-105-9000","AQS","10"
"07/05/2015","22","PM2.5","Trinity","06-105-9000","AQS","22"
"07/08/2015","11","PM2.5","Trinity","06-105-9000","AQS","11"
"07/11/2015","15","PM2.5","Trinity","06-105-9000","AQS","15"
"07/14/2015","10","PM2.5","Trinity","06-105-9000","AQS","10"
"07/17/2015","16","PM2.5","Trinity","06-105-9000","AQS","16"
"07/20/2015","20","PM2.5","Trinity","06-105-9000","AQS","20"
"07/23/2015","49","PM2.5","Trinity","06-105-9000","AQS","49"
"07/26/2015","9","PM2.5","Trinity","06-105-9000","AQS","9"
