"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM10","PM25"
"01/01/2015","4","PM10","Mono Shore","06-051-0011","AQS","4","."
"01/02/2015","3","PM10","Mono Shore","06-051-0011","AQS","3","."
"01/03/2015","33","PM10","Mammoth","06-051-0001","AQS","33","1"
"01/04/2015","17","PM10","Mammoth","06-051-0001","AQS","17","."
"01/05/2015","23","PM10","Mammoth","06-051-0001","AQS","23","."
"01/06/2015","28","PM10","Mammoth","06-051-0001","AQS","28","."
"01/07/2015","22","PM10","Mammoth","06-051-0001","AQS","22","."
"01/08/2015","21","PM10","Mammoth","06-051-0001","AQS","21","."
"01/09/2015","24","PM10","Mammoth","06-051-0001","AQS","24","2"
"01/10/2015","12","PM10","Mammoth","06-051-0001","AQS","12","."
"01/11/2015","12","PM10","Mammoth","06-051-0001","AQS","12","."
"01/12/2015","9","PM10","Mammoth","06-051-0001","AQS","9","3"
"01/13/2015","15","PM10","Mammoth","06-051-0001","AQS","15","."
"01/14/2015","25","PM10","Mammoth","06-051-0001","AQS","25","."
"01/15/2015","23","PM10","Mammoth","06-051-0001","AQS","23","2"
"01/16/2015","7","PM10","Mammoth","06-051-0001","AQS","7","."
"01/17/2015","13","PM10","Mammoth","06-051-0001","AQS","13","."
"01/18/2015","11","PM10","Mammoth","06-051-0001","AQS","11","1"
"01/19/2015","9","PM10","Mammoth","06-051-0001","AQS","9","."
"01/20/2015","19","PM10","Mammoth","06-051-0001","AQS","19","."
"01/21/2015","18","PM10","Mammoth","06-051-0001","AQS","18","3"
"01/22/2015","19","PM10","Mammoth","06-051-0001","AQS","19","."
"01/23/2015","12","PM10","Mammoth","06-051-0001","AQS","12","."
"01/24/2015","19","PM10","Mammoth","06-051-0001","AQS","19","0"
"01/25/2015","20","PM10","Mammoth","06-051-0001","AQS","20","."
"01/26/2015","26","PM10","Mammoth","06-051-0001","AQS","26","."
"01/27/2015","6","PM10","Mammoth","06-051-0001","AQS","6","2"
"01/28/2015","15","PM10","Mammoth","06-051-0001","AQS","15","."
"01/29/2015","17","PM10","Mammoth","06-051-0001","AQS","17","."
"01/30/2015","8","PM10","Mammoth","06-051-0001","AQS","8","5"
"01/31/2015","16","PM10","Mammoth","06-051-0001","AQS","16","."
"02/01/2015","19","PM10","Mammoth","06-051-0001","AQS","19","."
"02/02/2015","8","PM10","Mammoth","06-051-0001","AQS","8","3"
"02/03/2015","3","PM10","Mammoth","06-051-0001","AQS","3","."
"02/04/2015","4","PM10","Mono Shore","06-051-0011","AQS","4","."
"02/05/2015","967","PM10","Mono Shore","06-051-0011","AQS","967","5"
"02/06/2015","3190","PM10","Mono Shore","06-051-0011","AQS","3190","."
"02/07/2015","1","PM10","Mono Shore","06-051-0011","AQS","1","."
"02/08/2015","6","PM10","Mammoth","06-051-0001","AQS","6","3"
"02/09/2015","0","PM10","Mono Shore","06-051-0011","AQS","0","."
"02/10/2015","2","PM10","Mono Shore","06-051-0011","AQS","2","."
"02/11/2015","27","PM10","Mammoth","06-051-0001","AQS","27","3"
"02/12/2015","3","PM10","Mono Shore","06-051-0011","AQS","3","."
"02/13/2015","15","PM10","Mammoth","06-051-0001","AQS","15","."
"02/14/2015","19","PM10","Mammoth","06-051-0001","AQS","19","3"
"02/15/2015","12","PM10","Mammoth","06-051-0001","AQS","12","."
"02/16/2015","11","PM10","Mammoth","06-051-0001","AQS","11","."
"02/17/2015","13","PM10","Mammoth","06-051-0001","AQS","13","5"
"02/18/2015","11","PM10","Mammoth","06-051-0001","AQS","11","."
"02/19/2015","6","PM10","Mammoth","06-051-0001","AQS","6","."
"02/20/2015","14","PM10","Mammoth","06-051-0001","AQS","14","5"
"02/21/2015","36","PM10","Mono Shore","06-051-0011","AQS","36","."
"02/22/2015","60","PM10","Mono Shore","06-051-0011","AQS","60","."
"02/23/2015","24","PM10","Mammoth","06-051-0001","AQS","24","9"
"02/24/2015","15","PM10","Mammoth","06-051-0001","AQS","15","."
"02/25/2015","14","PM10","Mammoth","06-051-0001","AQS","14","."
"02/26/2015","13","PM10","Mammoth","06-051-0001","AQS","13","4"
"02/27/2015","73","PM10","Mono Shore","06-051-0011","AQS","73","."
"02/28/2015","6","PM10","Mammoth","06-051-0001","AQS","6","."
"03/01/2015","6","PM10","Mammoth","06-051-0001","AQS","6","1"
"03/02/2015","6","PM10","Mammoth","06-051-0001","AQS","6","."
"03/03/2015","15","PM10","Mammoth","06-051-0001","AQS","15","."
"03/04/2015","26","PM10","Mammoth","06-051-0001","AQS","26","6"
"03/05/2015","21","PM10","Mammoth","06-051-0001","AQS","21","."
"03/06/2015","22","PM10","Mammoth","06-051-0001","AQS","22","."
"03/07/2015","24","PM10","Mammoth","06-051-0001","AQS","24","."
"03/08/2015","19","PM10","Mammoth","06-051-0001","AQS","19","."
"03/09/2015","19","PM10","Mammoth","06-051-0001","AQS","19","."
"03/10/2015","17","PM10","Mammoth","06-051-0001","AQS","17","11"
"03/11/2015","60","PM10","Mono Shore","06-051-0011","AQS","60","."
"03/12/2015","8","PM10","Mammoth","06-051-0001","AQS","8","."
"03/13/2015","12","PM10","Mammoth","06-051-0001","AQS","12","2"
"03/14/2015","12","PM10","Mammoth","06-051-0001","AQS","12","."
"03/15/2015","45","PM10","Mono Shore","06-051-0011","AQS","45","."
"03/16/2015","11","PM2.5","Hoover Wilderness","06-051-9000","AQS","10","11"
"03/17/2015","7","PM10","Mammoth","06-051-0001","AQS","7","."
"03/18/2015","6","PM10","Mammoth","06-051-0001","AQS","6","."
"03/19/2015","10","PM10","Mammoth","06-051-0001","AQS","10","5"
"03/20/2015","7","PM10","Mammoth","06-051-0001","AQS","7","."
"03/21/2015","14","PM10","Mono Shore","06-051-0011","AQS","14","."
"03/22/2015","52","PM10","Mono Shore","06-051-0011","AQS","52","8"
"03/23/2015","77","PM10","Mono Shore","06-051-0011","AQS","77","."
"03/24/2015","4","PM10","Mono Shore","06-051-0011","AQS","4","."
"03/25/2015","6","PM10","Mammoth","06-051-0001","AQS","6","3"
"03/26/2015","8","PM10","Mammoth","06-051-0001","AQS","8","."
"03/27/2015","9","PM10","Mono Shore","06-051-0011","AQS","9","."
"03/28/2015","8","PM2.5","Hoover Wilderness","06-051-9000","AQS","7","8"
