"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25","NO2"
"09/14/2015","68","PM10","Santa Rosa Rancheria","06-031-0500","AQS","32","68","59","16"
"09/15/2015","58","PM10","Hanford-Irwin","06-031-1004","AQS","41","58","40","13"
"09/16/2015","44","Ozone","Hanford-Irwin","06-031-1004","AQS","44","35","19","16"
"09/17/2015","45","PM10","Hanford-Irwin","06-031-1004","AQS","44","45","29","."
"09/18/2015","74","Ozone","Hanford-Irwin","06-031-1004","AQS","74","62","38","12"
"09/19/2015","108","Ozone","Hanford-Irwin","06-031-1004","AQS","108","80","52","19"
"09/20/2015","143","Ozone","Hanford-Irwin","06-031-1004","AQS","143","81","60","25"
"09/21/2015","140","Ozone","Hanford-Irwin","06-031-1004","AQS","140","99","65","28"
"09/22/2015","110","PM10","Santa Rosa Rancheria","06-031-0500","AQS","90","110","50","23"
"09/23/2015","83","PM10","Santa Rosa Rancheria","06-031-0500","AQS","67","83","43","31"
"09/24/2015","126","Ozone","Hanford-Irwin","06-031-1004","AQS","126","89","58","25"
"09/25/2015","115","Ozone","Hanford-Irwin","06-031-1004","AQS","115","86","61","31"
"09/26/2015","80","Ozone","Hanford-Irwin","06-031-1004","AQS","80","70","33","20"
"09/27/2015","47","Ozone","Hanford-Irwin","06-031-1004","AQS","47","40","30","24"
"09/28/2015","74","PM10","Hanford-Irwin","06-031-1004","AQS","48","74","50","15"
"09/29/2015","78","PM10","Santa Rosa Rancheria","06-031-0500","AQS","46","78","54","19"
"09/30/2015","78","PM10","Santa Rosa Rancheria","06-031-0500","AQS","43","78","57","16"
"10/01/2015","48","PM10","Santa Rosa Rancheria","06-031-0500","AQS","41","48","38","14"
"10/02/2015","49","PM2.5","Hanford-Irwin","06-031-1004","AQS","49","39","49","20"
"10/03/2015","80","Ozone","Hanford-Irwin","06-031-1004","AQS","80","72","57","29"
"10/04/2015","53","PM2.5","Hanford-Irwin","06-031-1004","AQS","37","37","53","25"
"10/05/2015","55","PM2.5","Hanford-Irwin","06-031-1004","AQS","48","40","55","25"
"10/06/2015","56","PM10","Santa Rosa Rancheria","06-031-0500","AQS","54","56","53","32"
"10/07/2015","100","Ozone","Hanford-Irwin","06-031-1004","AQS","100","60","55","19"
"10/08/2015","119","Ozone","Hanford-Irwin","06-031-1004","AQS","119","70","69","30"
"10/09/2015","119","Ozone","Hanford-Irwin","06-031-1004","AQS","119","68","68","34"
"10/10/2015","143","Ozone","Hanford-Irwin","06-031-1004","AQS","143","68","60","25"
"10/11/2015","49","Ozone","Hanford-Irwin","06-031-1004","AQS","49","34","27","11"
"10/12/2015","93","Ozone","Hanford-Irwin","06-031-1004","AQS","93","61","53","24"
"10/13/2015","108","Ozone","Hanford-Irwin","06-031-1004","AQS","108","84","61","30"
"10/14/2015","83","PM10","Santa Rosa Rancheria","06-031-0500","AQS","49","83","64","42"
"10/15/2015","84","Ozone","Hanford-Irwin","06-031-1004","AQS","84","34","60","15"
