"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25","NO2"
"01/01/2015","64","PM2.5","Merced-Coffee","06-047-0003","AQS","27",".","64","16"
"01/02/2015","60","PM2.5","Merced-Coffee","06-047-0003","AQS","27",".","60","20"
"01/03/2015","79","PM2.5","Merced-M Street","06-047-2510","AQS","28",".","79","21"
"01/04/2015","73","PM2.5","Merced-Coffee","06-047-0003","AQS","24",".","73","19"
"01/05/2015","74","PM2.5","Merced-Coffee","06-047-0003","AQS","28",".","74","28"
"01/06/2015","108","PM2.5","Merced-M Street","06-047-2510","AQS","28","45","108","31"
"01/07/2015","105","PM2.5","Merced-Coffee","06-047-0003","AQS",".",".","105","."
"01/08/2015","128","PM2.5","Merced-Coffee","06-047-0003","AQS",".",".","128","25"
"01/09/2015","154","PM2.5","Merced-Coffee","06-047-0003","AQS",".",".","154","20"
"01/10/2015","151","PM2.5","Merced-Coffee","06-047-0003","AQS","25",".","151","22"
"01/11/2015","142","PM2.5","Merced-Coffee","06-047-0003","AQS","25",".","142","17"
"01/12/2015","110","PM2.5","Merced-M Street","06-047-2510","AQS","11","39","110","14"
"01/13/2015","114","PM2.5","Merced-Coffee","06-047-0003","AQS","18",".","114","22"
"01/14/2015","95","PM2.5","Merced-Coffee","06-047-0003","AQS","15",".","95","15"
"01/15/2015","70","PM2.5","Merced-M Street","06-047-2510","AQS","10",".","70","10"
"01/16/2015","65","PM2.5","Merced-Coffee","06-047-0003","AQS",".",".","65","13"
"01/17/2015","79","PM2.5","Merced-Coffee","06-047-0003","AQS","10",".","79","13"
"01/18/2015","92","PM2.5","Merced-Coffee","06-047-0003","AQS","9","27","92","7"
"01/19/2015","62","PM2.5","Merced-Coffee","06-047-0003","AQS","9",".","62","7"
"01/20/2015","52","PM2.5","Merced-Coffee","06-047-0003","AQS","10",".","52","8"
"01/21/2015","40","PM2.5","Merced-M Street","06-047-2510","AQS","13",".","40","9"
