"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2015","31","Ozone","Sonora-Barretta Street","06-109-0005","AQS","31","."
"01/02/2015","33","Ozone","Sonora-Barretta Street","06-109-0005","AQS","33","."
"01/03/2015","33","Ozone","Sonora-Barretta Street","06-109-0005","AQS","33","."
"01/04/2015","26","Ozone","Sonora-Barretta Street","06-109-0005","AQS","26","."
"01/05/2015","21","Ozone","Sonora-Barretta Street","06-109-0005","AQS","21","."
"01/06/2015","31","Ozone","Sonora-Barretta Street","06-109-0005","AQS","31","."
"01/07/2015","24","Ozone","Sonora-Barretta Street","06-109-0005","AQS","24","."
"01/08/2015","27","Ozone","Sonora-Barretta Street","06-109-0005","AQS","27","."
"01/09/2015","18","Ozone","Sonora-Barretta Street","06-109-0005","AQS","18","."
"01/10/2015","37","Ozone","Sonora-Barretta Street","06-109-0005","AQS","37","."
"01/11/2015","35","Ozone","Sonora-Barretta Street","06-109-0005","AQS","35","."
"01/12/2015","31","Ozone","Sonora-Barretta Street","06-109-0005","AQS","31","."
"01/13/2015","27","Ozone","Sonora-Barretta Street","06-109-0005","AQS","27","."
"01/14/2015","31","Ozone","Sonora-Barretta Street","06-109-0005","AQS","31","."
"01/15/2015","26","Ozone","Sonora-Barretta Street","06-109-0005","AQS","26","."
"01/16/2015","21","Ozone","Sonora-Barretta Street","06-109-0005","AQS","21","."
"01/17/2015","22","Ozone","Sonora-Barretta Street","06-109-0005","AQS","22","."
"01/18/2015","17","Ozone","Sonora-Barretta Street","06-109-0005","AQS","17","."
"01/19/2015","8","Ozone","Sonora-Barretta Street","06-109-0005","AQS","8","."
"01/20/2015","9","Ozone","Sonora-Barretta Street","06-109-0005","AQS","9","."
"01/21/2015","15","Ozone","Sonora-Barretta Street","06-109-0005","AQS","15","."
"01/22/2015","9","Ozone","Sonora-Barretta Street","06-109-0005","AQS","9","."
"01/23/2015","20","Ozone","Sonora-Barretta Street","06-109-0005","AQS","20","."
"01/24/2015","28","Ozone","Sonora-Barretta Street","06-109-0005","AQS","28","."
"01/25/2015","26","Ozone","Sonora-Barretta Street","06-109-0005","AQS","26","."
"01/26/2015","28","Ozone","Sonora-Barretta Street","06-109-0005","AQS","28","."
"01/27/2015","28","Ozone","Sonora-Barretta Street","06-109-0005","AQS","28","."
"01/28/2015","23","Ozone","Sonora-Barretta Street","06-109-0005","AQS","23","."
"01/29/2015","21","Ozone","Sonora-Barretta Street","06-109-0005","AQS","21","."
"01/30/2015","24","Ozone","Sonora-Barretta Street","06-109-0005","AQS","24","."
"01/31/2015","23","Ozone","Sonora-Barretta Street","06-109-0005","AQS","23","."
"02/01/2015","25","Ozone","Sonora-Barretta Street","06-109-0005","AQS","25","."
"02/02/2015","23","Ozone","Sonora-Barretta Street","06-109-0005","AQS","23","."
"02/03/2015","22","Ozone","Sonora-Barretta Street","06-109-0005","AQS","22","."
"02/04/2015","15","Ozone","Sonora-Barretta Street","06-109-0005","AQS","15","."
"02/05/2015","27","Ozone","Sonora-Barretta Street","06-109-0005","AQS","27","."
"02/06/2015","29","Ozone","Sonora-Barretta Street","06-109-0005","AQS","29","."
"02/07/2015","19","Ozone","Sonora-Barretta Street","06-109-0005","AQS","19","."
"02/08/2015","27","Ozone","Sonora-Barretta Street","06-109-0005","AQS","27","."
"02/09/2015","31","Ozone","Sonora-Barretta Street","06-109-0005","AQS","31","."
"02/10/2015","25","Ozone","Sonora-Barretta Street","06-109-0005","AQS","25","."
"02/11/2015","21","Ozone","Sonora-Barretta Street","06-109-0005","AQS","21","."
"02/12/2015","26","Ozone","Sonora-Barretta Street","06-109-0005","AQS","26","."
"02/13/2015","30","Ozone","Sonora-Barretta Street","06-109-0005","AQS","30","."
"02/14/2015","24","Ozone","Sonora-Barretta Street","06-109-0005","AQS","24","."
"02/15/2015","30","Ozone","Sonora-Barretta Street","06-109-0005","AQS","30","."
"02/16/2015","29","Ozone","Sonora-Barretta Street","06-109-0005","AQS","29","."
"02/17/2015","31","Ozone","Sonora-Barretta Street","06-109-0005","AQS","31","."
"02/18/2015","16","Ozone","Sonora-Barretta Street","06-109-0005","AQS","16","."
"02/19/2015","22","Ozone","Sonora-Barretta Street","06-109-0005","AQS","22","."
"02/20/2015","18","Ozone","Sonora-Barretta Street","06-109-0005","AQS","18","."
"02/21/2015","17","Ozone","Sonora-Barretta Street","06-109-0005","AQS","17","."
"02/22/2015","25","Ozone","Sonora-Barretta Street","06-109-0005","AQS","25","."
"02/23/2015","25","Ozone","Sonora-Barretta Street","06-109-0005","AQS","25","."
"02/24/2015","28","Ozone","Sonora-Barretta Street","06-109-0005","AQS","28","."
"02/25/2015","33","Ozone","Sonora-Barretta Street","06-109-0005","AQS","33","."
"02/26/2015","36","Ozone","Sonora-Barretta Street","06-109-0005","AQS","36","."
"02/27/2015","30","Ozone","Sonora-Barretta Street","06-109-0005","AQS","30","."
"02/28/2015","29","Ozone","Sonora-Barretta Street","06-109-0005","AQS","29","."
"03/01/2015","27","Ozone","Sonora-Barretta Street","06-109-0005","AQS","27","."
"03/02/2015","30","Ozone","Sonora-Barretta Street","06-109-0005","AQS","30","."
"03/03/2015","31","Ozone","Sonora-Barretta Street","06-109-0005","AQS","31","."
"03/04/2015","31","Ozone","Sonora-Barretta Street","06-109-0005","AQS","31","."
