"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM25"
"01/03/2015","9","PM2.5","Redwood NP","06-015-0002","AQS","9"
"01/06/2015","8","PM2.5","Redwood NP","06-015-0002","AQS","8"
"01/09/2015","18","PM2.5","Redwood NP","06-015-0002","AQS","18"
"01/15/2015","15","PM2.5","Redwood NP","06-015-0002","AQS","15"
"01/18/2015","22","PM2.5","Redwood NP","06-015-0002","AQS","22"
"01/21/2015","8","PM2.5","Redwood NP","06-015-0002","AQS","8"
"01/24/2015","15","PM2.5","Redwood NP","06-015-0002","AQS","15"
"01/27/2015","13","PM2.5","Redwood NP","06-015-0002","AQS","13"
"01/30/2015","15","PM2.5","Redwood NP","06-015-0002","AQS","15"
"02/02/2015","1","PM2.5","Redwood NP","06-015-0002","AQS","1"
"02/11/2015","12","PM2.5","Redwood NP","06-015-0002","AQS","12"
"02/14/2015","15","PM2.5","Redwood NP","06-015-0002","AQS","15"
"02/17/2015","11","PM2.5","Redwood NP","06-015-0002","AQS","11"
"02/20/2015","11","PM2.5","Redwood NP","06-015-0002","AQS","11"
"02/23/2015","6","PM2.5","Redwood NP","06-015-0002","AQS","6"
"02/26/2015","10","PM2.5","Redwood NP","06-015-0002","AQS","10"
"03/01/2015","17","PM2.5","Redwood NP","06-015-0002","AQS","17"
"03/04/2015","13","PM2.5","Redwood NP","06-015-0002","AQS","13"
"03/07/2015","13","PM2.5","Redwood NP","06-015-0002","AQS","13"
"03/10/2015","9","PM2.5","Redwood NP","06-015-0002","AQS","9"
"03/13/2015","7","PM2.5","Redwood NP","06-015-0002","AQS","7"
"03/16/2015","3","PM2.5","Redwood NP","06-015-0002","AQS","3"
"03/19/2015","16","PM2.5","Redwood NP","06-015-0002","AQS","16"
"03/22/2015","5","PM2.5","Redwood NP","06-015-0002","AQS","5"
"03/25/2015","9","PM2.5","Redwood NP","06-015-0002","AQS","9"
"03/28/2015","15","PM2.5","Redwood NP","06-015-0002","AQS","15"
"03/31/2015","11","PM2.5","Redwood NP","06-015-0002","AQS","11"
"04/03/2015","16","PM2.5","Redwood NP","06-015-0002","AQS","16"
"04/06/2015","4","PM2.5","Redwood NP","06-015-0002","AQS","4"
"04/09/2015","4","PM2.5","Redwood NP","06-015-0002","AQS","4"
"04/12/2015","23","PM2.5","Redwood NP","06-015-0002","AQS","23"
"04/15/2015","18","PM2.5","Redwood NP","06-015-0002","AQS","18"
"04/18/2015","35","PM2.5","Redwood NP","06-015-0002","AQS","35"
"04/21/2015","16","PM2.5","Redwood NP","06-015-0002","AQS","16"
"04/24/2015","17","PM2.5","Redwood NP","06-015-0002","AQS","17"
"04/27/2015","5","PM2.5","Redwood NP","06-015-0002","AQS","5"
"04/30/2015","44","PM2.5","Redwood NP","06-015-0002","AQS","44"
"05/03/2015","18","PM2.5","Redwood NP","06-015-0002","AQS","18"
"05/06/2015","25","PM2.5","Redwood NP","06-015-0002","AQS","25"
"05/09/2015","24","PM2.5","Redwood NP","06-015-0002","AQS","24"
"05/12/2015","16","PM2.5","Redwood NP","06-015-0002","AQS","16"
"05/15/2015","16","PM2.5","Redwood NP","06-015-0002","AQS","16"
"05/18/2015","21","PM2.5","Redwood NP","06-015-0002","AQS","21"
"05/21/2015","10","PM2.5","Redwood NP","06-015-0002","AQS","10"
"05/24/2015","17","PM2.5","Redwood NP","06-015-0002","AQS","17"
"05/27/2015","6","PM2.5","Redwood NP","06-015-0002","AQS","6"
"05/30/2015","6","PM2.5","Redwood NP","06-015-0002","AQS","6"
"06/02/2015","5","PM2.5","Redwood NP","06-015-0002","AQS","5"
"06/05/2015","39","PM2.5","Redwood NP","06-015-0002","AQS","39"
"06/08/2015","15","PM2.5","Redwood NP","06-015-0002","AQS","15"
"06/11/2015","52","PM2.5","Redwood NP","06-015-0002","AQS","52"
"06/14/2015","62","PM2.5","Redwood NP","06-015-0002","AQS","62"
"06/17/2015","18","PM2.5","Redwood NP","06-015-0002","AQS","18"
"06/20/2015","24","PM2.5","Redwood NP","06-015-0002","AQS","24"
"06/23/2015","15","PM2.5","Redwood NP","06-015-0002","AQS","15"
"06/26/2015","47","PM2.5","Redwood NP","06-015-0002","AQS","47"
"06/29/2015","3","PM2.5","Redwood NP","06-015-0002","AQS","3"
"07/02/2015","10","PM2.5","Redwood NP","06-015-0002","AQS","10"
"07/05/2015","5","PM2.5","Redwood NP","06-015-0002","AQS","5"
"07/08/2015","23","PM2.5","Redwood NP","06-015-0002","AQS","23"
"07/11/2015","10","PM2.5","Redwood NP","06-015-0002","AQS","10"
"07/14/2015","24","PM2.5","Redwood NP","06-015-0002","AQS","24"
"07/17/2015","58","PM2.5","Redwood NP","06-015-0002","AQS","58"
"07/23/2015","25","PM2.5","Redwood NP","06-015-0002","AQS","25"
"07/26/2015","16","PM2.5","Redwood NP","06-015-0002","AQS","16"
"07/29/2015","39","PM2.5","Redwood NP","06-015-0002","AQS","39"
"08/01/2015","8","PM2.5","Redwood NP","06-015-0002","AQS","8"
"08/04/2015","6","PM2.5","Redwood NP","06-015-0002","AQS","6"
"08/07/2015","39","PM2.5","Redwood NP","06-015-0002","AQS","39"
"08/10/2015","34","PM2.5","Redwood NP","06-015-0002","AQS","34"
"08/13/2015","54","PM2.5","Redwood NP","06-015-0002","AQS","54"
"08/16/2015","67","PM2.5","Redwood NP","06-015-0002","AQS","67"
"08/19/2015","27","PM2.5","Redwood NP","06-015-0002","AQS","27"
"08/22/2015","30","PM2.5","Redwood NP","06-015-0002","AQS","30"
"08/25/2015","69","PM2.5","Redwood NP","06-015-0002","AQS","69"
"08/28/2015","67","PM2.5","Redwood NP","06-015-0002","AQS","67"
"08/31/2015","38","PM2.5","Redwood NP","06-015-0002","AQS","38"
"09/03/2015","21","PM2.5","Redwood NP","06-015-0002","AQS","21"
"09/06/2015","20","PM2.5","Redwood NP","06-015-0002","AQS","20"
"09/09/2015","52","PM2.5","Redwood NP","06-015-0002","AQS","52"
"09/12/2015","10","PM2.5","Redwood NP","06-015-0002","AQS","10"
"09/15/2015","27","PM2.5","Redwood NP","06-015-0002","AQS","27"
"09/18/2015","10","PM2.5","Redwood NP","06-015-0002","AQS","10"
"09/21/2015","9","PM2.5","Redwood NP","06-015-0002","AQS","9"
"09/24/2015","15","PM2.5","Redwood NP","06-015-0002","AQS","15"
"09/27/2015","37","PM2.5","Redwood NP","06-015-0002","AQS","37"
"09/30/2015","16","PM2.5","Redwood NP","06-015-0002","AQS","16"
"10/03/2015","20","PM2.5","Redwood NP","06-015-0002","AQS","20"
"10/06/2015","17","PM2.5","Redwood NP","06-015-0002","AQS","17"
"10/09/2015","19","PM2.5","Redwood NP","06-015-0002","AQS","19"
"10/12/2015","18","PM2.5","Redwood NP","06-015-0002","AQS","18"
"10/15/2015","5","PM2.5","Redwood NP","06-015-0002","AQS","5"
"10/18/2015","10","PM2.5","Redwood NP","06-015-0002","AQS","10"
"10/21/2015","18","PM2.5","Redwood NP","06-015-0002","AQS","18"
"10/24/2015","21","PM2.5","Redwood NP","06-015-0002","AQS","21"
"10/27/2015","8","PM2.5","Redwood NP","06-015-0002","AQS","8"
"10/30/2015","13","PM2.5","Redwood NP","06-015-0002","AQS","13"
"11/02/2015","9","PM2.5","Redwood NP","06-015-0002","AQS","9"
"11/05/2015","24","PM2.5","Redwood NP","06-015-0002","AQS","24"
"11/08/2015","4","PM2.5","Redwood NP","06-015-0002","AQS","4"
"11/11/2015","9","PM2.5","Redwood NP","06-015-0002","AQS","9"
"11/14/2015","32","PM2.5","Redwood NP","06-015-0002","AQS","32"
"11/17/2015","3","PM2.5","Redwood NP","06-015-0002","AQS","3"
"11/20/2015","4","PM2.5","Redwood NP","06-015-0002","AQS","4"
"11/23/2015","21","PM2.5","Redwood NP","06-015-0002","AQS","21"
