"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","SO2","PM10","PM25"
"06/26/2015","54","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","54","0","23","36"
"06/27/2015","48","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","48","0","23","41"
"06/28/2015","47","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","47","0","20","38"
"06/29/2015","58","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","58","0","27","33"
"06/30/2015","71","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","71","0","19","30"
"07/01/2015","123","PM10","Lizard Tail","06-027-0028","AQS","67","0","123","61"
"07/02/2015","77","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","77","0","14","52"
"07/03/2015","84","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","84",".","11","29"
"07/04/2015","50","PM10","Keeler","06-027-1003","AQS","49",".","50","45"
"07/05/2015","48","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","48",".","13","20"
"07/06/2015","48","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","48",".","16","18"
"07/07/2015","48","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","48","0","13","18"
"07/08/2015","50","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","50","0","15","17"
"07/09/2015","47","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","47","0","24","19"
"07/10/2015","45","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","45","0","14","22"
"07/11/2015","54","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","54","0","16","23"
"07/12/2015","50","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","50","0","14","25"
"07/13/2015","54","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","54","0","14","25"
"07/14/2015","80","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","80","0","32","22"
"07/15/2015","80","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","80","0","19","26"
"07/16/2015","87","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","87","0","19","30"
"07/17/2015","51","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","51","0","26","27"
"07/18/2015","58","PM10","North Beach","06-027-0029","AQS","41","0","58","47"
"07/19/2015","44","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","44","0","16","33"
"07/20/2015","44","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","44","0","9","26"
"07/21/2015","45","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","45","0","10","21"
"07/22/2015","51","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","51","0","16","28"
"07/23/2015","51","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","51","0","20","35"
"07/24/2015","58","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","58","0","19","34"
"07/25/2015","64","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","64","0","17","52"
"07/26/2015","69","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","64","0","26","69"
"07/27/2015","61","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","61","0","19","38"
"07/28/2015","47","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","47","0","14","18"
"07/29/2015","45","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","45","0","19","22"
"07/30/2015","76","PM10","Mill Site","06-027-0030","AQS","43","0","76","47"
"07/31/2015","46","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","46","0","16","36"
"08/01/2015","159","PM10","Mill Site","06-027-0030","AQS","58","0","159","97"
"08/02/2015","48","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","48","0","24","43"
"08/03/2015","75","PM2.5","Keeler","06-027-1003","AQS","43","0","47","75"
"08/04/2015","73","PM2.5","Keeler","06-027-1003","AQS","42","0","47","73"
"08/05/2015","56","PM2.5","Keeler","06-027-1003","AQS","38","0","20","56"
"08/06/2015","41","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","41","0","19","22"
"08/07/2015","52","PM10","Mill Site","06-027-0030","AQS","44","0","52","51"
"08/08/2015","45","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","45","0","13","25"
"08/09/2015","51","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","51","0","19","21"
"08/10/2015","49","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","49","0","19","32"
"08/11/2015","51","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","51","0","20","17"
"08/12/2015","44","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","44","0","14","16"
"08/13/2015","47","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","47","0","23","34"
"08/14/2015","52","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","47","0","26","52"
"08/15/2015","44","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","44","0","31","38"
"08/16/2015","53","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","45","0","28","53"
"08/17/2015","68","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","64","0","50","68"
"08/18/2015","63","PM2.5","Keeler","06-027-1003","AQS","58","0","50","63"
"08/19/2015","80","PM2.5","Keeler","06-027-1003","AQS","67","0","57","80"
"08/20/2015","97","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","97","0","52","75"
"08/21/2015","93","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","93","0","44","81"
"08/22/2015","100","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","100","0","36","84"
"08/23/2015","79","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","58","0","41","79"
"08/24/2015","81","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","47","0","41","81"
"08/25/2015","71","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","50","0","51","71"
"08/26/2015","74","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","50","0","72","74"
"08/27/2015","62","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","58","0","34","62"
"08/28/2015","155","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","54",".","71","155"
"08/29/2015","172","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","46",".","87","172"
"08/30/2015","107","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","35",".","37","107"
"08/31/2015","43","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","43",".","28","33"
"09/01/2015","53","PM10","Lone Pine Paiute-Shoshone Reservation","06-027-1018","AQS","49",".","53","28"
"09/02/2015","45","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","45",".","36","43"
"09/03/2015","52","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","47",".","29","52"
"09/04/2015","77","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","77",".","38","63"
"09/05/2015","64","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","64",".","23","48"
"09/06/2015","47","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","47",".","24","40"
"09/07/2015","91","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","48",".","51","91"
"09/08/2015","58","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","37",".","31","58"
"09/09/2015","72","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","43",".","44","72"
"09/10/2015","52","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","44",".","32","52"
"09/11/2015","44","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","44",".","26","40"
"09/12/2015","68","PM10","Keeler","06-027-1003","AQS","54",".","68","52"
"09/13/2015","69","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","41",".","51","69"
"09/14/2015","70","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","32",".","49","70"
"09/15/2015","52","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","39",".","27","52"
"09/16/2015","47","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","47",".","29","13"
"09/17/2015","50","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","50",".","17","15"
"09/18/2015","46","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","46",".","12","13"
"09/19/2015","47","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","47",".","14","16"
"09/20/2015","44","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","44",".","11","14"
"09/21/2015","46","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","46",".","15","15"
"09/22/2015","48","PM2.5","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","46",".","30","48"
"09/23/2015","67","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","67",".","26","42"
