"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","SO2","PM10","PM25"
"11/26/2015","33","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","33","0","6","13"
"11/27/2015","31","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","31","0","7","14"
"11/28/2015","32","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","32","0","10","15"
"11/29/2015","35","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","35","0","12","15"
"11/30/2015","32","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","32","0","12","19"
"12/01/2015","37","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","37","0","15","27"
"12/02/2015","33","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","33","0","20","30"
"12/03/2015","29","PM10","Lone Pine PM","06-027-0004","AQS","29",".","29","18"
"12/04/2015","41","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","41","0","16","18"
"12/05/2015","33","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","33","0","16","13"
"12/06/2015","33","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","33","0","12","13"
"12/07/2015","30","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","30","0","14","23"
"12/08/2015","29","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","29","0","21","21"
"12/09/2015","29","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","29","0","15","15"
"12/10/2015","171","PM10","Shell Cut","06-027-0025","AQS","39","0","171","13"
"12/11/2015","39","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","39","0","35","18"
"12/12/2015","36","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","36","0","7","9"
"12/13/2015","37","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","37","0","36","10"
"12/14/2015","97","PM10","Keeler","06-027-1003","AQS","37",".","97","72"
"12/15/2015","84","PM10","North Beach","06-027-0029","AQS","36",".","84","49"
"12/16/2015","32","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","32",".","9","15"
"12/17/2015","33","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","33",".","11","16"
"12/18/2015","29","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","29",".","13","20"
"12/19/2015","33","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","33",".","27","26"
"12/20/2015","31","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","31","0","10","21"
"12/21/2015","28","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","28","0","8","20"
"12/22/2015","67","PM10","Coso Junction","06-027-1001","AQS","39","0","67","28"
"12/23/2015","39","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","39","0","11","13"
"12/24/2015","60","PM10","Olancha","06-027-0021","AQS","35","0","60","10"
"12/25/2015","35","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","35","0","8","5"
"12/26/2015","63","PM10","Olancha","06-027-0021","AQS","34","0","63","42"
"12/27/2015","34","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","34","0","11","11"
"12/28/2015","32","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","32","0","14","20"
"12/29/2015","34","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","34","0","12","11"
"12/30/2015","34","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","34","0","11","17"
"12/31/2015","36","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","36","0","6","13"
