"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2015","24","Ozone","Jackson-Clinton Road","06-005-0002","AQS","24","."
"01/02/2015","22","Ozone","Jackson-Clinton Road","06-005-0002","AQS","22","."
"01/03/2015","23","Ozone","Jackson-Clinton Road","06-005-0002","AQS","23","."
"01/04/2015","21","Ozone","Jackson-Clinton Road","06-005-0002","AQS","21","."
"01/05/2015","18","Ozone","Jackson-Clinton Road","06-005-0002","AQS","18","."
"01/06/2015","15","Ozone","Jackson-Clinton Road","06-005-0002","AQS","15","."
"01/07/2015","17","Ozone","Jackson-Clinton Road","06-005-0002","AQS","17","."
"01/08/2015","19","Ozone","Jackson-Clinton Road","06-005-0002","AQS","19","."
"01/09/2015","6","Ozone","Jackson-Clinton Road","06-005-0002","AQS","6","."
"01/10/2015","24","Ozone","Jackson-Clinton Road","06-005-0002","AQS","24","."
"01/11/2015","23","Ozone","Jackson-Clinton Road","06-005-0002","AQS","23","."
"01/12/2015","22","Ozone","Jackson-Clinton Road","06-005-0002","AQS","22","."
"01/13/2015","21","Ozone","Jackson-Clinton Road","06-005-0002","AQS","21","."
"01/14/2015","22","Ozone","Jackson-Clinton Road","06-005-0002","AQS","22","."
"01/15/2015","22","Ozone","Jackson-Clinton Road","06-005-0002","AQS","22","."
"01/16/2015","18","Ozone","Jackson-Clinton Road","06-005-0002","AQS","18","."
"01/17/2015","11","Ozone","Jackson-Clinton Road","06-005-0002","AQS","11","."
"01/18/2015","13","Ozone","Jackson-Clinton Road","06-005-0002","AQS","13","."
"01/19/2015","8","Ozone","Jackson-Clinton Road","06-005-0002","AQS","8","."
"01/20/2015","12","Ozone","Jackson-Clinton Road","06-005-0002","AQS","12","."
"01/21/2015","16","Ozone","Jackson-Clinton Road","06-005-0002","AQS","16","."
"01/22/2015","10","Ozone","Jackson-Clinton Road","06-005-0002","AQS","10","."
"01/23/2015","15","Ozone","Jackson-Clinton Road","06-005-0002","AQS","15","."
"01/24/2015","16","Ozone","Jackson-Clinton Road","06-005-0002","AQS","16","."
"01/25/2015","15","Ozone","Jackson-Clinton Road","06-005-0002","AQS","15","."
"01/26/2015","15","Ozone","Jackson-Clinton Road","06-005-0002","AQS","15","."
"01/27/2015","29","Ozone","Jackson-Clinton Road","06-005-0002","AQS","29","."
"01/28/2015","22","Ozone","Jackson-Clinton Road","06-005-0002","AQS","22","."
"01/29/2015","22","Ozone","Jackson-Clinton Road","06-005-0002","AQS","22","."
"01/30/2015","24","Ozone","Jackson-Clinton Road","06-005-0002","AQS","24","."
"01/31/2015","22","Ozone","Jackson-Clinton Road","06-005-0002","AQS","22","."
"02/01/2015","28","Ozone","Jackson-Clinton Road","06-005-0002","AQS","28","."
"02/02/2015","23","Ozone","Jackson-Clinton Road","06-005-0002","AQS","23","."
"02/03/2015","19","Ozone","Jackson-Clinton Road","06-005-0002","AQS","19","."
"02/04/2015","19","Ozone","Jackson-Clinton Road","06-005-0002","AQS","19","."
"02/05/2015","27","Ozone","Jackson-Clinton Road","06-005-0002","AQS","27","."
"02/06/2015","31","Ozone","Jackson-Clinton Road","06-005-0002","AQS","31","."
"02/07/2015","24","Ozone","Jackson-Clinton Road","06-005-0002","AQS","24","."
"02/08/2015","31","Ozone","Jackson-Clinton Road","06-005-0002","AQS","31","."
"02/09/2015","34","Ozone","Jackson-Clinton Road","06-005-0002","AQS","34","."
"02/10/2015","20","Ozone","Jackson-Clinton Road","06-005-0002","AQS","20","."
"02/11/2015","21","Ozone","Jackson-Clinton Road","06-005-0002","AQS","21","."
"02/12/2015","25","Ozone","Jackson-Clinton Road","06-005-0002","AQS","25","."
"02/13/2015","30","Ozone","Jackson-Clinton Road","06-005-0002","AQS","30","."
"02/14/2015","31","Ozone","Jackson-Clinton Road","06-005-0002","AQS","31","."
"02/15/2015","31","Ozone","Jackson-Clinton Road","06-005-0002","AQS","31","."
"02/16/2015","31","Ozone","Jackson-Clinton Road","06-005-0002","AQS","31","."
"02/17/2015","31","Ozone","Jackson-Clinton Road","06-005-0002","AQS","31","."
"02/18/2015","20","Ozone","Jackson-Clinton Road","06-005-0002","AQS","20","."
"02/19/2015","22","Ozone","Jackson-Clinton Road","06-005-0002","AQS","22","."
"02/20/2015","13","Ozone","Jackson-Clinton Road","06-005-0002","AQS","13","."
"02/21/2015","21","Ozone","Jackson-Clinton Road","06-005-0002","AQS","21","."
"02/22/2015","31","Ozone","Jackson-Clinton Road","06-005-0002","AQS","31","."
"02/23/2015","31","Ozone","Jackson-Clinton Road","06-005-0002","AQS","31","."
"02/24/2015","32","Ozone","Jackson-Clinton Road","06-005-0002","AQS","32","."
"02/25/2015","37","Ozone","Jackson-Clinton Road","06-005-0002","AQS","37","."
"02/26/2015","39","Ozone","Jackson-Clinton Road","06-005-0002","AQS","39","."
"02/27/2015","31","Ozone","Jackson-Clinton Road","06-005-0002","AQS","31","."
"02/28/2015","32","Ozone","Jackson-Clinton Road","06-005-0002","AQS","32","."
"03/01/2015","29","Ozone","Jackson-Clinton Road","06-005-0002","AQS","29","."
"03/02/2015","28","Ozone","Jackson-Clinton Road","06-005-0002","AQS","28","."
"03/03/2015","31","Ozone","Jackson-Clinton Road","06-005-0002","AQS","31","."
"03/04/2015","35","Ozone","Jackson-Clinton Road","06-005-0002","AQS","35","."
"03/05/2015","37","Ozone","Jackson-Clinton Road","06-005-0002","AQS","37","."
"03/06/2015","36","Ozone","Jackson-Clinton Road","06-005-0002","AQS","36","."
"03/07/2015","43","Ozone","Jackson-Clinton Road","06-005-0002","AQS","43","."
"03/08/2015","50","Ozone","Jackson-Clinton Road","06-005-0002","AQS","50","."
"03/09/2015","44","Ozone","Jackson-Clinton Road","06-005-0002","AQS","44","."
"03/10/2015","31","Ozone","Jackson-Clinton Road","06-005-0002","AQS","31","."
"03/11/2015","28","Ozone","Jackson-Clinton Road","06-005-0002","AQS","28","."
"03/12/2015","31","Ozone","Jackson-Clinton Road","06-005-0002","AQS","31","."
"03/13/2015","35","Ozone","Jackson-Clinton Road","06-005-0002","AQS","35","."
"03/14/2015","37","Ozone","Jackson-Clinton Road","06-005-0002","AQS","37","."
"03/15/2015","45","Ozone","Jackson-Clinton Road","06-005-0002","AQS","45","."
"03/16/2015","37","Ozone","Jackson-Clinton Road","06-005-0002","AQS","37","."
"03/17/2015","43","Ozone","Jackson-Clinton Road","06-005-0002","AQS","43","."
"03/18/2015","38","Ozone","Jackson-Clinton Road","06-005-0002","AQS","38","."
"03/19/2015","41","Ozone","Jackson-Clinton Road","06-005-0002","AQS","41","."
"03/20/2015","41","Ozone","Jackson-Clinton Road","06-005-0002","AQS","41","."
"03/21/2015","37","Ozone","Jackson-Clinton Road","06-005-0002","AQS","37","."
"03/22/2015","34","Ozone","Jackson-Clinton Road","06-005-0002","AQS","34","."
"03/23/2015","42","Ozone","Jackson-Clinton Road","06-005-0002","AQS","42","."
"03/24/2015","35","Ozone","Jackson-Clinton Road","06-005-0002","AQS","35","."
"03/25/2015","29","Ozone","Jackson-Clinton Road","06-005-0002","AQS","29","."
"03/26/2015","34","Ozone","Jackson-Clinton Road","06-005-0002","AQS","34","."
"03/27/2015","44","Ozone","Jackson-Clinton Road","06-005-0002","AQS","44","."
"03/28/2015","43","Ozone","Jackson-Clinton Road","06-005-0002","AQS","43","."
"03/29/2015","42","Ozone","Jackson-Clinton Road","06-005-0002","AQS","42","."
"03/30/2015","47","Ozone","Jackson-Clinton Road","06-005-0002","AQS","47","."
"03/31/2015","44","Ozone","Jackson-Clinton Road","06-005-0002","AQS","44","."
"04/01/2015","41","Ozone","Jackson-Clinton Road","06-005-0002","AQS","41","."
"04/02/2015","41","Ozone","Jackson-Clinton Road","06-005-0002","AQS","41","."
"04/03/2015","44","Ozone","Jackson-Clinton Road","06-005-0002","AQS","44","."
"04/04/2015","48","Ozone","Jackson-Clinton Road","06-005-0002","AQS","48","."
"04/05/2015","41","Ozone","Jackson-Clinton Road","06-005-0002","AQS","41","."
"04/06/2015","43","Ozone","Jackson-Clinton Road","06-005-0002","AQS","43","."
"04/07/2015","36","Ozone","Jackson-Clinton Road","06-005-0002","AQS","36","."
"04/08/2015","42","Ozone","Jackson-Clinton Road","06-005-0002","AQS","42","."
"04/09/2015","37","Ozone","Jackson-Clinton Road","06-005-0002","AQS","37","."
"04/10/2015","61","Ozone","Jackson-Clinton Road","06-005-0002","AQS","61","."
"04/11/2015","41","Ozone","Jackson-Clinton Road","06-005-0002","AQS","41","."
"04/12/2015","44","Ozone","Jackson-Clinton Road","06-005-0002","AQS","44","."
"04/13/2015","61","Ozone","Jackson-Clinton Road","06-005-0002","AQS","61","."
"04/14/2015","46","Ozone","Jackson-Clinton Road","06-005-0002","AQS","46","."
"04/15/2015","44","Ozone","Jackson-Clinton Road","06-005-0002","AQS","44","."
"04/16/2015","61","Ozone","Jackson-Clinton Road","06-005-0002","AQS","61","."
"04/17/2015","74","Ozone","Jackson-Clinton Road","06-005-0002","AQS","74","."
"04/18/2015","71","Ozone","Jackson-Clinton Road","06-005-0002","AQS","71","."
"04/19/2015","74","Ozone","Jackson-Clinton Road","06-005-0002","AQS","74","."
