"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM25","NO2"
"01/01/2015","56","PM2.5","Redwood City","06-081-1001","AQS","7","28","56","32"
"01/02/2015","58","PM2.5","Redwood City","06-081-1001","AQS","11","18","58","31"
"01/03/2015","72","PM2.5","Redwood City","06-081-1001","AQS","11","19","72","30"
"01/04/2015","78","PM2.5","Redwood City","06-081-1001","AQS","11","19","78","31"
"01/05/2015","70","PM2.5","Redwood City","06-081-1001","AQS","13","13","70","41"
"01/06/2015","74","PM2.5","Redwood City","06-081-1001","AQS","16","13","74","42"
"01/07/2015","64","PM2.5","Redwood City","06-081-1001","AQS","18","8","64","38"
"01/08/2015","70","PM2.5","Redwood City","06-081-1001","AQS","16","3","70","34"
"01/09/2015","72","PM2.5","Redwood City","06-081-1001","AQS","16","6","72","38"
"01/10/2015","58","PM2.5","Redwood City","06-081-1001","AQS","11","14","58","25"
"01/11/2015","52","PM2.5","Redwood City","06-081-1001","AQS","10","13","52","21"
"01/12/2015","36","PM2.5","Redwood City","06-081-1001","AQS","16","10","36","33"
"01/13/2015","27","NO2","Redwood City","06-081-1001","AQS","11","19","20","27"
"01/14/2015","54","PM2.5","Redwood City","06-081-1001","AQS","14","17","54","33"
"01/15/2015","78","PM2.5","Redwood City","06-081-1001","AQS","11","10","78","35"
"01/16/2015","74","PM2.5","Redwood City","06-081-1001","AQS","11","8","74","33"
"01/17/2015","58","PM2.5","Redwood City","06-081-1001","AQS","7","14","58","21"
"01/18/2015","59","PM2.5","Redwood City","06-081-1001","AQS","8","7","59","20"
"01/19/2015","32","PM2.5","Redwood City","06-081-1001","AQS","8","10","32","20"
"01/20/2015","54","PM2.5","Redwood City","06-081-1001","AQS","8","10","54","25"
"01/21/2015","30","NO2","Redwood City","06-081-1001","AQS","9","19","29","30"
"01/22/2015","52","PM2.5","Redwood City","06-081-1001","AQS","8","13","52","23"
"01/23/2015","46","PM2.5","Redwood City","06-081-1001","AQS","13","12","46","33"
"01/24/2015","30","PM2.5","Redwood City","06-081-1001","AQS","10","24","30","27"
"01/25/2015","36","PM2.5","Redwood City","06-081-1001","AQS","9","16","36","23"
"01/26/2015","39","PM2.5","Redwood City","06-081-1001","AQS","13","14","39","31"
"01/27/2015","30","NO2","Redwood City","06-081-1001","AQS","11","27","18","30"
"01/28/2015","41","PM2.5","Redwood City","06-081-1001","AQS","10","19","41","31"
"01/29/2015","49","PM2.5","Redwood City","06-081-1001","AQS","13","19","49","32"
"01/30/2015","38","PM2.5","Redwood City","06-081-1001","AQS","9","12","38","19"
"01/31/2015","33","NO2","Redwood City","06-081-1001","AQS","8","30","20","33"
"02/01/2015","34","PM2.5","Redwood City","06-081-1001","AQS","9","16","34","28"
"02/02/2015","63","PM2.5","Redwood City","06-081-1001","AQS","13","15","63","40"
"02/03/2015","61","PM2.5","Redwood City","06-081-1001","AQS","11","16","61","38"
"02/04/2015","49","PM2.5","Redwood City","06-081-1001","AQS","14","14","49","27"
"02/05/2015","34","NO2","Redwood City","06-081-1001","AQS","10","30","24","34"
"02/06/2015","29","Ozone","Redwood City","06-081-1001","AQS","5","29","0","7"
"02/07/2015","22","Ozone","Redwood City","06-081-1001","AQS","7","22","6","20"
"02/08/2015","36","Ozone","Redwood City","06-081-1001","AQS","7","36","6","14"
"02/09/2015","28","Ozone","Redwood City","06-081-1001","AQS","8","28","23","25"
"02/10/2015","26","NO2","Redwood City","06-081-1001","AQS","11","23","17","26"
"02/11/2015","27","NO2","Redwood City","06-081-1001","AQS","11","16","22","27"
"02/12/2015","36","PM2.5","Redwood City","06-081-1001","AQS","13","22","36","36"
"02/13/2015","47","PM2.5","Redwood City","06-081-1001","AQS","13","20","47","43"
"02/14/2015","44","PM2.5","Redwood City","06-081-1001","AQS","10",".","44","32"
"02/15/2015","27","PM2.5","Redwood City","06-081-1001","AQS","9",".","27","23"
"02/16/2015","25","NO2","Redwood City","06-081-1001","AQS","10",".","20","25"
"02/17/2015","35","PM2.5","Redwood City","06-081-1001","AQS","6","31","35","15"
