"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM25"
"05/26/2016","29","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","29"
"05/27/2016","38","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","38"
"05/28/2016","40","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","40"
"05/29/2016","26","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","26"
"05/30/2016","30","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","30"
"05/31/2016","36","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","36"
"06/01/2016","26","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","26"
"06/02/2016","23","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","23"
"06/03/2016","30","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","30"
"06/04/2016","34","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","34"
"06/05/2016","26","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","26"
"06/06/2016","36","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","36"
"06/29/2016","33","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","33"
"06/30/2016","40","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","40"
"07/01/2016","41","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","41"
"07/02/2016","48","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","48"
"07/03/2016","37","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","37"
"07/04/2016","31","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","31"
"07/05/2016","31","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","31"
"07/06/2016","29","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","29"
"07/07/2016","28","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","28"
"07/08/2016","19","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","19"
"07/09/2016","21","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","21"
"07/10/2016","20","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","20"
"07/11/2016","20","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","20"
"07/12/2016","21","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","21"
"07/13/2016","28","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","28"
"07/14/2016","24","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","24"
"07/15/2016","33","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","33"
"07/16/2016","26","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","26"
"07/17/2016","25","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","25"
"07/18/2016","24","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","24"
"07/19/2016","27","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","27"
"07/20/2016","26","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","26"
"07/21/2016","23","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","23"
