"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2016","54","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","26","54"
"01/02/2016","58","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","33","58"
"01/03/2016","63","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","32","63"
"01/04/2016","38","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","32","38"
"01/05/2016","30","Ozone","Santa Cruz","06-087-0007","AQS","30","14"
"01/06/2016","37","Ozone","Santa Cruz","06-087-0007","AQS","37","11"
"01/07/2016","29","Ozone","Santa Cruz","06-087-0007","AQS","29","15"
"01/08/2016","21","Ozone","Santa Cruz","06-087-0007","AQS","21","18"
"01/09/2016","23","Ozone","Santa Cruz","06-087-0007","AQS","23","22"
"01/10/2016","24","Ozone","Santa Cruz","06-087-0007","AQS","24","20"
"01/11/2016","24","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","19","24"
"01/12/2016","29","Ozone","Santa Cruz","06-087-0007","AQS","29","23"
"01/13/2016","34","Ozone","Santa Cruz","06-087-0007","AQS","34","20"
"01/14/2016","31","Ozone","Santa Cruz","06-087-0007","AQS","31","20"
"01/15/2016","30","PM2.5","Santa Cruz","06-087-0007","AQS","29","30"
"01/16/2016","28","PM2.5","Santa Cruz","06-087-0007","AQS","22","28"
"01/17/2016","30","PM2.5","Santa Cruz","06-087-0007","AQS","24","30"
"01/18/2016","29","Ozone","Santa Cruz","06-087-0007","AQS","29","15"
"01/19/2016","25","Ozone","Santa Cruz","06-087-0007","AQS","25","17"
"01/20/2016","23","Ozone","Santa Cruz","06-087-0007","AQS","23","21"
"01/21/2016","31","Ozone","Santa Cruz","06-087-0007","AQS","31","15"
"01/22/2016","29","Ozone","Santa Cruz","06-087-0007","AQS","29","18"
"01/23/2016","31","Ozone","Santa Cruz","06-087-0007","AQS","31","16"
"01/24/2016","29","Ozone","Santa Cruz","06-087-0007","AQS","29","19"
"01/25/2016","24","Ozone","Santa Cruz","06-087-0007","AQS","24","22"
"01/26/2016","28","PM2.5","Santa Cruz","06-087-0007","AQS","23","28"
"01/27/2016","47","PM2.5","Santa Cruz","06-087-0007","AQS","13","47"
"01/28/2016","46","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","16","46"
"01/29/2016","48","PM2.5","Santa Cruz","06-087-0007","AQS","29","48"
"01/30/2016","31","Ozone","Santa Cruz","06-087-0007","AQS","31","14"
"01/31/2016","35","Ozone","Santa Cruz","06-087-0007","AQS","35","17"
"02/01/2016","32","Ozone","Santa Cruz","06-087-0007","AQS","32","17"
"02/02/2016","40","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","30","40"
"02/03/2016","31","Ozone","Santa Cruz","06-087-0007","AQS","31","20"
"02/04/2016","30","PM2.5","Santa Cruz","06-087-0007","AQS","28","30"
"02/05/2016","34","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","26","34"
"02/06/2016","40","PM2.5","Santa Cruz","06-087-0007","AQS","31","40"
"02/07/2016","55","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","32","55"
"02/08/2016","47","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","32","47"
"02/09/2016","31","Ozone","Santa Cruz","06-087-0007","AQS","31","30"
"02/10/2016","31","PM2.5","Santa Cruz","06-087-0007","AQS","31","31"
"02/11/2016","42","PM2.5","Santa Cruz","06-087-0007","AQS","29","42"
"02/12/2016","44","PM2.5","Santa Cruz","06-087-0007","AQS","29","44"
"02/13/2016","38","PM2.5","Santa Cruz","06-087-0007","AQS","19","38"
"02/14/2016","40","PM2.5","Santa Cruz","06-087-0007","AQS","27","40"
"02/15/2016","25","PM2.5","Santa Cruz","06-087-0007","AQS","25","25"
"02/16/2016","32","Ozone","Santa Cruz","06-087-0007","AQS","32","20"
"02/17/2016","36","Ozone","Santa Cruz","06-087-0007","AQS","36","35"
"02/18/2016","38","Ozone","Santa Cruz","06-087-0007","AQS","38","19"
"02/19/2016","36","Ozone","Santa Cruz","06-087-0007","AQS","36","28"
"02/20/2016","32","Ozone","Santa Cruz","06-087-0007","AQS","32","21"
"02/21/2016","33","Ozone","Santa Cruz","06-087-0007","AQS","33","26"
"02/22/2016","31","Ozone","Santa Cruz","06-087-0007","AQS","31","25"
"02/23/2016","35","Ozone","Santa Cruz","06-087-0007","AQS","35","28"
"02/24/2016","36","Ozone","Santa Cruz","06-087-0007","AQS","36","33"
"02/25/2016","44","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","43","44"
"02/26/2016","32","PM2.5","San Lorenzo Valley Middle School","06-087-1005","AQS","32","32"
"02/27/2016","31","Ozone","Santa Cruz","06-087-0007","AQS","31","29"
"02/28/2016","45","PM2.5","Santa Cruz","06-087-0007","AQS","29","45"
"02/29/2016","31","Ozone","Santa Cruz","06-087-0007","AQS","31","22"
"03/01/2016","32","Ozone","Santa Cruz","06-087-0007","AQS","32","29"
"03/02/2016","24","Ozone","Santa Cruz","06-087-0007","AQS","24","19"
"03/03/2016","25","Ozone","Santa Cruz","06-087-0007","AQS","25","13"
"03/04/2016","21","Ozone","Santa Cruz","06-087-0007","AQS","21","11"
"03/05/2016","36","Ozone","Santa Cruz","06-087-0007","AQS","36","15"
"03/06/2016","41","Ozone","Santa Cruz","06-087-0007","AQS","41","20"
"03/07/2016","33","Ozone","Santa Cruz","06-087-0007","AQS","33","19"
"03/08/2016","33","PM2.5","Santa Cruz","06-087-0007","AQS","29","33"
"03/09/2016","27","Ozone","Santa Cruz","06-087-0007","AQS","27","19"
"03/10/2016","31","Ozone","Santa Cruz","06-087-0007","AQS","31","20"
"03/11/2016","37","Ozone","Santa Cruz","06-087-0007","AQS","37","27"
"03/12/2016","36","Ozone","Santa Cruz","06-087-0007","AQS","36","35"
"03/13/2016","36","Ozone","Santa Cruz","06-087-0007","AQS","36","21"
"03/14/2016","38","Ozone","Santa Cruz","06-087-0007","AQS","38","20"
"03/15/2016","38","Ozone","Santa Cruz","06-087-0007","AQS","38","28"
"03/16/2016","35","Ozone","Santa Cruz","06-087-0007","AQS","35","26"
"03/17/2016","34","Ozone","Santa Cruz","06-087-0007","AQS","34","27"
"03/18/2016","30","PM2.5","Santa Cruz","06-087-0007","AQS","30","30"
