"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25","NO2"
"01/01/2016","72","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","33","23","72","25"
"01/02/2016","68","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","41","22","68","18"
"01/03/2016","77","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","40","26","77","23"
"01/04/2016","58","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","37","16","58","22"
"01/05/2016","37","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","37","3","22","18"
"01/06/2016","38","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","38","2","14","21"
"01/07/2016","34","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","34","6","29","28"
"01/08/2016","35","PM2.5","Auburn-Atwood","06-061-0003","AQS","33","10","35","26"
"01/09/2016","41","PM2.5","Auburn-Atwood","06-061-0003","AQS","37","8","41","21"
"01/10/2016","38","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","38","8","38","23"
"01/11/2016","36","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","36","9","32","20"
"01/12/2016","44","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","44","9","38","23"
"01/13/2016","43","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","43","7","27","14"
"01/14/2016","40","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","40","7","24","13"
"01/15/2016","48","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","37","13","48","21"
"01/16/2016","32","Ozone","Roseville-N Sunrise Ave","06-061-0006","AQS","32","6","29","12"
"01/17/2016","39","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","39","7","29","20"
"01/18/2016","39","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","39","2","16","22"
"01/19/2016","48","Ozone","Lincoln-1st Street","06-061-2002","AQS","48","0","13","5"
"01/20/2016","44","Ozone","Lincoln-1st Street","06-061-2002","AQS","44","12","27","21"
"01/21/2016","41","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","41","10","28","14"
"01/22/2016","41","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","41","6","20","13"
"01/23/2016","37","Ozone","Colfax-City Hall","06-061-0004","AQS","37","6","16","8"
"01/24/2016","37","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","37",".","23","16"
"01/25/2016","35","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","35",".","31","26"
"01/26/2016","37","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","34","9","37","21"
"01/27/2016","42","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","35","11","42","25"
"01/28/2016","51","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","36","13","51","19"
"01/29/2016","59","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","35","14","59","14"
"01/30/2016","37","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","37","3","20","22"
"01/31/2016","38","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","38","4","15","15"
"02/01/2016","38","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","38","6","17","32"
"02/02/2016","37","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","37","6","31","25"
"02/03/2016","39","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","39","9","35","21"
"02/04/2016","36","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","36","7","35","26"
"02/05/2016","45","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","37","11","45","25"
