"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25"
"01/01/2016","35","Ozone","Death Valley NP - Park Village","06-027-0101","AQS",".","35","0","18","9"
"01/02/2016","34","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS",".","34","0","10","13"
"01/03/2016","31","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS",".","31","0","12","23"
"01/04/2016","33","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS",".","33","0","13","27"
"01/05/2016","30","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS",".","30","0","7","26"
"01/06/2016","36","Ozone","Death Valley NP - Park Village","06-027-0101","AQS",".","36","0","10","11"
"01/07/2016","37","Ozone","Death Valley NP - Park Village","06-027-0101","AQS",".","37","0","7","10"
"01/08/2016","40","Ozone","Death Valley NP - Park Village","06-027-0101","AQS",".","40","0","6","6"
"01/09/2016","35","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","35","0","7","16"
"01/10/2016","35","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","35","0","5","15"
"01/11/2016","34","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","34","0","7","13"
"01/12/2016","34","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","34","0","10","12"
"01/13/2016","37","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","37","0","18","13"
"01/14/2016","33","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","33","0","9","10"
"01/15/2016","85","PM10","Coso Junction","06-027-1001","AQS","1","41","0","85","11"
"01/16/2016","38","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","38","0","11","11"
"01/17/2016","29","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","29","0","17","15"
"01/18/2016","33","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","33","0","8","12"
"01/19/2016","30","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","30","0","9","13"
"01/20/2016","32","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","32","0","5","19"
"01/21/2016","31","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","31","0","5","18"
"01/22/2016","33","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","33","0","8","12"
"01/23/2016","42","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","42","0","8","14"
"01/24/2016","38","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","38","0","4","7"
"01/25/2016","38","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","38","0","8","12"
"01/26/2016","39","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","39","0","7","10"
"01/27/2016","33","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","33","0","10","17"
"01/28/2016","31","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","31","0","7","15"
"01/29/2016","31","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","31","0","14","13"
"01/30/2016","163","PM10","Olancha","06-027-0021","AQS","1","37","0","163","11"
"01/31/2016","38","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","38","0","3","11"
"02/01/2016","141","PM10","Keeler","06-027-1003","AQS","1","39","0","141","80"
