"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM25"
"01/07/2016","47","PM2.5","","06-003-1001","AQS","47"
"01/13/2016","18","PM2.5","","06-003-1001","AQS","18"
"01/19/2016","21","PM2.5","","06-003-1001","AQS","21"
"01/25/2016","21","PM2.5","","06-003-1001","AQS","21"
"03/01/2016","14","PM2.5","","06-003-1001","AQS","14"
"03/07/2016","28","PM2.5","","06-003-1001","AQS","28"
"03/31/2016","26","PM2.5","","06-003-1001","AQS","26"
"04/06/2016","16","PM2.5","","06-003-1001","AQS","16"
"04/12/2016","12","PM2.5","","06-003-1001","AQS","12"
"04/18/2016","26","PM2.5","","06-003-1001","AQS","26"
"04/24/2016","22","PM2.5","","06-003-1001","AQS","22"
"05/12/2016","22","PM2.5","","06-003-1001","AQS","22"
"05/18/2016","45","PM2.5","","06-003-1001","AQS","45"
"05/24/2016","11","PM2.5","","06-003-1001","AQS","11"
"06/16/2016","11","PM2.5","","06-003-1001","AQS","11"
"06/23/2016","7","PM2.5","","06-003-1001","AQS","7"
"06/29/2016","23","PM2.5","","06-003-1001","AQS","23"
"07/11/2016","17","PM2.5","","06-003-1001","AQS","17"
"08/04/2016","30","PM2.5","","06-003-1001","AQS","30"
"08/10/2016","65","PM2.5","","06-003-1001","AQS","65"
"08/16/2016","44","PM2.5","","06-003-1001","AQS","44"
"08/22/2016","53","PM2.5","","06-003-1001","AQS","53"
"09/21/2016","29","PM2.5","","06-003-1001","AQS","29"
"10/03/2016","21","PM2.5","","06-003-1001","AQS","21"
