"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM25","NO2"
"01/01/2016","41","PM2.5","Livermore","06-001-0007","AQS","3","30","0","41","19"
"01/02/2016","53","PM2.5","Livermore","06-001-0007","AQS","5","24","0","53","23"
"01/03/2016","72","PM2.5","Livermore","06-001-0007","AQS","8","26","1","72","34"
"01/04/2016","61","PM2.5","Livermore","06-001-0007","AQS","8","29","1","61","39"
"01/05/2016","38","NO2","Laney College","06-001-0012","AQS","7","31","0","32","38"
"01/06/2016","35","Ozone","Livermore","06-001-0007","AQS","7","35","0","25","35"
"01/07/2016","40","PM2.5","Livermore","06-001-0007","AQS","13","30","1","40","40"
"01/08/2016","55","PM2.5","Laney College","06-001-0012","AQS","16","26","1","55","34"
"01/09/2016","40","PM2.5","Livermore","06-001-0007","AQS","7","24","0","40","28"
"01/10/2016","44","PM2.5","Livermore","06-001-0007","AQS","8","25","1","44","26"
"01/11/2016","54","PM2.5","Laney College","06-001-0012","AQS","8","26","1","54","32"
"01/12/2016","55","PM2.5","Livermore","06-001-0007","AQS","9","30","1","55","36"
"01/13/2016","41","PM2.5","Laney College","06-001-0012","AQS","14","32","4","41","31"
"01/14/2016","33","Ozone","Livermore","06-001-0007","AQS","15","33","1","30","30"
"01/15/2016","44","PM2.5","Laney College","06-001-0012","AQS","11","31","3","44","36"
"01/16/2016","29","PM2.5","Livermore","06-001-0007","AQS","9","26","0","29","23"
"01/17/2016","29","Ozone","Patterson Pass","06-001-2005","AQS","9","29","0","22","21"
"01/18/2016","40","PM2.5","Oakland West","06-001-0011","AQS","8","32","1","40","36"
"01/19/2016","40","PM2.5","Oakland West","06-001-0011","AQS","8","28","0","40","33"
"01/20/2016","54","PM2.5","Oakland West","06-001-0011","AQS","13","29","6","54","34"
"01/21/2016","53","PM2.5","Oakland West","06-001-0011","AQS","13","29","3","53","37"
"01/22/2016","33","Ozone","Livermore","06-001-0007","AQS","7","33","0","16","29"
"01/23/2016","33","Ozone","Livermore","06-001-0007","AQS","5","33","0","30","23"
"01/24/2016","31","Ozone","Livermore","06-001-0007","AQS","7","31","0","26","28"
"01/25/2016","41","PM2.5","Laney College","06-001-0012","AQS","9","28","1","41","37"
"01/26/2016","52","PM2.5","Oakland West","06-001-0011","AQS","16","27","4","52","27"
"01/27/2016","55","PM2.5","Oakland West","06-001-0011","AQS","13","31","14","55","41"
"01/28/2016","66","PM2.5","Oakland West","06-001-0011","AQS","16","31","3","66","38"
"01/29/2016","32","NO2","Laney College","06-001-0012","AQS","10","31","1","31","32"
"01/30/2016","36","Ozone","Livermore","06-001-0007","AQS","7","36","0","22","25"
"01/31/2016","31","Ozone","Livermore","06-001-0007","AQS","7","31","0","25","24"
"02/01/2016","32","Ozone","Livermore","06-001-0007","AQS","6","32","0","20","27"
"02/02/2016","33","PM2.5","Oakland West","06-001-0011","AQS","9","28","0","33","29"
"02/03/2016","46","PM2.5","Livermore","06-001-0007","AQS","11","29","1","46","36"
"02/04/2016","42","PM2.5","Livermore","06-001-0007","AQS","9","31","0","42","31"
"02/05/2016","54","PM2.5","Livermore","06-001-0007","AQS","14","29","3","54","41"
"02/06/2016","58","PM2.5","Oakland West","06-001-0011","AQS","10","31","3","58","35"
"02/07/2016","52","PM2.5","Laney College","06-001-0012","AQS","14","33","3","52","38"
"02/08/2016","43","NO2","Laney College","06-001-0012","AQS","9","37","1","35","43"
"02/09/2016","72","PM2.5","Oakland West","06-001-0011","AQS","16","38","4","72","44"
"02/10/2016","68","PM2.5","Laney College","06-001-0012","AQS","14","39","6","68","46"
"02/11/2016","63","PM2.5","Oakland West","06-001-0011","AQS","15","36","6","63","40"
"02/12/2016","57","PM2.5","Livermore","06-001-0007","AQS","9","36","3","57","33"
"02/13/2016","47","PM2.5","Oakland West","06-001-0011","AQS","10","29","1","47","26"
"02/14/2016","40","PM2.5","Laney College","06-001-0012","AQS","10","28","1","40","27"
"02/15/2016","35","PM2.5","Oakland West","06-001-0011","AQS","11","25","3","35","32"
"02/16/2016","57","PM2.5","Oakland West","06-001-0011","AQS","16","38","17","57","45"
"02/17/2016","41","Ozone","Patterson Pass","06-001-2005","AQS","9","41","1","33","35"
"02/18/2016","41","Ozone","Patterson Pass","06-001-2005","AQS","6","41","0","30","31"
"02/19/2016","40","Ozone","Patterson Pass","06-001-2005","AQS","7","40","0","32","33"
"02/20/2016","40","Ozone","Patterson Pass","06-001-2005","AQS","8","40","3","32","29"
"02/21/2016","45","PM2.5","Oakland West","06-001-0011","AQS","11","37","1","45","29"
"02/22/2016","45","PM2.5","Oakland West","06-001-0011","AQS","14","40","3","45","32"
"02/23/2016","40","PM2.5","Oakland West","06-001-0011","AQS","16","38","4","40","39"
"02/24/2016","60","PM2.5","Oakland West","06-001-0011","AQS","14","46","30","60","45"
"02/25/2016","71","PM2.5","Oakland West","06-001-0011","AQS","14","50","4","71","44"
"02/26/2016","44","PM2.5","Livermore","06-001-0007","AQS","8","44","1","44","34"
"02/27/2016","33","Ozone","Patterson Pass","06-001-2005","AQS","6","33","1","25","25"
"02/28/2016","47","PM2.5","Oakland West","06-001-0011","AQS","9","32","1","47","30"
"02/29/2016","50","PM2.5","Oakland West","06-001-0011","AQS",".","44","3","50","41"
"03/01/2016","44","Ozone","Patterson Pass","06-001-2005","AQS","15","44","1","35","29"
"03/02/2016","37","PM2.5","Oakland West","06-001-0011","AQS","9","28","13","37","23"
"03/03/2016","26","PM2.5","Oakland West","06-001-0011","AQS","6","26","0","26","25"
"03/04/2016","28","Ozone","Patterson Pass","06-001-2005","AQS","7","28","0","24","26"
"03/05/2016","41","Ozone","Patterson Pass","06-001-2005","AQS","6","41","0","13","14"
"03/06/2016","41","Ozone","Patterson Pass","06-001-2005","AQS","5","41","0","35","18"
"03/07/2016","41","Ozone","Patterson Pass","06-001-2005","AQS","6","41","0","23","21"
"03/08/2016","33","Ozone","Oakland","06-001-0009","AQS","8","33","0","28","26"
"03/09/2016","31","PM2.5","Oakland West","06-001-0011","AQS","7","31","4","31","31"
"03/10/2016","32","Ozone","Patterson Pass","06-001-2005","AQS","7","32","1","27","25"
"03/11/2016","39","Ozone","Patterson Pass","06-001-2005","AQS","7","39","0","27","21"
"03/12/2016","37","Ozone","Patterson Pass","06-001-2005","AQS","6","37","0","24","31"
"03/13/2016","37","Ozone","Patterson Pass","06-001-2005","AQS","6","37","0","30","13"
"03/14/2016","42","Ozone","Patterson Pass","06-001-2005","AQS","7","42","1","37","38"
"03/15/2016","42","PM2.5","Oakland West","06-001-0011","AQS","9","42","1","42","37"
"03/16/2016","47","PM2.5","Oakland West","06-001-0011","AQS","11","39","11","47","36"
"03/17/2016","41","Ozone","Patterson Pass","06-001-2005","AQS","15","41","4","40","35"
"03/18/2016","38","PM2.5","Oakland West","06-001-0011","AQS","5","31","0","38","24"
"03/19/2016","35","Ozone","Patterson Pass","06-001-2005","AQS","5","35","0","25","14"
"03/20/2016","42","Ozone","Patterson Pass","06-001-2005","AQS","5","42","1","22","15"
"03/21/2016","42","Ozone","Patterson Pass","06-001-2005","AQS","6","42","4","36","30"
"03/22/2016","36","Ozone","Livermore","06-001-0007","AQS","5","36","1","27","31"
"03/23/2016","34","Ozone","Patterson Pass","06-001-2005","AQS","7","34","7","31","29"
"03/24/2016","40","PM2.5","Oakland West","06-001-0011","AQS","8","32","3","40","29"
"03/25/2016","51","PM2.5","Oakland West","06-001-0011","AQS","6","38","1","51","28"
"03/26/2016","47","PM2.5","Oakland West","06-001-0011","AQS","9","40","1","47","24"
"03/27/2016","38","Ozone","Patterson Pass","06-001-2005","AQS","5","38","0","32","21"
"03/28/2016","38","Ozone","Patterson Pass","06-001-2005","AQS","5","38","0","26","23"
"03/29/2016","35","Ozone","Patterson Pass","06-001-2005","AQS","6","35","1","33","29"
"03/30/2016","51","PM2.5","Oakland West","06-001-0011","AQS","6","36","6","51","29"
"03/31/2016","43","PM2.5","Oakland West","06-001-0011","AQS","5","37","0","43","27"
"04/01/2016","41","Ozone","Patterson Pass","06-001-2005","AQS","5","41","0","34","28"
"04/02/2016","44","PM2.5","Oakland West","06-001-0011","AQS","6","43","1","44","22"
"04/03/2016","41","Ozone","Patterson Pass","06-001-2005","AQS","6","41","0","35","23"
"04/04/2016","43","PM2.5","Oakland West","06-001-0011","AQS","6","40","1","43","30"
"04/05/2016","53","PM2.5","Oakland West","06-001-0011","AQS","7","45","3","53","36"
"04/06/2016","54","Ozone","Patterson Pass","06-001-2005","AQS","10","54","4","47","45"
"04/07/2016","57","PM2.5","Oakland West","06-001-0011","AQS","7","48","1","57","24"
"04/08/2016","51","PM2.5","Oakland West","06-001-0011","AQS","6","31","1","51","28"
"04/09/2016","30","PM2.5","Laney College","06-001-0012","AQS","6","29","0","30","17"
"04/10/2016","34","Ozone","Oakland","06-001-0009","AQS","6","34","0","27","12"
"04/11/2016","41","PM2.5","Oakland West","06-001-0011","AQS","6","34","1","41","10"
"04/12/2016","42","Ozone","Hayward","06-001-2001","AQS","6","42","1","38","20"
"04/13/2016","46","PM2.5","Oakland West","06-001-0011","AQS","7","45","1","46","28"
"04/14/2016","43","Ozone","Patterson Pass","06-001-2005","AQS","6","43","1","40","22"
"04/15/2016","43","Ozone","Patterson Pass","06-001-2005","AQS","6","43","1","32","25"
"04/16/2016","47","Ozone","Patterson Pass","06-001-2005","AQS","9","47","3","37","26"
"04/17/2016","80","Ozone","Hayward","06-001-2001","AQS","10","80","4","53","32"
"04/18/2016","100","Ozone","Patterson Pass","06-001-2005","AQS","8","100","4","61","50"
"04/19/2016","71","Ozone","Patterson Pass","06-001-2005","AQS","7","71","4","51","42"
"04/20/2016","58","Ozone","Patterson Pass","06-001-2005","AQS","7","58","6","38","42"
"04/21/2016","35","Ozone","Patterson Pass","06-001-2005","AQS","5","35","3","19","27"
"04/22/2016","45","Ozone","Patterson Pass","06-001-2005","AQS","5","45","1","24","17"
"04/23/2016","46","Ozone","Patterson Pass","06-001-2005","AQS","5","46","1","15","17"
"04/24/2016","41","Ozone","Patterson Pass","06-001-2005","AQS","6","41","0","26","12"
"04/25/2016","42","Ozone","Patterson Pass","06-001-2005","AQS","5","42","1","28","25"
"04/26/2016","49","PM2.5","Laney College","06-001-0012","AQS","6","41","7","49","25"
"04/27/2016","41","Ozone","Patterson Pass","06-001-2005","AQS","6","41","1","36","33"
"04/28/2016","45","PM2.5","Laney College","06-001-0012","AQS","6","40","4","45","29"
"04/29/2016","51","PM2.5","Laney College","06-001-0012","AQS","5","39","1","51","23"
"04/30/2016","40","Ozone","Patterson Pass","06-001-2005","AQS","6","40","1","25","26"
"05/01/2016","49","PM2.5","Laney College","06-001-0012","AQS","7","46","1","49","25"
"05/02/2016","47","PM2.5","Laney College","06-001-0012","AQS","6","47","0","47","25"
"05/03/2016","49","PM2.5","Laney College","06-001-0012","AQS","6","44","1","49","31"
"05/04/2016","39","Ozone","Patterson Pass","06-001-2005","AQS","6","39","4","38","26"
"05/05/2016","34","Ozone","Patterson Pass","06-001-2005","AQS","6","34","0","29","21"
"05/06/2016","35","PM2.5","Laney College","06-001-0012","AQS","6","30","1","35","22"
"05/07/2016","28","Ozone","Livermore","06-001-0007","AQS","6","28","1","23","13"
"05/08/2016","35","Ozone","Patterson Pass","06-001-2005","AQS","6","35","0","23","25"
"05/09/2016","36","PM2.5","Laney College","06-001-0012","AQS","6","34","0","36","24"
"05/10/2016","52","PM2.5","Laney College","06-001-0012","AQS","6","47","6","52","25"
"05/11/2016","52","PM2.5","Laney College","06-001-0012","AQS","5","47","1","52","25"
"05/12/2016","46","Ozone","Patterson Pass","06-001-2005","AQS","5","46","0","45","24"
"05/13/2016","41","Ozone","Patterson Pass","06-001-2005","AQS","5","41","0","33","25"
"05/14/2016","35","Ozone","Patterson Pass","06-001-2005","AQS","5","35","1","21","14"
"05/15/2016","33","Ozone","Patterson Pass","06-001-2005","AQS","5","33","0","24","20"
"05/16/2016","40","PM2.5","Oakland West","06-001-0011","AQS","5","39","0","40","23"
"05/17/2016","54","PM2.5","Laney College","06-001-0012","AQS","7","44","1","54","29"
"05/18/2016","66","PM2.5","Oakland West","06-001-0011","AQS","6","54","3","66","31"
"05/19/2016","52","PM2.5","Laney College","06-001-0012","AQS","5","42","1","52","21"
"05/20/2016","34","PM2.5","Laney College","06-001-0012","AQS","3","34","0","34","25"
"05/21/2016","36","Ozone","Patterson Pass","06-001-2005","AQS","5","36","0","26","16"
"05/22/2016","31","Ozone","Patterson Pass","06-001-2005","AQS","5","31","0","16","11"
"05/23/2016","32","Ozone","Patterson Pass","06-001-2005","AQS","5","32","0","18","25"
"05/24/2016","27","Ozone","Patterson Pass","06-001-2005","AQS","5","27","0","18","18"
"05/25/2016","29","Ozone","Patterson Pass","06-001-2005","AQS","5","29","4","24","17"
"05/26/2016","40","PM2.5","Oakland West","06-001-0011","AQS","5","39",".","40","20"
"05/27/2016","59","PM2.5","Oakland West","06-001-0011","AQS","5","58","4","59","25"
"05/28/2016","77","Ozone","Patterson Pass","06-001-2005","AQS","6","77","3","62","24"
"05/29/2016","67","Ozone","Patterson Pass","06-001-2005","AQS","5","67","1","58","18"
"05/30/2016","67","Ozone","Patterson Pass","06-001-2005","AQS","5","67","1","50","15"
"05/31/2016","97","Ozone","Patterson Pass","06-001-2005","AQS","6","97","3","52","30"
"06/01/2016","67","Ozone","Patterson Pass","06-001-2005","AQS","3","67","1","39","23"
"06/02/2016","126","Ozone","Patterson Pass","06-001-2005","AQS","6","126","3","52","27"
"06/03/2016","115","Ozone","Livermore","06-001-0007","AQS","8","115","4","45","40"
"06/04/2016","126","Ozone","Patterson Pass","06-001-2005","AQS","7","126","1","42","29"
"06/05/2016","67","Ozone","Patterson Pass","06-001-2005","AQS","6","67","0","30","13"
"06/06/2016","44","Ozone","Patterson Pass","06-001-2005","AQS","5","44","0","29","19"
"06/07/2016","41","Ozone","Patterson Pass","06-001-2005","AQS","5","41","0","25","19"
"06/08/2016","35","Ozone","Patterson Pass","06-001-2005","AQS","5","35","0","28","18"
"06/09/2016","33","Ozone","Patterson Pass","06-001-2005","AQS","3","33","0","24","16"
"06/10/2016","45","Ozone","Patterson Pass","06-001-2005","AQS","5","45","1","36","19"
"06/11/2016","46","Ozone","Patterson Pass","06-001-2005","AQS","5","46","3","45","18"
"06/12/2016","57","PM2.5","Laney College","06-001-0012","AQS","5","44","0","57","10"
"06/13/2016","45","PM2.5","Laney College","06-001-0012","AQS","3","42","0","45","19"
"06/14/2016","38","PM2.5","Laney College","06-001-0012","AQS","5","35","1","38","30"
"06/15/2016","31","Ozone","Patterson Pass","06-001-2005","AQS","3","31","0","30","19"
"06/16/2016","41","Ozone","Patterson Pass","06-001-2005","AQS","5","41","3","19","21"
"06/17/2016","32","Ozone","Patterson Pass","06-001-2005","AQS","5","32","1","20","21"
"06/18/2016","47","Ozone","Patterson Pass","06-001-2005","AQS","5","47","1","21","21"
"06/19/2016","48","Ozone","Patterson Pass","06-001-2005","AQS","7","48","3","40","27"
"06/20/2016","71","Ozone","Patterson Pass","06-001-2005","AQS","6","71","1","54","26"
"06/21/2016","71","Ozone","Patterson Pass","06-001-2005","AQS","6","71","1","58","30"
"06/22/2016","58","Ozone","Patterson Pass","06-001-2005","AQS","5","58","4","54","16"
"06/23/2016","41","PM2.5","Laney College","06-001-0012","AQS","5","39","6","41","21"
"06/24/2016","71","Ozone","Patterson Pass","06-001-2005","AQS","5","71","6","36","21"
"06/25/2016","74","Ozone","Patterson Pass","06-001-2005","AQS","5","74","1","62","24"
