"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2016","50","PM2.5","Napa","06-055-0003","AQS","8","33","11","50","24"
"01/02/2016","37","PM2.5","Napa","06-055-0003","AQS","8","29",".","37","25"
"01/03/2016","50","PM2.5","Napa","06-055-0003","AQS","6","26",".","50","15"
"01/04/2016","50","PM2.5","Napa","06-055-0003","AQS","7","19",".","50","14"
"01/05/2016","25","Ozone","Napa","06-055-0003","AQS","8","25",".","23","18"
"01/06/2016","29","Ozone","Napa","06-055-0003","AQS","8","29",".","17","21"
"01/07/2016","32","PM2.5","Napa","06-055-0003","AQS","8","27","10","32","16"
"01/08/2016","28","PM2.5","Napa","06-055-0003","AQS","7","21",".","28","12"
"01/09/2016","42","PM2.5","Napa","06-055-0003","AQS","3","21",".","42","10"
"01/10/2016","30","Ozone","Napa","06-055-0003","AQS","3","30",".","8","8"
"01/11/2016","26","Ozone","Napa","06-055-0003","AQS","2","26",".","22","15"
"01/12/2016","55","PM2.5","Napa","06-055-0003","AQS","3","24",".","55","18"
"01/13/2016","33","PM2.5","Napa","06-055-0003","AQS","5","33","12","33","24"
"01/14/2016","30","Ozone","Napa","06-055-0003","AQS","5","30",".","28","17"
"01/15/2016","26","Ozone","Napa","06-055-0003","AQS","5","26",".","20","19"
"01/16/2016","28","PM2.5","Napa","06-055-0003","AQS","5","17",".","28","15"
"01/17/2016","24","Ozone","Napa","06-055-0003","AQS","5","24",".","21","12"
"01/18/2016","29","Ozone","Napa","06-055-0003","AQS","5","29",".","13","19"
"01/19/2016","29","Ozone","Napa","06-055-0003","AQS","6","29","13","21","13"
"01/20/2016","20","PM2.5","Napa","06-055-0003","AQS","5","19",".","20","18"
"01/21/2016","27","PM2.5","Napa","06-055-0003","AQS","6","21",".","27","18"
"01/22/2016","35","Ozone","Napa","06-055-0003","AQS","6","35",".","8","12"
"01/23/2016","35","Ozone","Napa","06-055-0003","AQS","5","35",".","25","22"
"01/24/2016","45","PM2.5","Napa","06-055-0003","AQS","8","28",".","45","16"
"01/25/2016","28","PM2.5","Napa","06-055-0003","AQS","7","26","11","28","19"
"01/26/2016","28","PM2.5","Napa","06-055-0003","AQS","8","13",".","28","21"
"01/27/2016","33","PM2.5","Napa","06-055-0003","AQS","7","21",".","33","21"
"01/28/2016","36","PM2.5","Napa","06-055-0003","AQS","6","10",".","36","26"
"01/29/2016","26","Ozone","Napa","06-055-0003","AQS","6","26",".","21","18"
"01/30/2016","31","Ozone","Napa","06-055-0003","AQS","3","31",".","23","12"
"01/31/2016","31","Ozone","Napa","06-055-0003","AQS","5","31","6","21","11"
"02/01/2016","40","PM2.5","Napa","06-055-0003","AQS","6","31",".","40","22"
"02/02/2016","39","PM2.5","Napa","06-055-0003","AQS","8","22",".","39","18"
"02/03/2016","47","PM2.5","Napa","06-055-0003","AQS","6","25",".","47","16"
"02/04/2016","33","PM2.5","Napa","06-055-0003","AQS","7","24",".","33","25"
"02/05/2016","47","PM2.5","Napa","06-055-0003","AQS","8","24",".","47","23"
"02/06/2016","38","PM2.5","Napa","06-055-0003","AQS","8","22","17","38","23"
"02/07/2016","43","PM2.5","Napa","06-055-0003","AQS","9","23",".","43","20"
"02/08/2016","22","Ozone","Napa","06-055-0003","AQS","9","22",".","21","22"
"02/09/2016","35","PM2.5","Napa","06-055-0003","AQS","9","30",".","35","25"
"02/10/2016","37","PM2.5","Napa","06-055-0003","AQS","8","23",".","37","31"
"02/11/2016","50","PM2.5","Napa","06-055-0003","AQS","9","26",".","50","28"
"02/12/2016","38","PM2.5","Napa","06-055-0003","AQS","9","22","19","38","13"
"02/13/2016","31","PM2.5","Napa","06-055-0003","AQS","7","21",".","31","15"
"02/14/2016","26","Ozone","Napa","06-055-0003","AQS","6","26",".","21","10"
"02/15/2016","25","NO2","Napa","06-055-0003","AQS","8","24",".","20","25"
"02/16/2016","26","Ozone","Napa","06-055-0003","AQS","7","26",".","21","22"
"02/17/2016","35","Ozone","Napa","06-055-0003","AQS","5","35",".","30","25"
"02/18/2016","36","Ozone","Napa","06-055-0003","AQS","6","36","19","35","23"
"02/19/2016","32","Ozone","Napa","06-055-0003","AQS","8","32",".","29","19"
"02/20/2016","40","PM2.5","Napa","06-055-0003","AQS","7","28",".","40","23"
"02/21/2016","29","Ozone","Napa","06-055-0003","AQS","7","29",".","28","13"
"02/22/2016","29","Ozone","Napa","06-055-0003","AQS","7","29",".","26","27"
"02/23/2016","34","PM2.5","Napa","06-055-0003","AQS","7","25",".","34","25"
"02/24/2016","48","PM2.5","Napa","06-055-0003","AQS","7","37","19","48","26"
"02/25/2016","45","PM2.5","Napa","06-055-0003","AQS","8","35",".","45","33"
"02/26/2016","30","PM2.5","Napa","06-055-0003","AQS","8","28",".","30","16"
