"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2016","82","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","15","28","1","23","82","27"
"01/02/2016","64","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","16","23","1","11","64","25"
"01/03/2016","69","PM2.5","Folsom-Natoma St.","06-067-0012","AQS","7","27","3","16","69","27"
"01/04/2016","68","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","10","28","4","19","68","24"
"01/05/2016","38","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","7","30","4","7","38","26"
"01/06/2016","33","Ozone","Sloughhouse","06-067-5003","AQS","8","33","4","5","23","24"
"01/07/2016","37","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","10","27","4","10","37","28"
"01/08/2016","63","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","15","23","3","13","63","31"
"01/09/2016","58","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","8","31","1","11","58","25"
"01/10/2016","54","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","10","27","1","10","54","26"
"01/11/2016","48","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","13","22","1","11","48","22"
"01/12/2016","65","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","10","30","3","18","65","26"
"01/13/2016","54","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","7","32","3","16","54","21"
"01/14/2016","31","Ozone","Folsom-Natoma St.","06-067-0012","AQS","10","31","3","13","30","22"
"01/15/2016","39","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","8","25","4","10","39","25"
"01/16/2016","35","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","10","32","3","11","35","24"
"01/17/2016","33","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","11","28","4","14","33","14"
"01/18/2016","32","Ozone","Folsom-Natoma St.","06-067-0012","AQS","9","32","4","6","17","25"
"01/19/2016","31","Ozone","North Highlands-Blackfoot","06-067-0002","AQS","9","31","6","6","15","9"
"01/20/2016","27","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","10","25","4","11","27","26"
"01/21/2016","42","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","9","23","6","6","42","18"
"01/22/2016","34","Ozone","Elk Grove-Bruceville","06-067-0011","AQS","9","34","6","5","32","18"
"01/23/2016","35","Ozone","Elk Grove-Bruceville","06-067-0011","AQS","9","35","6","9","19","15"
"01/24/2016","27","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","11","27","4","8","27","23"
"01/25/2016","41","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","13","29","6","12","41","30"
"01/26/2016","40","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","13","26","4","14","40","25"
"01/27/2016","50","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","15","22","6","6","50","28"
"01/28/2016","67","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","16","19","6","9","67","25"
"01/29/2016","75","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","13","32","1","6","75","19"
"01/30/2016","34","Ozone","North Highlands-Blackfoot","06-067-0002","AQS","9","34","3","3","13","23"
"01/31/2016","36","Ozone","Sacramento-Goldenland Ct.","06-067-0014","AQS","8","36","4","7","10","8"
"02/01/2016","34","Ozone","Sacramento-Goldenland Ct.","06-067-0014","AQS","10","34","3","6","22","34"
"02/02/2016","39","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","11","29","0","7","39","26"
"02/03/2016","48","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","11","26","0","12","48","27"
"02/04/2016","35","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","11","31",".","8","35","28"
"02/05/2016","56","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","14","28","0","17","56","31"
"02/06/2016","59","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","11","28","1","16","59","25"
"02/07/2016","62","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","13","32","3","18","62","28"
"02/08/2016","68","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","14","35","3","25","68","34"
"02/09/2016","54","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","13","30","3","21","54","35"
"02/10/2016","60","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","14","27","3","22","60","28"
"02/11/2016","72","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","14","36","4","31","72","39"
"02/12/2016","72","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","15","32","4","30","72","35"
"02/13/2016","61","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","17","31","4","18","61","32"
"02/14/2016","54","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","15","29","4","10","54","24"
"02/15/2016","55","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","11","37","6","19","55","32"
"02/16/2016","74","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","14","39","7","11","74","36"
"02/17/2016","69","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","14","38","9","27","69","23"
"02/18/2016","38","Ozone","Sacramento-Goldenland Ct.","06-067-0014","AQS","11","38","7","9","26","22"
"02/19/2016","36","Ozone","Elk Grove-Bruceville","06-067-0011","AQS","11","36","6","10","34","19"
"02/20/2016","35","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","14","33","6","8","35","30"
"02/21/2016","67","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","17","34","6","12","67","27"
"02/22/2016","40","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","15","34","6","8","40","26"
"02/23/2016","54","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","13","40","7","19","54","39"
