"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2016","72","PM2.5","Turlock","06-099-0006","AQS","5","27","19","72","22"
"01/02/2016","96","PM2.5","Turlock","06-099-0006","AQS","6","18","22","96","20"
"01/03/2016","130","PM2.5","Turlock","06-099-0006","AQS","7","21","30","130","21"
"01/04/2016","118","PM2.5","Turlock","06-099-0006","AQS","7","19","31","118","18"
"01/05/2016","51","PM2.5","Turlock","06-099-0006","AQS","5","22","9","51","10"
"01/06/2016","34","PM2.5","Turlock","06-099-0006","AQS","3","29","5","34","12"
"01/07/2016","39","PM2.5","Turlock","06-099-0006","AQS","3","25","8","39","16"
"01/08/2016","63","PM2.5","Turlock","06-099-0006","AQS","6","20","11","63","18"
"01/09/2016","63","PM2.5","Turlock","06-099-0006","AQS","5","30","12","63","14"
"01/10/2016","73","PM2.5","Turlock","06-099-0006","AQS","6","26","13","73","16"
"01/11/2016","78","PM2.5","Turlock","06-099-0006","AQS","9","19","19","78","24"
"01/12/2016","83","PM2.5","Turlock","06-099-0006","AQS","11","16","21","83","14"
"01/13/2016","66","PM2.5","Turlock","06-099-0006","AQS","3","31","19","66","9"
"01/14/2016","54","PM2.5","Turlock","06-099-0006","AQS","6","21","15","54","20"
"01/15/2016","65","PM2.5","Turlock","06-099-0006","AQS","5","28","16","65","29"
"01/16/2016","59","PM2.5","Turlock","06-099-0006","AQS","5","30","13","59","15"
"01/17/2016","67","PM2.5","Turlock","06-099-0006","AQS","5","19","16","67","15"
"01/18/2016","50","PM2.5","Turlock","06-099-0006","AQS","3","29","6","50","11"
"01/19/2016","30","Ozone","Turlock","06-099-0006","AQS","3","30","6","28","11"
"01/20/2016","54","PM2.5","Turlock","06-099-0006","AQS","3","24","12","54","12"
"01/21/2016","60","PM2.5","Turlock","06-099-0006","AQS","3","16","12","60","9"
"01/22/2016","50","PM2.5","Turlock","06-099-0006","AQS","3","25","10","50","10"
"01/23/2016","35","PM2.5","Turlock","06-099-0006","AQS","3","32","6","35","15"
"01/24/2016","48","PM2.5","Turlock","06-099-0006","AQS","7","31","9","48","30"
"01/25/2016","53","PM2.5","Turlock","06-099-0006","AQS","5","23","19","53","18"
"01/26/2016","69","PM2.5","Turlock","06-099-0006","AQS","9","22","20","69","22"
"01/27/2016","87","PM2.5","Turlock","06-099-0006","AQS","10","19","22","87","23"
"01/28/2016","92","PM2.5","Turlock","06-099-0006","AQS","11","14","25","92","11"
"01/29/2016","142","PM2.5","Turlock","06-099-0006","AQS","3","21","37","142","10"
"01/30/2016","59","PM2.5","Turlock","06-099-0006","AQS","3","32","6","59","23"
"01/31/2016","31","Ozone","Modesto-14th Street","06-099-0005","AQS","3","31","7","30","16"
"02/01/2016","32","Ozone","Modesto-14th Street","06-099-0005","AQS","3","32","3","24","19"
"02/02/2016","59","PM2.5","Turlock","06-099-0006","AQS","5","29","11","59","24"
"02/03/2016","75","PM2.5","Turlock","06-099-0006","AQS","6","30","18","75","21"
"02/04/2016","65","PM2.5","Turlock","06-099-0006","AQS","8","24","14","65","21"
"02/05/2016","77","PM2.5","Turlock","06-099-0006","AQS","7","26","21","77","25"
"02/06/2016","80","PM2.5","Turlock","06-099-0006","AQS","6","29","25","80","21"
"02/07/2016","85","PM2.5","Turlock","06-099-0006","AQS","6","28","20","85","20"
"02/08/2016","98","PM2.5","Turlock","06-099-0006","AQS","9","31","40","98","25"
"02/09/2016","95","PM2.5","Turlock","06-099-0006","AQS","9","27","35","95","38"
"02/10/2016","88","PM2.5","Turlock","06-099-0006","AQS","8","25","31","88","26"
"02/11/2016","99","PM2.5","Turlock","06-099-0006","AQS","7","31","37","99","30"
"02/12/2016","108","PM2.5","Turlock","06-099-0006","AQS","9","34","45","108","25"
"02/13/2016","70","PM2.5","Turlock","06-099-0006","AQS",".","31","13","70","19"
"02/14/2016","56","PM2.5","Turlock","06-099-0006","AQS","6","28","13","56","11"
"02/15/2016","86","PM2.5","Turlock","06-099-0006","AQS","6","28","29","86","21"
"02/16/2016","103","PM2.5","Turlock","06-099-0006","AQS","6","34","37","103","."
"02/17/2016","76","PM2.5","Turlock","06-099-0006","AQS","3","31","41","76","."
"02/18/2016","36","Ozone","Turlock","06-099-0006","AQS","6","36","14","34","25"
"02/19/2016","52","PM2.5","Turlock","06-099-0006","AQS","7","35","11","52","18"
"02/20/2016","53","PM2.5","Turlock","06-099-0006","AQS","5","31","8","53","20"
"02/21/2016","62","PM2.5","Turlock","06-099-0006","AQS","6","35","7","62","22"
"02/22/2016","54","PM2.5","Turlock","06-099-0006","AQS","6","29","8","54","19"
"02/23/2016","65","PM2.5","Turlock","06-099-0006","AQS","7","32","20","65","32"
"02/24/2016","91","PM2.5","Turlock","06-099-0006","AQS","10","44","47","91","30"
"02/25/2016","98","PM2.5","Turlock","06-099-0006","AQS","10","38","34","98","33"
"02/26/2016","83","PM2.5","Turlock","06-099-0006","AQS","11","46","26","83","12"
"02/27/2016","43","PM2.5","Turlock","06-099-0006","AQS","3","35","6","43","12"
"02/28/2016","54","PM2.5","Turlock","06-099-0006","AQS","3","32","7","54","18"
"02/29/2016","58","PM2.5","Turlock","06-099-0006","AQS","3","30","12","58","25"
"03/01/2016","68","PM2.5","Turlock","06-099-0006","AQS","3","44","29","68","13"
