"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM25","NO2"
"01/01/2016","36","PM2.5","Redwood City","06-081-1001","AQS","8","28","36","23"
"01/02/2016","41","PM2.5","Redwood City","06-081-1001","AQS","7","22","41","24"
"01/03/2016","58","PM2.5","Redwood City","06-081-1001","AQS","8","16","58","25"
"01/04/2016","30","Ozone","Redwood City","06-081-1001","AQS","8","30","27","24"
"01/05/2016","31","NO2","Redwood City","06-081-1001","AQS","8","28","3","31"
"01/06/2016","31","Ozone","Redwood City","06-081-1001","AQS","8","31","5","18"
"01/07/2016","25","NO2","Redwood City","06-081-1001","AQS","9","19","24","25"
"01/08/2016","33","PM2.5","Redwood City","06-081-1001","AQS","10","18","33","28"
"01/09/2016","29","PM2.5","Redwood City","06-081-1001","AQS","9","24","29","21"
"01/10/2016","45","PM2.5","Redwood City","06-081-1001","AQS","10","22","45","19"
"01/11/2016","45","PM2.5","Redwood City","06-081-1001","AQS","13","7","45","22"
"01/12/2016","53","PM2.5","Redwood City","06-081-1001","AQS",".","30","53","28"
"01/13/2016","34","Ozone","Redwood City","06-081-1001","AQS","5","34","20","28"
"01/14/2016","31","Ozone","Redwood City","06-081-1001","AQS","8","31","12","23"
"01/15/2016","31","PM2.5","Redwood City","06-081-1001","AQS","7","30","31","29"
"01/16/2016","24","PM2.5","Redwood City","06-081-1001","AQS","7","20","24","19"
"01/17/2016","20","PM2.5","Redwood City","06-081-1001","AQS","8","20","20","15"
"01/18/2016","23","Ozone","Redwood City","06-081-1001","AQS","7","23","20","20"
"01/19/2016","30","Ozone","Redwood City","06-081-1001","AQS","8","30","22","23"
"01/20/2016","35","PM2.5","Redwood City","06-081-1001","AQS","8","16","35","31"
"01/21/2016","33","PM2.5","Redwood City","06-081-1001","AQS","11","32","33","29"
"01/22/2016","37","Ozone","Redwood City","06-081-1001","AQS","5","37","13","14"
"01/23/2016","36","Ozone","Redwood City","06-081-1001","AQS","5","36","21","13"
"01/24/2016","32","Ozone","Redwood City","06-081-1001","AQS","5","32","21","17"
"01/25/2016","25","NO2","Redwood City","06-081-1001","AQS","8","23","18","25"
"01/26/2016","38","PM2.5","Redwood City","06-081-1001","AQS","9","13","38","26"
"01/27/2016","52","PM2.5","Redwood City","06-081-1001","AQS","10","16","52","28"
"01/28/2016","42","PM2.5","Redwood City","06-081-1001","AQS","10","7","42","33"
"01/29/2016","34","Ozone","Redwood City","06-081-1001","AQS","9","34","17","25"
"01/30/2016","36","Ozone","Redwood City","06-081-1001","AQS","3","36","13","11"
"01/31/2016","34","Ozone","Redwood City","06-081-1001","AQS","5","34","6","9"
"02/01/2016","37","NO2","Redwood City","06-081-1001","AQS","5","29","8","37"
"02/02/2016","25","Ozone","Redwood City","06-081-1001","AQS","6","25","18","25"
"02/03/2016","42","PM2.5","Redwood City","06-081-1001","AQS","8","14","42","29"
"02/04/2016","28","PM2.5","Redwood City","06-081-1001","AQS","10","27","28","25"
"02/05/2016","35","PM2.5","Redwood City","06-081-1001","AQS","10","19","35","32"
"02/06/2016","47","PM2.5","Redwood City","06-081-1001","AQS","8","26","47","28"
"02/07/2016","31","Ozone","Redwood City","06-081-1001","AQS","8","31","21","25"
"02/08/2016","29","PM2.5","Redwood City","06-081-1001","AQS","8","28","29","29"
"02/09/2016","45","PM2.5","Redwood City","06-081-1001","AQS","10","23","45","39"
"02/10/2016","55","PM2.5","Redwood City","06-081-1001","AQS","10","21","55","42"
"02/11/2016","54","PM2.5","Redwood City","06-081-1001","AQS","11","20","54","40"
"02/12/2016","40","PM2.5","Redwood City","06-081-1001","AQS","10","22","40","26"
"02/13/2016","28","PM2.5","Redwood City","06-081-1001","AQS","7","21","28","18"
"02/14/2016","24","Ozone","Redwood City","06-081-1001","AQS","6","24","23","18"
"02/15/2016","33","NO2","Redwood City","06-081-1001","AQS","7","26","18","33"
"02/16/2016","38","NO2","Redwood City","06-081-1001","AQS","8","33","28","38"
"02/17/2016","36","Ozone","Redwood City","06-081-1001","AQS","7","36","9","11"
"02/18/2016","37","Ozone","Redwood City","06-081-1001","AQS","5","37",".","22"
"02/19/2016","35","Ozone","Redwood City","06-081-1001","AQS","5","35",".","26"
"02/20/2016","31","Ozone","Redwood City","06-081-1001","AQS","6","31",".","20"
"02/21/2016","32","Ozone","Redwood City","06-081-1001","AQS","6","32",".","24"
"02/22/2016","32","NO2","Redwood City","06-081-1001","AQS","9","25",".","32"
"02/24/2016","32","NO2","Redwood City","06-081-1001","AQS","8","29","28","32"
"02/25/2016","40","NO2","Redwood City","06-081-1001","AQS","9","39","28","40"
"02/26/2016","26","Ozone","Redwood City","06-081-1001","AQS","8","26","5","26"
"02/27/2016","32","Ozone","Redwood City","06-081-1001","AQS","5","32","0","19"
"02/28/2016","30","Ozone","Redwood City","06-081-1001","AQS","6","30","0","22"
"02/29/2016","26","NO2","Redwood City","06-081-1001","AQS",".","25","0","26"
"03/01/2016","28","Ozone","Redwood City","06-081-1001","AQS","8","28","0","26"
"03/02/2016","26","Ozone","Redwood City","06-081-1001","AQS","6","26","0","14"
"03/03/2016","19","Ozone","Redwood City","06-081-1001","AQS","5","19","0","17"
"03/04/2016","19","Ozone","Redwood City","06-081-1001","AQS","6","19","0","17"
"03/05/2016","39","Ozone","Redwood City","06-081-1001","AQS","3","39","0","8"
"03/06/2016","41","Ozone","Redwood City","06-081-1001","AQS","3","41","0","5"
"03/07/2016","33","Ozone","Redwood City","06-081-1001","AQS","5","33","0","23"
"03/08/2016","33","Ozone","Redwood City","06-081-1001","AQS","5","33","0","19"
"03/09/2016","22","Ozone","Redwood City","06-081-1001","AQS","6","22",".","17"
"03/10/2016","30","Ozone","Redwood City","06-081-1001","AQS","5","30",".","11"
"03/11/2016","38","Ozone","Redwood City","06-081-1001","AQS","5","38","0","12"
"03/12/2016","34","Ozone","Redwood City","06-081-1001","AQS","3","34","0","17"
"03/13/2016","34","Ozone","Redwood City","06-081-1001","AQS","5","34","0","8"
"03/14/2016","40","Ozone","Redwood City","06-081-1001","AQS","6","40","3","29"
"03/15/2016","37","PM2.5","Redwood City","06-081-1001","AQS","8","35","37","21"
"03/16/2016","43","PM2.5","Redwood City","06-081-1001","AQS","9","30","43","24"
"03/17/2016","36","Ozone","Redwood City","06-081-1001","AQS","8","36","35","21"
"03/18/2016","40","PM2.5","Redwood City","06-081-1001","AQS","6","28","40","16"
"03/19/2016","35","PM2.5","Redwood City","06-081-1001","AQS","6","30","35","14"
"03/20/2016","29","Ozone","Redwood City","06-081-1001","AQS","3","29","20","10"
"03/21/2016","39","Ozone","Redwood City","06-081-1001","AQS","5","39","34","25"
"03/22/2016","34","Ozone","Redwood City","06-081-1001","AQS","7","34","32","28"
"03/23/2016","29","Ozone","Redwood City","06-081-1001","AQS","8","29","28","25"
"03/24/2016","31","PM2.5","Redwood City","06-081-1001","AQS","8","30","31","23"
"03/25/2016","44","PM2.5","Redwood City","06-081-1001","AQS","6","32","44","16"
"03/26/2016","34","PM2.5","Redwood City","06-081-1001","AQS","6","30","34","14"
"03/27/2016","41","Ozone","Redwood City","06-081-1001","AQS","5","41","30","8"
"03/28/2016","38","PM2.5","Redwood City","06-081-1001","AQS","3","37","38","9"
"03/29/2016","36","Ozone","Redwood City","06-081-1001","AQS","6","36","28","24"
"03/30/2016","37","PM2.5","Redwood City","06-081-1001","AQS","7","32","37","27"
"03/31/2016","37","PM2.5","Redwood City","06-081-1001","AQS","6","36","37","25"
"04/01/2016","35","Ozone","Redwood City","06-081-1001","AQS","6","35","33","25"
"04/02/2016","39","PM2.5","Redwood City","06-081-1001","AQS","3","36","39","9"
"04/03/2016","37","Ozone","Redwood City","06-081-1001","AQS","3","37","36","11"
"04/04/2016","35","PM2.5","Redwood City","06-081-1001","AQS","6","33","35","15"
"04/05/2016","42","Ozone","Redwood City","06-081-1001","AQS","6","42","36","25"
"04/06/2016","67","Ozone","Redwood City","06-081-1001","AQS","8","67","43","29"
"04/07/2016","53","PM2.5","Redwood City","06-081-1001","AQS","6","39","53","32"
"04/08/2016","51","PM2.5","Redwood City","06-081-1001","AQS","3","26","51","13"
"04/09/2016","27","PM2.5","Redwood City","06-081-1001","AQS","3","26","27","8"
"04/10/2016","33","Ozone","Redwood City","06-081-1001","AQS","3","33","27","5"
"04/11/2016","30","Ozone","Redwood City","06-081-1001","AQS","3","30","28","16"
"04/12/2016","41","Ozone","Redwood City","06-081-1001","AQS","3","41","35","9"
"04/13/2016","46","PM2.5","Redwood City","06-081-1001","AQS","3","41","46","10"
"04/14/2016","43","PM2.5","Redwood City","06-081-1001","AQS","5","42","43","23"
"04/15/2016","40","PM2.5","Redwood City","06-081-1001","AQS","5","37","40","26"
"04/16/2016","45","Ozone","Redwood City","06-081-1001","AQS","6","45","30","18"
"04/17/2016","54","Ozone","Redwood City","06-081-1001","AQS","5","54","38","22"
"04/18/2016","51","Ozone","Redwood City","06-081-1001","AQS","8","51","44","29"
"04/19/2016","44","Ozone","Redwood City","06-081-1001","AQS","8","44","38","33"
"04/20/2016","40","Ozone","Redwood City","06-081-1001","AQS","6","40","35","27"
"04/21/2016","34","Ozone","Redwood City","06-081-1001","AQS","5","34","23","13"
"04/22/2016","44","Ozone","Redwood City","06-081-1001","AQS","5","44","25","11"
"04/23/2016","40","Ozone","Redwood City","06-081-1001","AQS","5","40","30","9"
"04/24/2016","43","Ozone","Redwood City","06-081-1001","AQS","3","43","33","4"
