"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","SO2","PM10","PM25","NO2"
"01/01/2016","75","PM2.5","Atascadero","06-079-8002","AQS","37","0","31","75","21"
"01/02/2016","56","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","37","0","21","56","15"
"01/03/2016","48","PM2.5","Atascadero","06-079-8002","AQS","40","0","23","48","25"
"01/04/2016","52","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","34","0","19","52","18"
"01/05/2016","39","Ozone","Morro Bay","06-079-3001","AQS","39","0","15","33","15"
"01/06/2016","40","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","40","0","16","37","20"
"01/07/2016","38","Ozone","Red Hills","06-079-8005","AQS","38","0","14","32","22"
"01/08/2016","41","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","36","0","19","41","18"
"01/09/2016","38","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","35","0","16","38","11"
"01/10/2016","35","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","31","0","13","35","7"
"01/11/2016","38","PM2.5","Atascadero","06-079-8002","AQS","31","0","19","38","13"
"01/12/2016","47","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","41","0","25","47","26"
"01/13/2016","41","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","38","0","20","41","24"
"01/14/2016","51","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","33","0","44","51","16"
"01/15/2016","36","Ozone","Red Hills","06-079-8005","AQS","36","0","16","29","17"
"01/16/2016","38","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","35","0","19","38","9"
"01/17/2016","43","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","30","0","18","43","8"
"01/18/2016","32","Ozone","Red Hills","06-079-8005","AQS","32","0","10","14","12"
"01/19/2016","29","Ozone","Morro Bay","06-079-3001","AQS","29","0","8","9","15"
"01/20/2016","30","Ozone","Red Hills","06-079-8005","AQS","30","0","16","25","9"
"01/21/2016","33","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","32","0","19","33","15"
"01/22/2016","45","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","32","0","21","45","13"
"01/23/2016","39","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","37","0","35","39","12"
"01/24/2016","34","Ozone","Red Hills","06-079-8005","AQS","34","0","27","32","9"
"01/25/2016","34","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","34","0","12","26","9"
"01/26/2016","41","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","34","0","19","41","22"
"01/27/2016","52","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","32","0","26","52","20"
"01/28/2016","60","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","39","0","52","60","21"
"01/29/2016","56","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","38","1","54","56","13"
"01/30/2016","39","Ozone","Morro Bay","06-079-3001","AQS","39","0","19","29","11"
"01/31/2016","43","PM10","Oso Flaco Site","06-079-9001","AQS","40","0","43","39","12"
"02/01/2016","55","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","36","0","51","55","18"
"02/02/2016","38","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","35","0","18","38","24"
"02/03/2016","40","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","38","0","17","40","22"
"02/04/2016","54","PM2.5","Atascadero","06-079-8002","AQS","40","0","22","54","10"
"02/05/2016","65","PM2.5","Atascadero","06-079-8002","AQS","41","0","26","65","13"
"02/06/2016","61","PM2.5","Atascadero","06-079-8002","AQS","42","0","23","61","11"
"02/07/2016","58","PM2.5","Atascadero","06-079-8002","AQS","42","0","23","58","13"
"02/08/2016","52","PM2.5","Atascadero","06-079-8002","AQS","44","0","23","52","19"
"02/09/2016","49","Ozone","Red Hills","06-079-8005","AQS","49","0","29","29","25"
"02/10/2016","46","Ozone","Red Hills","06-079-8005","AQS","46","0","33","42","24"
