"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2016","38","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","38","6","8"
"01/02/2016","44","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","44",".","."
"01/03/2016","43","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","43",".","."
"01/04/2016","41","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","41",".","6"
"01/05/2016","37","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","37",".","."
"01/06/2016","35","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","35",".","."
"01/07/2016","34","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","34","9","20"
"01/08/2016","36","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","36",".","."
"01/09/2016","32","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","32",".","."
"01/10/2016","36","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","36",".","0"
"01/11/2016","31","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","31",".","."
"01/12/2016","40","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","40",".","."
"01/13/2016","40","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","40","8","29"
"01/14/2016","39","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","39",".","."
"01/15/2016","37","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","37",".","."
"01/16/2016","36","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","36",".","2"
"01/17/2016","35","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","35",".","."
"01/18/2016","38","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","38",".","."
"01/19/2016","29","Ozone","Anderson - North Street","06-089-0007","AQS","29","6","11"
"01/20/2016","24","Ozone","Shasta Lake - Lake Blvd","06-089-0009","AQS","24",".","."
"01/21/2016","19","Ozone","Shasta Lake - Lake Blvd","06-089-0009","AQS","19",".","."
"01/22/2016","34","Ozone","Anderson - North Street","06-089-0007","AQS","34",".","0"
"01/23/2016","35","Ozone","Anderson - North Street","06-089-0007","AQS","35",".","."
"01/24/2016","28","Ozone","Shasta Lake - Lake Blvd","06-089-0009","AQS","28",".","."
"01/25/2016","31","Ozone","Shasta Lake - Lake Blvd","06-089-0009","AQS","31","11","4"
"01/26/2016","26","Ozone","Shasta Lake - Lake Blvd","06-089-0009","AQS","26",".","."
"01/27/2016","37","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","37",".","."
"01/28/2016","36","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","36",".","3"
"01/29/2016","41","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","41",".","."
"01/30/2016","38","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","38",".","."
"01/31/2016","36","Ozone","Shasta Lake - Lake Blvd","06-089-0009","AQS","36","6","10"
"02/01/2016","38","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","38",".","."
"02/02/2016","36","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","36",".","."
"02/03/2016","35","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","35",".","1"
"02/04/2016","36","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","36",".","."
"02/05/2016","37","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","37",".","."
"02/06/2016","37","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","37","19","26"
"02/07/2016","36","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","36",".","."
"02/08/2016","36","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","36",".","."
"02/09/2016","37","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","37",".","2"
"02/10/2016","38","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","38",".","."
"02/11/2016","32","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","32",".","."
"02/12/2016","37","PM2.5","Redding - Health Department","06-089-0004","AQS","35","21","37"
"02/13/2016","38","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","38",".","."
"02/14/2016","27","Ozone","Shasta Lake - Lake Blvd","06-089-0009","AQS","27",".","."
"02/15/2016","32","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","32",".","2"
"02/16/2016","38","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","38",".","."
"02/17/2016","42","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","42",".","."
"02/18/2016","41","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","41","6","4"
"02/19/2016","42","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","42",".","."
"02/20/2016","43","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","43",".","."
"02/21/2016","39","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","39",".","4"
"02/22/2016","36","Ozone","Shasta Lake - Lake Blvd","06-089-0009","AQS","36",".","."
"02/23/2016","39","Ozone","Shasta Lake - Lake Blvd","06-089-0009","AQS","39",".","."
"02/24/2016","37","Ozone","Shasta Lake - Lake Blvd","06-089-0009","AQS","37","15","23"
"02/25/2016","38","Ozone","Shasta Lake - Lake Blvd","06-089-0009","AQS","38",".","."
"02/26/2016","40","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","40",".","."
"02/27/2016","37","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","37",".","3"
"02/28/2016","41","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","41",".","."
"02/29/2016","41","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","41",".","."
"03/01/2016","41","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","41","15","21"
"03/02/2016","37","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","37",".","."
"03/03/2016","34","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","34",".","."
"03/04/2016","41","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","41",".","2"
"03/05/2016","44","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","44",".","."
"03/06/2016","44","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","44",".","."
"03/07/2016","40","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","40","6","4"
"03/08/2016","36","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","36",".","."
"03/09/2016","41","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","41",".","."
"03/10/2016","41","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","41",".","2"
"03/11/2016","41","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","41",".","."
"03/12/2016","44","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","44",".","."
"03/13/2016","42","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","42","5","12"
"03/14/2016","44","Ozone","Lassen Volcanic NP - Manzanita Lake Fire Station","06-089-3003","AQS","44",".","."
"03/15/2016","41","Ozone","Redding - Health Department","06-089-0004","AQS","41",".","."
