"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25","NO2"
"01/01/2009","15","Ozone","Madera-Pump Yard","06-039-0004","AQS","15",".","12"
"01/02/2009","15","Ozone","Madera-Pump Yard","06-039-0004","AQS","15",".","13"
"01/03/2009","14","Ozone","Madera-Pump Yard","06-039-0004","AQS","14",".","9"
"01/04/2009","23","NO2","Madera-Pump Yard","06-039-0004","AQS","15",".","23"
"01/05/2009","20","NO2","Madera-Pump Yard","06-039-0004","AQS","11",".","20"
"01/06/2009","23","NO2","Madera-Pump Yard","06-039-0004","AQS","16",".","23"
"01/07/2009","22","NO2","Madera-Pump Yard","06-039-0004","AQS","15",".","22"
"01/08/2009","17","NO2","Madera-Pump Yard","06-039-0004","AQS","6",".","17"
"01/09/2009","13","NO2","Madera-Pump Yard","06-039-0004","AQS","10",".","13"
"01/10/2009","22","NO2","Madera-Pump Yard","06-039-0004","AQS","15",".","22"
"01/11/2009","29","Ozone","Madera-Pump Yard","06-039-0004","AQS","29",".","25"
"01/12/2009","26","Ozone","Madera-Pump Yard","06-039-0004","AQS","26",".","25"
"01/13/2009","34","NO2","Madera-Pump Yard","06-039-0004","AQS","31",".","34"
"01/14/2009","35","NO2","Madera-Pump Yard","06-039-0004","AQS","33",".","35"
"01/15/2009","30","NO2","Madera-Pump Yard","06-039-0004","AQS","28",".","30"
"01/16/2009","34","NO2","Madera-Pump Yard","06-039-0004","AQS","20",".","34"
"01/17/2009","32","Ozone","Madera-Pump Yard","06-039-0004","AQS","32",".","25"
"01/18/2009","27","Ozone","Madera-Pump Yard","06-039-0004","AQS","27",".","27"
"01/19/2009","28","NO2","Madera-Pump Yard","06-039-0004","AQS","22",".","28"
"01/20/2009","30","NO2","Madera-Pump Yard","06-039-0004","AQS","19",".","30"
"01/21/2009","20","NO2","Madera-Pump Yard","06-039-0004","AQS","10",".","20"
"01/22/2009","22","NO2","Madera-Pump Yard","06-039-0004","AQS","7",".","22"
"01/23/2009","14","NO2","Madera-Pump Yard","06-039-0004","AQS","8",".","14"
"01/24/2009","25","Ozone","Madera-Pump Yard","06-039-0004","AQS","25",".","15"
"01/25/2009","31","Ozone","Madera-Pump Yard","06-039-0004","AQS","31",".","7"
"01/26/2009","21","Ozone","Madera-Pump Yard","06-039-0004","AQS","21",".","14"
"01/27/2009","19","Ozone","Madera-Pump Yard","06-039-0004","AQS","19",".","18"
"01/28/2009","32","NO2","Madera-Pump Yard","06-039-0004","AQS","22",".","32"
"01/29/2009","29","NO2","Madera-Pump Yard","06-039-0004","AQS","28",".","29"
