"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2009","50","PM2.5","Willows-Colusa Street","06-021-0003","AQS","10","6","50"
"01/02/2009","62","PM2.5","Willows-Colusa Street","06-021-0003","AQS","16",".","62"
"01/03/2009","29","PM2.5","Willows-Colusa Street","06-021-0003","AQS","29",".","29"
"01/04/2009","25","Ozone","Willows-Colusa Street","06-021-0003","AQS","25",".","24"
"01/05/2009","54","PM2.5","Willows-Colusa Street","06-021-0003","AQS","16",".","54"
"01/06/2009","55","PM2.5","Willows-Colusa Street","06-021-0003","AQS","22",".","55"
"01/07/2009","68","PM2.5","Willows-Colusa Street","06-021-0003","AQS","18","15","68"
"01/08/2009","43","PM2.5","Willows-Colusa Street","06-021-0003","AQS","17",".","43"
"01/09/2009","43","PM2.5","Willows-Colusa Street","06-021-0003","AQS","31",".","43"
"01/10/2009","45","PM2.5","Willows-Colusa Street","06-021-0003","AQS","26",".","45"
"01/11/2009","26","Ozone","Willows-Colusa Street","06-021-0003","AQS","26",".","25"
"01/12/2009","28","Ozone","Willows-Colusa Street","06-021-0003","AQS","28",".","8"
"01/13/2009","25","PM2.5","Willows-Colusa Street","06-021-0003","AQS","24","9","25"
"01/14/2009","33","PM2.5","Willows-Colusa Street","06-021-0003","AQS","16",".","33"
"01/15/2009","27","Ozone","Willows-Colusa Street","06-021-0003","AQS","27",".","13"
"01/16/2009","27","PM2.5","Willows-Colusa Street","06-021-0003","AQS","26",".","27"
"01/17/2009","33","PM2.5","Willows-Colusa Street","06-021-0003","AQS","20",".","33"
"01/18/2009","24","Ozone","Willows-Colusa Street","06-021-0003","AQS","24",".","15"
"01/19/2009","26","Ozone","Willows-Colusa Street","06-021-0003","AQS","26","12","24"
"01/20/2009","27","Ozone","Willows-Colusa Street","06-021-0003","AQS","27",".","20"
"01/21/2009","54","PM2.5","Willows-Colusa Street","06-021-0003","AQS","14",".","54"
"01/22/2009","48","PM2.5","Willows-Colusa Street","06-021-0003","AQS","17",".","48"
"01/23/2009","36","PM2.5","Willows-Colusa Street","06-021-0003","AQS","13",".","36"
"01/24/2009","35","PM2.5","Willows-Colusa Street","06-021-0003","AQS","15",".","35"
"01/25/2009","25","PM2.5","Willows-Colusa Street","06-021-0003","AQS","25","5","25"
"01/26/2009","28","Ozone","Willows-Colusa Street","06-021-0003","AQS","28",".","15"
"01/27/2009","30","Ozone","Willows-Colusa Street","06-021-0003","AQS","30",".","18"
"01/28/2009","32","Ozone","Willows-Colusa Street","06-021-0003","AQS","32",".","14"
"01/29/2009","32","Ozone","Willows-Colusa Street","06-021-0003","AQS","32",".","17"
"01/30/2009","62","PM2.5","Willows-Colusa Street","06-021-0003","AQS","25",".","62"
"01/31/2009","33","PM2.5","Willows-Colusa Street","06-021-0003","AQS","29","8","33"
"02/01/2009","31","Ozone","Willows-Colusa Street","06-021-0003","AQS","31",".","20"
"02/02/2009","59","PM2.5","Willows-Colusa Street","06-021-0003","AQS","32",".","59"
"02/03/2009","54","PM2.5","Willows-Colusa Street","06-021-0003","AQS","31",".","54"
"02/04/2009","56","PM2.5","Willows-Colusa Street","06-021-0003","AQS","24",".","56"
"02/05/2009","52","PM2.5","Willows-Colusa Street","06-021-0003","AQS","32",".","52"
"02/06/2009","30","Ozone","Willows-Colusa Street","06-021-0003","AQS","30","5","27"
"02/07/2009","29","Ozone","Willows-Colusa Street","06-021-0003","AQS","29",".","15"
"02/08/2009","29","Ozone","Willows-Colusa Street","06-021-0003","AQS","29",".","23"
"02/09/2009","30","Ozone","Willows-Colusa Street","06-021-0003","AQS","30",".","19"
"02/10/2009","27","Ozone","Willows-Colusa Street","06-021-0003","AQS","27",".","24"
"02/11/2009","31","PM2.5","Willows-Colusa Street","06-021-0003","AQS","31",".","31"
"02/12/2009","32","Ozone","Willows-Colusa Street","06-021-0003","AQS","32","3","15"
"02/13/2009","35","Ozone","Willows-Colusa Street","06-021-0003","AQS","35",".","9"
"02/14/2009","32","Ozone","Willows-Colusa Street","06-021-0003","AQS","32",".","18"
"02/15/2009","35","Ozone","Willows-Colusa Street","06-021-0003","AQS","35",".","13"
"02/16/2009","35","Ozone","Willows-Colusa Street","06-021-0003","AQS","35",".","15"
"02/17/2009","32","Ozone","Willows-Colusa Street","06-021-0003","AQS","32",".","11"
