"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM25","NO2"
"01/01/2009","81","PM2.5","Redwood City","06-081-1001","AQS","10","12","81","25"
"01/02/2009","51","PM2.5","Redwood City","06-081-1001","AQS","11","27","51","24"
"01/03/2009","37","PM2.5","Redwood City","06-081-1001","AQS","11","22","37","28"
"01/04/2009","40","PM2.5","Redwood City","06-081-1001","AQS","11","19","40","30"
"01/05/2009","48","PM2.5","Redwood City","06-081-1001","AQS","13","9","48","27"
"01/06/2009","59","PM2.5","Redwood City","06-081-1001","AQS","13","12","59","25"
"01/07/2009","80","PM2.5","Redwood City","06-081-1001","AQS","14","6","80","25"
"01/08/2009","82","PM2.5","Redwood City","06-081-1001","AQS","15","12","82","24"
"01/09/2009","39","PM2.5","Redwood City","06-081-1001","AQS","11","19","39","28"
"01/10/2009","55","PM2.5","Redwood City","06-081-1001","AQS","13","16","55","30"
"01/11/2009","70","PM2.5","Redwood City","06-081-1001","AQS","15","10","70","38"
"01/12/2009","31","PM2.5","Redwood City","06-081-1001","AQS","15","20","31","31"
"01/13/2009","51","PM2.5","Redwood City","06-081-1001","AQS","14","13","51","35"
"01/14/2009","60","PM2.5","Redwood City","06-081-1001","AQS","20","6","60","39"
"01/15/2009","53","PM2.5","Redwood City","06-081-1001","AQS","19","18","53","36"
"01/16/2009","55","PM2.5","Redwood City","06-081-1001","AQS","17","17","55","40"
"01/17/2009","85","PM2.5","Redwood City","06-081-1001","AQS","16","17","85","40"
"01/18/2009","97","PM2.5","Redwood City","06-081-1001","AQS","16","29","97","35"
"01/19/2009","56","PM2.5","Redwood City","06-081-1001","AQS","17","16","56","41"
"01/20/2009","59","PM2.5","Redwood City","06-081-1001","AQS","18","13","59","38"
"01/21/2009","66","PM2.5","Redwood City","06-081-1001","AQS",".",".","66","35"
"01/22/2009","67","PM2.5","Redwood City","06-081-1001","AQS","14","2","67","32"
"01/23/2009","54","PM2.5","Redwood City","06-081-1001","AQS","9","10","54","25"
"01/24/2009","45","PM2.5","Redwood City","06-081-1001","AQS","7","32","45","22"
"01/25/2009","33","Ozone","Redwood City","06-081-1001","AQS","5","33","18","8"
"01/26/2009","28","NO2","Redwood City","06-081-1001","AQS","13","18","24","28"
"01/27/2009","36","NO2","Redwood City","06-081-1001","AQS","9","25","32","36"
"01/28/2009","47","PM2.5","Redwood City","06-081-1001","AQS","15","16","47","33"
"01/29/2009","37","PM2.5","Redwood City","06-081-1001","AQS","13","26","37","32"
"01/30/2009","61","PM2.5","Redwood City","06-081-1001","AQS",".",".","61","38"
"01/31/2009","78","PM2.5","Redwood City","06-081-1001","AQS","14","14","78","30"
"02/01/2009","35","PM2.5","Redwood City","06-081-1001","AQS","14","29","35","30"
"02/02/2009","61","PM2.5","Redwood City","06-081-1001","AQS","19","19","61","44"
"02/03/2009","70","PM2.5","Redwood City","06-081-1001","AQS","18","16","70","41"
"02/04/2009","70","PM2.5","Redwood City","06-081-1001","AQS","15","30","70","43"
"02/05/2009","29","Ozone","Redwood City","06-081-1001","AQS","9","29","15","27"
