"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2009","92","PM2.5","Corcoran-Patterson","06-031-0004","AQS","20","29","92"
"01/02/2009","85","PM2.5","Corcoran-Patterson","06-031-0004","AQS","17","11","85"
"01/03/2009","55","PM2.5","Corcoran-Patterson","06-031-0004","AQS","22","7","55"
"01/04/2009","59","PM2.5","Corcoran-Patterson","06-031-0004","AQS","19","13","59"
"01/05/2009","77","PM2.5","Corcoran-Patterson","06-031-0004","AQS","17","16","77"
"01/06/2009","61","PM2.5","Corcoran-Patterson","06-031-0004","AQS","25","10","61"
"01/07/2009","71","PM2.5","Corcoran-Patterson","06-031-0004","AQS","21","19","71"
"01/08/2009","70","PM2.5","Corcoran-Patterson","06-031-0004","AQS","11","14","70"
"01/09/2009","68","PM2.5","Corcoran-Patterson","06-031-0004","AQS","12","14","68"
"01/10/2009","76","PM2.5","Corcoran-Patterson","06-031-0004","AQS","10","24","76"
"01/11/2009","98","PM2.5","Corcoran-Patterson","06-031-0004","AQS","19","18","98"
"01/12/2009","116","PM2.5","Corcoran-Patterson","06-031-0004","AQS","26","26","116"
"01/13/2009","152","PM2.5","Corcoran-Patterson","06-031-0004","AQS","24","51","152"
"01/14/2009","146","PM2.5","Corcoran-Patterson","06-031-0004","AQS","23","31","146"
"01/15/2009","155","PM2.5","Corcoran-Patterson","06-031-0004","AQS","27","34","155"
"01/16/2009","152","PM2.5","Corcoran-Patterson","06-031-0004","AQS","31","51","152"
"01/17/2009","147","PM2.5","Corcoran-Patterson","06-031-0004","AQS","32","29","147"
"01/18/2009","142","PM2.5","Corcoran-Patterson","06-031-0004","AQS","31","27","142"
"01/19/2009","134","PM2.5","Corcoran-Patterson","06-031-0004","AQS","26","53","134"
"01/20/2009","129","PM2.5","Corcoran-Patterson","06-031-0004","AQS","26","40","129"
"01/21/2009","126","PM2.5","Corcoran-Patterson","06-031-0004","AQS","11","54","126"
"01/22/2009","109","PM2.5","Corcoran-Patterson","06-031-0004","AQS","19","33","109"
"01/23/2009","115","PM2.5","Corcoran-Patterson","06-031-0004","AQS","12","11","115"
"01/24/2009","57","PM2.5","Corcoran-Patterson","06-031-0004","AQS","20","6","57"
"01/25/2009","33","Ozone","Santa Rosa Rancheria","06-031-0500","AQS","33","7","21"
"01/26/2009","27","Ozone","Corcoran-Patterson","06-031-0004","AQS","27","8","25"
