"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25","NO2"
"01/01/2009","87","PM2.5","Visalia-Church","06-107-2002","AQS","39","24","87","9"
"01/02/2009","77","PM2.5","Visalia-Church","06-107-2002","AQS","34",".","77","17"
"01/03/2009","64","PM2.5","Visalia-Church","06-107-2002","AQS","33",".","64","21"
"01/04/2009","68","PM2.5","Visalia-Church","06-107-2002","AQS","39",".","68","22"
"01/05/2009","87","PM2.5","Visalia-Church","06-107-2002","AQS","40",".","87","19"
"01/06/2009","76","PM2.5","Visalia-Church","06-107-2002","AQS","31",".","76","17"
"01/07/2009","91","PM2.5","Visalia-Church","06-107-2002","AQS","31","29","91","18"
"01/08/2009","76","PM2.5","Visalia-Church","06-107-2002","AQS","31",".","76","18"
"01/09/2009","80","PM2.5","Visalia-Church","06-107-2002","AQS","36",".","80","22"
"01/10/2009","87","PM2.5","Visalia-Church","06-107-2002","AQS","37",".","87","25"
"01/11/2009","117","PM2.5","Visalia-Church","06-107-2002","AQS","37",".","117","30"
"01/12/2009","133","PM2.5","Visalia-Church","06-107-2002","AQS","35",".","133","40"
"01/13/2009","153","PM2.5","Visalia-Church","06-107-2002","AQS","36","54","153","38"
"01/14/2009","126","PM2.5","Visalia-Church","06-107-2002","AQS","37",".","126","43"
"01/15/2009","153","PM2.5","Visalia-Church","06-107-2002","AQS","35",".","153","45"
"01/16/2009","151","PM2.5","Visalia-Church","06-107-2002","AQS","35",".","151","47"
"01/17/2009","104","PM2.5","Visalia-Church","06-107-2002","AQS","34",".","104","41"
"01/18/2009","83","PM2.5","Visalia-Church","06-107-2002","AQS","34",".","83","43"
"01/19/2009","107","PM2.5","Visalia-Church","06-107-2002","AQS","34","48","107","39"
"01/20/2009","91","PM2.5","Visalia-Church","06-107-2002","AQS","34",".","91","39"
"01/21/2009","99","PM2.5","Visalia-Church","06-107-2002","AQS","31",".","99","30"
"01/22/2009","129","PM2.5","Visalia-Church","06-107-2002","AQS","18",".","129","26"
"01/23/2009","126","PM2.5","Visalia-Church","06-107-2002","AQS","15",".","126","23"
"01/24/2009","60","PM2.5","Visalia-Church","06-107-2002","AQS","23",".","60","15"
"01/25/2009","34","Ozone","Sequoia & Kings Canyon NPs - Lower Kaweah","06-107-0006","AQS","34",".","29","19"
"01/26/2009","33","Ozone","Sequoia & Kings Canyon NPs - Lower Kaweah","06-107-0006","AQS","33",".","22","27"
"01/27/2009","55","PM2.5","Visalia-Church","06-107-2002","AQS","35","19","55","31"
"01/28/2009","93","PM2.5","Visalia-Church","06-107-2002","AQS","31",".","93","31"
"01/29/2009","100","PM2.5","Visalia-Church","06-107-2002","AQS","35",".","100","34"
"01/30/2009","118","PM2.5","Visalia-Church","06-107-2002","AQS","34",".","118","35"
"01/31/2009","137","PM2.5","Visalia-Church","06-107-2002","AQS","34","46","137","37"
"02/01/2009","152","PM2.5","Visalia-Church","06-107-2002","AQS","35",".","152","38"
"02/02/2009","144","PM2.5","Visalia-Church","06-107-2002","AQS","33",".","144","47"
"02/03/2009","112","PM2.5","Visalia-Church","06-107-2002","AQS","36",".","112","43"
"02/04/2009","54","PM2.5","Visalia-Church","06-107-2002","AQS","40",".","54","39"
