"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25","NO2"
"01/01/2009","79","PM2.5","Yuba City","06-101-0003","AQS","11","19","79","25"
"01/02/2009","76","PM2.5","Yuba City","06-101-0003","AQS","12",".","76","17"
"01/03/2009","23","Ozone","Yuba City","06-101-0003","AQS","23",".","22","14"
"01/04/2009","65","PM2.5","Yuba City","06-101-0003","AQS","17",".","65","32"
"01/05/2009","73","PM2.5","Yuba City","06-101-0003","AQS","9",".","73","23"
"01/06/2009","74","PM2.5","Yuba City","06-101-0003","AQS","12",".","74","20"
"01/07/2009","80","PM2.5","Yuba City","06-101-0003","AQS","11","22","80","16"
"01/08/2009","74","PM2.5","Yuba City","06-101-0003","AQS","15",".","74","18"
"01/09/2009","29","PM2.5","Yuba City","06-101-0003","AQS","25",".","29","25"
"01/10/2009","89","PM2.5","Yuba City","06-101-0003","AQS","12",".","89","33"
"01/11/2009","75","PM2.5","Yuba City","06-101-0003","AQS","23",".","75","27"
"01/12/2009","43","PM2.5","Yuba City","06-101-0003","AQS","23",".","43","28"
"01/13/2009","109","PM2.5","Yuba City","06-101-0003","AQS","15","34","109","42"
"01/14/2009","117","PM2.5","Yuba City","06-101-0003","AQS","10",".","117","42"
"01/15/2009","70","PM2.5","Yuba City","06-101-0003","AQS","11",".","70","35"
"01/16/2009","102","PM2.5","Yuba City","06-101-0003","AQS","12",".","102","47"
"01/17/2009","102","PM2.5","Yuba City","06-101-0003","AQS","17",".","102","44"
"01/18/2009","70","PM2.5","Yuba City","06-101-0003","AQS","18",".","70","39"
"01/19/2009","67","PM2.5","Yuba City","06-101-0003","AQS","16","26","67","40"
"01/20/2009","52","PM2.5","Yuba City","06-101-0003","AQS","16",".","52","42"
"01/21/2009","75","PM2.5","Yuba City","06-101-0003","AQS","9",".","75","27"
"01/22/2009","68","PM2.5","Yuba City","06-101-0003","AQS","13",".","68","21"
