"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM10","PM25"
"01/01/2009","56","PM10","Mammoth","06-051-0001","AQS","56","."
"01/02/2009","11","PM10","Mono Shore","06-051-0011","AQS","11","."
"01/03/2009","17","PM10","Mammoth","06-051-0001","AQS","17","."
"01/04/2009","28","PM10","Mammoth","06-051-0001","AQS","28","."
"01/05/2009","15","PM10","Mammoth","06-051-0001","AQS","15","."
"01/06/2009","27","PM10","Mammoth","06-051-0001","AQS","27","."
"01/07/2009","49","PM10","Mammoth","06-051-0001","AQS","49","1"
"01/08/2009","20","PM10","Mammoth","06-051-0001","AQS","20","."
"01/09/2009","59","PM10","Mammoth","06-051-0001","AQS","59","."
"01/10/2009","58","PM10","Mammoth","06-051-0001","AQS","58","2"
"01/11/2009","50","PM10","Mammoth","06-051-0001","AQS","50","."
"01/12/2009","40","PM10","Mammoth","06-051-0001","AQS","40","."
"01/13/2009","51","PM10","Mammoth","06-051-0001","AQS","51","1"
"01/14/2009","43","PM10","Mammoth","06-051-0001","AQS","43","."
"01/15/2009","43","PM10","Mammoth","06-051-0001","AQS","43","."
"01/16/2009","38","PM10","Mammoth","06-051-0001","AQS","38","2"
"01/17/2009","44","PM10","Mammoth","06-051-0001","AQS","44","."
"01/18/2009","42","PM10","Mammoth","06-051-0001","AQS","42","."
"01/19/2009","37","PM10","Mammoth","06-051-0001","AQS","37","2"
"01/20/2009","38","PM10","Mammoth","06-051-0001","AQS","38","."
"01/21/2009","31","PM10","Mammoth","06-051-0001","AQS","31","."
"01/22/2009","14","PM10","Mammoth","06-051-0001","AQS","14","2"
"01/23/2009","16","PM10","Mammoth","06-051-0001","AQS","16","."
"01/24/2009","6","PM10","Mammoth","06-051-0001","AQS","6","."
"01/25/2009","18","PM10","Mammoth","06-051-0001","AQS","18","1"
"01/26/2009","8","PM10","Mammoth","06-051-0001","AQS","8","."
"01/27/2009","22","PM10","Mammoth","06-051-0001","AQS","22","."
"01/28/2009","50","PM10","Mammoth","06-051-0001","AQS","50","6"
"01/29/2009","56","PM10","Mammoth","06-051-0001","AQS","56","."
"01/30/2009","50","PM10","Mammoth","06-051-0001","AQS","50","."
"01/31/2009","57","PM10","Mammoth","06-051-0001","AQS","57","4"
"02/01/2009","38","PM10","Mammoth","06-051-0001","AQS","38","."
"02/02/2009","47","PM10","Mammoth","06-051-0001","AQS","47","."
"02/03/2009","49","PM10","Mammoth","06-051-0001","AQS","49","3"
"02/04/2009","36","PM10","Mammoth","06-051-0001","AQS","36","."
"02/05/2009","25","PM10","Mammoth","06-051-0001","AQS","25","."
"02/06/2009","8","PM10","Mammoth","06-051-0001","AQS","8","2"
"02/07/2009","6","PM10","Mammoth","06-051-0001","AQS","6","."
"02/08/2009","8","PM10","Mammoth","06-051-0001","AQS","8","."
"02/09/2009","20","PM10","Mammoth","06-051-0001","AQS","20","2"
"02/10/2009","25","PM10","Mammoth","06-051-0001","AQS","25","."
"02/11/2009","8","PM10","Mammoth","06-051-0001","AQS","8","."
"02/12/2009","12","PM10","Mammoth","06-051-0001","AQS","12","2"
"02/13/2009","17","PM10","Mammoth","06-051-0001","AQS","17","."
"02/14/2009","27","PM10","Mammoth","06-051-0001","AQS","27","."
"02/15/2009","17","PM10","Mammoth","06-051-0001","AQS","17","4"
"02/16/2009","7","PM10","Mammoth","06-051-0001","AQS","7","."
"02/17/2009","8","PM10","Mammoth","06-051-0001","AQS","8","."
"02/18/2009","25","PM10","Mammoth","06-051-0001","AQS","25","2"
"02/19/2009","54","PM10","Mammoth","06-051-0001","AQS","54","."
"02/20/2009","73","PM10","Mammoth","06-051-0001","AQS","73","."
"02/21/2009","82","PM10","Mammoth","06-051-0001","AQS","82","10"
"02/22/2009","19","PM10","Mammoth","06-051-0001","AQS","19","."
"02/23/2009","35","PM10","Mono Shore","06-051-0011","AQS","35","."
"02/24/2009","44","PM10","Mono Shore","06-051-0011","AQS","44","3"
"02/25/2009","10","PM10","Mammoth","06-051-0001","AQS","10","."
"02/26/2009","10","PM10","Mammoth","06-051-0001","AQS","10","."
"02/27/2009","32","PM10","Mammoth","06-051-0001","AQS","32","7"
"02/28/2009","36","PM10","Mammoth","06-051-0001","AQS","36","."
"03/01/2009","60","PM10","Mono Shore","06-051-0011","AQS","60","."
"03/02/2009","32","PM10","Mono Shore","06-051-0011","AQS","32","3"
"03/03/2009","381","PM10","Mono Shore","06-051-0011","AQS","381","."
"03/04/2009","8","PM10","Mammoth","06-051-0001","AQS","8","."
"03/05/2009","12","PM10","Mammoth","06-051-0001","AQS","12","3"
"03/06/2009","30","PM10","Mammoth","06-051-0001","AQS","30","."
"03/07/2009","59","PM10","Mammoth","06-051-0001","AQS","59","."
"03/08/2009","24","PM10","Mammoth","06-051-0001","AQS","24","8"
"03/09/2009","521","PM10","Mono Shore","06-051-0011","AQS","521","."
"03/10/2009","34","PM10","Mammoth","06-051-0001","AQS","34","."
"03/11/2009","32","PM10","Mammoth","06-051-0001","AQS","32","11"
"03/12/2009","26","PM10","Mammoth","06-051-0001","AQS","26","."
"03/13/2009","28","PM10","Mammoth","06-051-0001","AQS","28","."
"03/14/2009","19","PM10","Mammoth","06-051-0001","AQS","19","9"
"03/15/2009","11","PM10","Mammoth","06-051-0001","AQS","11","."
"03/16/2009","8","PM10","Mammoth","06-051-0001","AQS","8","."
"03/17/2009","16","PM10","Mammoth","06-051-0001","AQS","16","8"
"03/18/2009","22","PM10","Mammoth","06-051-0001","AQS","22","."
"03/19/2009","21","PM10","Mammoth","06-051-0001","AQS","21","."
"03/20/2009","19","PM10","Mammoth","06-051-0001","AQS","19","16"
"03/21/2009","30","PM10","Mono Shore","06-051-0011","AQS","30","."
"03/22/2009","12","PM10","Mammoth","06-051-0001","AQS","12","."
"03/23/2009","24","PM10","Mammoth","06-051-0001","AQS","24","3"
"03/24/2009","43","PM10","Mammoth","06-051-0001","AQS","43","."
"03/25/2009","29","PM10","Mammoth","06-051-0001","AQS","29","."
"03/26/2009","26","PM10","Mammoth","06-051-0001","AQS","26","7"
"03/27/2009","28","PM10","Mammoth","06-051-0001","AQS","28","."
"03/28/2009","20","PM10","Mammoth","06-051-0001","AQS","20","."
"03/29/2009","366","PM10","Mono Shore","06-051-0011","AQS","366","16"
"03/30/2009","24","PM10","Mammoth","06-051-0001","AQS","24","."
"03/31/2009","15","PM10","Mammoth","06-051-0001","AQS","15","."
"04/01/2009","13","PM10","Mammoth","06-051-0001","AQS","13","5"
"04/02/2009","56","PM10","Mono Shore","06-051-0011","AQS","56","."
"04/03/2009","97","PM10","Mono Shore","06-051-0011","AQS","97","."
"04/04/2009","23","PM10","Mammoth","06-051-0001","AQS","23","20"
"04/05/2009","19","PM10","Mammoth","06-051-0001","AQS","19","."
"04/06/2009","14","PM10","Mammoth","06-051-0001","AQS","14","."
"04/07/2009","79","PM10","Mono Shore","06-051-0011","AQS","79","8"
"04/08/2009","31","PM10","Mono Shore","06-051-0011","AQS","31","."
"04/09/2009","8","PM10","Mammoth","06-051-0001","AQS","8","."
"04/10/2009","7","PM10","Mammoth","06-051-0001","AQS","7","5"
"04/11/2009","12","PM10","Mammoth","06-051-0001","AQS","12","."
"04/12/2009","12","PM10","Mammoth","06-051-0001","AQS","12","."
"04/13/2009","10","PM10","Mammoth","06-051-0001","AQS","10","7"
"04/14/2009","1026","PM10","Mono Shore","06-051-0011","AQS","1026","."
"04/15/2009","29","PM10","Mono Shore","06-051-0011","AQS","29","."
"04/16/2009","24","PM10","Mono Shore","06-051-0011","AQS","24","15"
"04/17/2009","19","PM10","Mammoth","06-051-0001","AQS","19","."
"04/18/2009","14","PM10","Mammoth","06-051-0001","AQS","14","."
"04/19/2009","12","PM10","Mammoth","06-051-0001","AQS","12","9"
"04/20/2009","11","PM10","Mammoth","06-051-0001","AQS","11","."
"04/21/2009","12","PM10","Mammoth","06-051-0001","AQS","12","."
"04/22/2009","17","PM10","Mammoth","06-051-0001","AQS","17","12"
"04/23/2009","82","PM10","Mono Shore","06-051-0011","AQS","82","."
"04/24/2009","78","PM10","Mono Shore","06-051-0011","AQS","78","."
"04/25/2009","19","PM10","Mono Shore","06-051-0011","AQS","19","10"
"04/26/2009","13","PM10","Mammoth","06-051-0001","AQS","13","."
"04/27/2009","97","PM10","Mono Shore","06-051-0011","AQS","97","."
"04/28/2009","23","PM10","Lee Vining","06-051-0005","AQS","23","15"
"04/29/2009","10","PM10","Mammoth","06-051-0001","AQS","10","."
"04/30/2009","10","PM10","Mammoth","06-051-0001","AQS","10","."
"05/01/2009","102","PM10","Mono Shore","06-051-0011","AQS","102","5"
"05/02/2009","4","PM10","Mono Shore","06-051-0011","AQS","4","."
"05/03/2009","662","PM10","Mono Shore","06-051-0011","AQS","662","."
"05/04/2009","1273","PM10","Mono Shore","06-051-0011","AQS","1273","27"
"05/05/2009","7","PM10","Mammoth","06-051-0001","AQS","7","."
"05/06/2009","8","PM10","Mammoth","06-051-0001","AQS","8","."
"05/07/2009","15","PM2.5","Hoover Wilderness","06-051-9000","AQS","12","15"
"05/08/2009","17","PM10","Mammoth","06-051-0001","AQS","17","."
"05/09/2009","16","PM10","Mono Shore","06-051-0011","AQS","16","."
"05/10/2009","17","PM2.5","Hoover Wilderness","06-051-9000","AQS","14","17"
"05/11/2009","17","PM10","Mono Shore","06-051-0011","AQS","17","."
"05/12/2009","16","PM10","Mono Shore","06-051-0011","AQS","16","."
"05/13/2009","43","PM10","Mono Shore","06-051-0011","AQS","43","19"
"05/14/2009","12","PM10","Mammoth","06-051-0001","AQS","12","."
"05/15/2009","17","PM10","Mammoth","06-051-0001","AQS","17","."
"05/16/2009","25","PM2.5","Hoover Wilderness","06-051-9000","AQS","18","25"
"05/17/2009","16","PM10","Mammoth","06-051-0001","AQS","16","."
"05/18/2009","66","PM10","Mono Shore","06-051-0011","AQS","66","."
"05/19/2009","25","PM2.5","Hoover Wilderness","06-051-9000","AQS","20","25"
"05/20/2009","15","PM10","Mono Shore","06-051-0011","AQS","15","."
"05/21/2009","16","PM10","Mammoth","06-051-0001","AQS","16","."
"05/22/2009","44","PM10","Mono Shore","06-051-0011","AQS","44","15"
"05/23/2009","18","PM10","Mammoth","06-051-0001","AQS","18","."
"05/24/2009","13","PM10","Mammoth","06-051-0001","AQS","13","."
"05/25/2009","30","PM10","Mono Shore","06-051-0011","AQS","30","15"
"05/26/2009","12","PM10","Mammoth","06-051-0001","AQS","12","."
"05/27/2009","12","PM10","Mammoth","06-051-0001","AQS","12","."
"05/28/2009","11","PM2.5","Hoover Wilderness","06-051-9000","AQS","11","11"
"05/29/2009","31","PM10","Mono Shore","06-051-0011","AQS","31","."
"05/30/2009","9","PM10","Mammoth","06-051-0001","AQS","9","."
"05/31/2009","9","PM2.5","Hoover Wilderness","06-051-9000","AQS","7","9"
