"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM10","PM25"
"01/01/2009","8","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","8","2"
"01/04/2009","5","PM2.5","Redwood NP","06-015-0002","AQS",".","5"
"01/07/2009","15","PM2.5","Redwood NP","06-015-0002","AQS","13","15"
"01/10/2009","7","PM2.5","Redwood NP","06-015-0002","AQS",".","7"
"01/13/2009","8","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","8","5"
"01/16/2009","7","PM2.5","Redwood NP","06-015-0002","AQS",".","7"
"01/19/2009","26","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","26","9"
"01/22/2009","14","PM2.5","Redwood NP","06-015-0002","AQS",".","14"
"01/25/2009","10","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","10","8"
"01/28/2009","7","PM2.5","Redwood NP","06-015-0002","AQS",".","7"
"01/31/2009","29","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","29","16"
"02/03/2009","10","PM2.5","Redwood NP","06-015-0002","AQS",".","10"
"02/06/2009","21","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","21","10"
"02/09/2009","6","PM2.5","Redwood NP","06-015-0002","AQS",".","6"
"02/12/2009","7","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","7","3"
"02/15/2009","3","PM2.5","Redwood NP","06-015-0002","AQS",".","3"
"02/18/2009","7","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","7","2"
"02/21/2009","10","PM2.5","Redwood NP","06-015-0002","AQS",".","10"
"02/24/2009","18","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","18","9"
"02/27/2009","6","PM2.5","Redwood NP","06-015-0002","AQS",".","6"
"03/02/2009","21","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","21","13"
"03/05/2009","3","PM2.5","Redwood NP","06-015-0002","AQS",".","3"
"03/08/2009","10","PM2.5","Redwood NP","06-015-0002","AQS",".","10"
"03/11/2009","17","PM2.5","Redwood NP","06-015-0002","AQS",".","17"
"03/12/2009","23","PM10","CRESCENT CITY-NORTHCREST","06-015-0006","AQS","23","."
"03/14/2009","12","PM2.5","Redwood NP","06-015-0002","AQS","10","12"
"03/17/2009","17","PM2.5","Redwood NP","06-015-0002","AQS",".","17"
