"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2009","129","PM2.5","Ontario Fire Station","06-071-0025","AQS","23","40","3","52","129","41"
"01/02/2009","58","NO2","Fontana","06-071-2002","AQS","16","46","4","29",".","58"
"01/03/2009","36","Ozone","Trona - Athol/Telescope #2","06-071-1234","AQS","8","36","3","10",".","29"
"01/04/2009","56","PM2.5","Ontario Fire Station","06-071-0025","AQS","8","40","1","12","56","47"
"01/05/2009","42","NO2","Barstow","06-071-0001","AQS","10","40","3","21",".","42"
"01/06/2009","51","NO2","Barstow","06-071-0001","AQS","11","38","10","32",".","51"
"01/07/2009","102","PM2.5","Ontario Fire Station","06-071-0025","AQS","16","30","7","56","102","51"
"01/08/2009","73","NO2","Fontana","06-071-2002","AQS","16","33","7","38",".","73"
"01/09/2009","40","Ozone","Crestline","06-071-0005","AQS","17","40","3","33",".","39"
"01/10/2009","44","NO2","Upland","06-071-1004","AQS","10","41","4","21","28","44"
"01/11/2009","42","Ozone","Fontana","06-071-2002","AQS","11","42","10","24",".","39"
"01/12/2009","45","NO2","Upland","06-071-1004","AQS","9","38","6","27",".","45"
"01/13/2009","63","PM2.5","Big Bear","06-071-8001","AQS","10","37","4","29","63","45"
"01/14/2009","45","NO2","Upland","06-071-1004","AQS","9","42","9","30",".","45"
"01/15/2009","42","NO2","Victorville-Park Avenue","06-071-0306","AQS","11","38","14","32",".","42"
"01/16/2009","40","NO2","Victorville-Park Avenue","06-071-0306","AQS","10","38","7","29","31","40"
"01/17/2009","38","Ozone","Joshua Tree NP - Black Rock","06-071-9002","AQS","10","38","6","28",".","38"
"01/18/2009","42","NO2","Barstow","06-071-0001","AQS","13","40","6","23",".","42"
"01/19/2009","87","PM2.5","Big Bear","06-071-8001","AQS","10","41","6","39","87","40"
"01/20/2009","43","NO2","Fontana","06-071-2002","AQS","9","34","7","30",".","43"
"01/21/2009","46","NO2","Upland","06-071-1004","AQS","9","35","3","25",".","46"
"01/22/2009","62","PM2.5","Ontario Fire Station","06-071-0025","AQS","10","38","4","24","62","42"
"01/23/2009","42","Ozone","Joshua Tree NP - Black Rock","06-071-9002","AQS","9","42","4","15",".","32"
"01/24/2009","33","Ozone","Joshua Tree NP - Black Rock","06-071-9002","AQS","6","33","1","8",".","25"
"01/25/2009","42","PM2.5","San Bernardino","06-071-9004","AQS","6","39","3","15","42","18"
"01/26/2009","40","Ozone","Joshua Tree NP - Black Rock","06-071-9002","AQS","5","40","1","10",".","34"
"01/27/2009","44","Ozone","Joshua Tree NP - Black Rock","06-071-9002","AQS","7","44","4","19",".","42"
"01/28/2009","44","Ozone","Joshua Tree NP - Black Rock","06-071-9002","AQS","11","44","6","25","30","40"
"01/29/2009","43","Ozone","Joshua Tree NP - Black Rock","06-071-9002","AQS","8","43","1","19",".","43"
"01/30/2009","42","Ozone","Joshua Tree NP - Black Rock","06-071-9002","AQS","11","42","7","25",".","42"
"01/31/2009","82","PM2.5","Big Bear","06-071-8001","AQS","13","42","9","34","82","45"
"02/01/2009","42","NO2","Upland","06-071-1004","AQS","13","41","6","20",".","42"
"02/02/2009","43","Ozone","Joshua Tree NP - Black Rock","06-071-9002","AQS","8","43","6","22",".","42"
"02/03/2009","52","PM2.5","Fontana","06-071-2002","AQS","9","35","6","25","52","52"
