"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2009","12","Ozone","Sonora-Barretta Street","06-109-0005","AQS","12","."
"01/02/2009","19","Ozone","Sonora-Barretta Street","06-109-0005","AQS","19","."
"01/03/2009","21","Ozone","Sonora-Barretta Street","06-109-0005","AQS","21","."
"01/04/2009","28","Ozone","Sonora-Barretta Street","06-109-0005","AQS","28","."
"01/05/2009","14","Ozone","Sonora-Barretta Street","06-109-0005","AQS","14","."
"01/06/2009","14","Ozone","Sonora-Barretta Street","06-109-0005","AQS","14","."
"01/07/2009","7","Ozone","Sonora-Barretta Street","06-109-0005","AQS","7","."
"01/08/2009","11","Ozone","Sonora-Barretta Street","06-109-0005","AQS","11","."
"01/10/2009","30","Ozone","Sonora-Barretta Street","06-109-0005","AQS","30","."
"01/11/2009","27","Ozone","Sonora-Barretta Street","06-109-0005","AQS","27","."
"01/12/2009","22","Ozone","Sonora-Barretta Street","06-109-0005","AQS","22","."
"01/13/2009","24","Ozone","Sonora-Barretta Street","06-109-0005","AQS","24","."
"01/14/2009","26","Ozone","Sonora-Barretta Street","06-109-0005","AQS","26","."
"01/15/2009","26","Ozone","Sonora-Barretta Street","06-109-0005","AQS","26","."
"01/16/2009","30","Ozone","Sonora-Barretta Street","06-109-0005","AQS","30","."
"01/17/2009","32","Ozone","Sonora-Barretta Street","06-109-0005","AQS","32","."
"01/18/2009","31","Ozone","Sonora-Barretta Street","06-109-0005","AQS","31","."
"01/19/2009","32","Ozone","Sonora-Barretta Street","06-109-0005","AQS","32","."
"01/20/2009","30","Ozone","Sonora-Barretta Street","06-109-0005","AQS","30","."
"01/21/2009","20","Ozone","Sonora-Barretta Street","06-109-0005","AQS","20","."
"01/22/2009","20","Ozone","Sonora-Barretta Street","06-109-0005","AQS","20","."
"01/23/2009","19","Ozone","Sonora-Barretta Street","06-109-0005","AQS","19","."
"01/24/2009","27","Ozone","Sonora-Barretta Street","06-109-0005","AQS","27","."
"01/25/2009","29","Ozone","Sonora-Barretta Street","06-109-0005","AQS","29","."
"01/26/2009","27","Ozone","Sonora-Barretta Street","06-109-0005","AQS","27","."
"01/27/2009","29","Ozone","Sonora-Barretta Street","06-109-0005","AQS","29","."
"01/28/2009","24","Ozone","Sonora-Barretta Street","06-109-0005","AQS","24","."
"01/29/2009","26","Ozone","Sonora-Barretta Street","06-109-0005","AQS","26","."
"01/30/2009","29","Ozone","Sonora-Barretta Street","06-109-0005","AQS","29","."
"01/31/2009","28","Ozone","Sonora-Barretta Street","06-109-0005","AQS","28","."
"02/01/2009","30","Ozone","Sonora-Barretta Street","06-109-0005","AQS","30","."
"02/02/2009","31","Ozone","Sonora-Barretta Street","06-109-0005","AQS","31","."
"02/03/2009","32","Ozone","Sonora-Barretta Street","06-109-0005","AQS","32","."
"02/04/2009","34","Ozone","Sonora-Barretta Street","06-109-0005","AQS","34","."
"02/05/2009","38","Ozone","Sonora-Barretta Street","06-109-0005","AQS","38","."
"02/06/2009","34","Ozone","Sonora-Barretta Street","06-109-0005","AQS","34","."
"02/07/2009","35","Ozone","Sonora-Barretta Street","06-109-0005","AQS","35","."
"02/08/2009","37","Ozone","Sonora-Barretta Street","06-109-0005","AQS","37","."
"02/09/2009","36","Ozone","Sonora-Barretta Street","06-109-0005","AQS","36","."
"02/10/2009","32","Ozone","Sonora-Barretta Street","06-109-0005","AQS","32","."
