"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM10","PM25"
"01/01/2009","11","PM10","Weaverville-Courthouse","06-105-0002","AQS","11","2"
"01/04/2009","26","PM10","Weaverville-Courthouse","06-105-0002","AQS","26","4"
"01/07/2009","19","PM10","Weaverville-Courthouse","06-105-0002","AQS","19","1"
"01/10/2009","31","PM10","Weaverville-Courthouse","06-105-0002","AQS","31","5"
"01/13/2009","25","PM10","Weaverville-Courthouse","06-105-0002","AQS","25","3"
"01/16/2009","3","PM2.5","Trinity","06-105-9000","AQS",".","3"
"01/19/2009","31","PM10","Weaverville-Courthouse","06-105-0002","AQS","31","4"
"01/22/2009","8","PM2.5","Trinity","06-105-9000","AQS",".","8"
"01/25/2009","6","PM10","Weaverville-Courthouse","06-105-0002","AQS","6","3"
"01/28/2009","48","PM10","Weaverville-Courthouse","06-105-0002","AQS","48","6"
"01/31/2009","25","PM10","Weaverville-Courthouse","06-105-0002","AQS","25","7"
"02/03/2009","36","PM10","Weaverville-Courthouse","06-105-0002","AQS","36","6"
"02/06/2009","1","PM2.5","Trinity","06-105-9000","AQS",".","1"
"02/09/2009","8","PM2.5","Trinity","06-105-9000","AQS",".","8"
"02/10/2009","22","PM10","Weaverville-Courthouse","06-105-0002","AQS","22","."
"02/12/2009","1","PM2.5","Trinity","06-105-9000","AQS",".","1"
"02/14/2009","11","PM10","Weaverville-Courthouse","06-105-0002","AQS","11","."
"02/15/2009","1","PM2.5","Trinity","06-105-9000","AQS",".","1"
"02/18/2009","1","PM2.5","Trinity","06-105-9000","AQS",".","1"
"02/19/2009","19","PM10","Weaverville-Courthouse","06-105-0002","AQS","19","."
"02/21/2009","16","PM10","Weaverville-Courthouse","06-105-0002","AQS","16","9"
"02/24/2009","18","PM10","Weaverville-Courthouse","06-105-0002","AQS","18","5"
"03/02/2009","9","PM10","Weaverville-Courthouse","06-105-0002","AQS","9","."
"03/05/2009","10","PM10","Weaverville-Courthouse","06-105-0002","AQS","10","2"
"03/08/2009","9","PM10","Weaverville-Courthouse","06-105-0002","AQS","9","5"
"03/11/2009","27","PM10","Weaverville-Courthouse","06-105-0002","AQS","27","6"
"03/14/2009","10","PM10","Weaverville-Courthouse","06-105-0002","AQS","10","8"
"03/17/2009","25","PM10","Weaverville-Courthouse","06-105-0002","AQS","25","."
"03/20/2009","17","PM10","Weaverville-Courthouse","06-105-0002","AQS","17","8"
"03/23/2009","2","PM2.5","Trinity","06-105-9000","AQS",".","2"
"03/26/2009","12","PM10","Weaverville-Courthouse","06-105-0002","AQS","12","3"
"03/29/2009","6","PM2.5","Trinity","06-105-9000","AQS",".","6"
"04/01/2009","12","PM2.5","Trinity","06-105-9000","AQS","7","12"
"04/04/2009","12","PM2.5","Trinity","06-105-9000","AQS",".","12"
"04/07/2009","17","PM2.5","Trinity","06-105-9000","AQS",".","17"
"04/10/2009","3","PM2.5","Trinity","06-105-9000","AQS",".","3"
"04/13/2009","7","PM2.5","Trinity","06-105-9000","AQS",".","7"
"04/16/2009","11","PM10","Weaverville-Courthouse","06-105-0002","AQS","11","10"
"04/19/2009","15","PM2.5","Trinity","06-105-9000","AQS",".","15"
"04/22/2009","12","PM2.5","Trinity","06-105-9000","AQS",".","12"
"04/23/2009","8","PM10","Weaverville-Courthouse","06-105-0002","AQS","8","."
"04/25/2009","16","PM2.5","Trinity","06-105-9000","AQS","8","16"
"04/28/2009","25","PM2.5","Trinity","06-105-9000","AQS","7","25"
"05/01/2009","9","PM2.5","Trinity","06-105-9000","AQS",".","9"
"05/04/2009","5","PM2.5","Trinity","06-105-9000","AQS",".","5"
"05/07/2009","8","PM2.5","Trinity","06-105-9000","AQS","6","8"
"05/10/2009","15","PM2.5","Trinity","06-105-9000","AQS",".","15"
"05/13/2009","9","PM2.5","Trinity","06-105-9000","AQS","6","9"
"05/16/2009","25","PM2.5","Trinity","06-105-9000","AQS",".","25"
"05/19/2009","8","PM2.5","Trinity","06-105-9000","AQS",".","8"
"05/22/2009","19","PM2.5","Trinity","06-105-9000","AQS",".","19"
"05/25/2009","22","PM2.5","Trinity","06-105-9000","AQS",".","22"
"05/28/2009","20","PM2.5","Trinity","06-105-9000","AQS",".","20"
"05/31/2009","25","PM2.5","Trinity","06-105-9000","AQS","12","25"
"06/06/2009","5","PM10","Weaverville-Courthouse","06-105-0002","AQS","5","."
"06/12/2009","12","PM2.5","Trinity","06-105-9000","AQS",".","12"
"06/13/2009","6","PM10","Weaverville-Courthouse","06-105-0002","AQS","6","."
"06/15/2009","13","PM2.5","Trinity","06-105-9000","AQS",".","13"
"06/18/2009","12","PM2.5","Trinity","06-105-9000","AQS",".","12"
"06/21/2009","8","PM2.5","Trinity","06-105-9000","AQS",".","8"
"06/24/2009","14","PM2.5","Trinity","06-105-9000","AQS",".","14"
"06/26/2009","9","PM10","Weaverville-Courthouse","06-105-0002","AQS","9","."
"06/27/2009","22","PM2.5","Trinity","06-105-9000","AQS",".","22"
"06/30/2009","23","PM2.5","Trinity","06-105-9000","AQS","13","23"
"07/03/2009","20","PM2.5","Trinity","06-105-9000","AQS",".","20"
"07/06/2009","8","PM2.5","Trinity","06-105-9000","AQS","8","8"
"07/09/2009","23","PM2.5","Trinity","06-105-9000","AQS",".","23"
"07/12/2009","14","PM2.5","Trinity","06-105-9000","AQS","6","14"
"07/15/2009","22","PM2.5","Trinity","06-105-9000","AQS",".","22"
"07/18/2009","20","PM2.5","Trinity","06-105-9000","AQS","10","20"
"07/21/2009","14","PM2.5","Trinity","06-105-9000","AQS",".","14"
"07/24/2009","17","PM2.5","Trinity","06-105-9000","AQS","12","17"
"07/27/2009","21","PM2.5","Trinity","06-105-9000","AQS",".","21"
"07/30/2009","30","PM2.5","Trinity","06-105-9000","AQS","14","30"
"08/02/2009","18","PM2.5","Trinity","06-105-9000","AQS",".","18"
"08/05/2009","10","PM2.5","Trinity","06-105-9000","AQS","8","10"
"08/11/2009","4","PM10","Weaverville-Courthouse","06-105-0002","AQS","4","."
"08/14/2009","14","PM2.5","Trinity","06-105-9000","AQS",".","14"
"08/17/2009","11","PM2.5","Trinity","06-105-9000","AQS","9","11"
"08/20/2009","26","PM2.5","Trinity","06-105-9000","AQS",".","26"
"08/23/2009","16","PM2.5","Trinity","06-105-9000","AQS","6","16"
"08/26/2009","18","PM2.5","Trinity","06-105-9000","AQS",".","18"
"08/29/2009","10","PM2.5","Trinity","06-105-9000","AQS","6","10"
"09/01/2009","16","PM2.5","Trinity","06-105-9000","AQS",".","16"
"09/04/2009","8","PM2.5","Trinity","06-105-9000","AQS","7","8"
"09/07/2009","10","PM2.5","Trinity","06-105-9000","AQS",".","10"
"09/10/2009","13","PM2.5","Trinity","06-105-9000","AQS","10","13"
"09/13/2009","18","PM2.5","Trinity","06-105-9000","AQS",".","18"
"09/16/2009","5","PM10","Weaverville-Courthouse","06-105-0002","AQS","5","."
"09/22/2009","14","PM10","Weaverville-Courthouse","06-105-0002","AQS","14","."
"09/25/2009","35","PM2.5","Trinity","06-105-9000","AQS",".","35"
"09/28/2009","10","PM2.5","Trinity","06-105-9000","AQS","5","10"
"10/04/2009","19","PM10","Weaverville-Courthouse","06-105-0002","AQS","19","6"
"10/07/2009","8","PM2.5","Trinity","06-105-9000","AQS",".","8"
"10/10/2009","12","PM2.5","Trinity","06-105-9000","AQS","12","12"
"10/13/2009","3","PM2.5","Trinity","06-105-9000","AQS",".","3"
"10/16/2009","11","PM10","Weaverville-Courthouse","06-105-0002","AQS","11","7"
"10/19/2009","4","PM2.5","Trinity","06-105-9000","AQS",".","4"
"10/22/2009","17","PM2.5","Trinity","06-105-9000","AQS","16","17"
"10/25/2009","19","PM2.5","Trinity","06-105-9000","AQS",".","19"
"10/28/2009","23","PM10","Weaverville-Courthouse","06-105-0002","AQS","23","."
"10/31/2009","3","PM2.5","Trinity","06-105-9000","AQS",".","3"
"11/03/2009","31","PM10","Weaverville-Courthouse","06-105-0002","AQS","31","7"
"11/06/2009","9","PM2.5","Trinity","06-105-9000","AQS",".","9"
"11/09/2009","6","PM2.5","Trinity","06-105-9000","AQS",".","6"
"11/12/2009","10","PM2.5","Trinity","06-105-9000","AQS",".","10"
"11/15/2009","38","PM10","Weaverville-Courthouse","06-105-0002","AQS","38","10"
"11/18/2009","5","PM2.5","Trinity","06-105-9000","AQS",".","5"
"11/21/2009","19","PM10","Weaverville-Courthouse","06-105-0002","AQS","19","3"
"11/24/2009","53","PM10","Weaverville-Courthouse","06-105-0002","AQS","53","."
"11/27/2009","23","PM10","Weaverville-Courthouse","06-105-0002","AQS","23","."
"12/03/2009","31","PM10","Weaverville-Courthouse","06-105-0002","AQS","31","19"
"12/06/2009","11","PM2.5","Trinity","06-105-9000","AQS",".","11"
"12/09/2009","37","PM10","Weaverville-Courthouse","06-105-0002","AQS","37","."
"12/12/2009","0","PM2.5","Trinity","06-105-9000","AQS",".","0"
"12/15/2009","15","PM10","Weaverville-Courthouse","06-105-0002","AQS","15","."
"12/21/2009","17","PM10","Weaverville-Courthouse","06-105-0002","AQS","17","."
"12/27/2009","17","PM10","Weaverville-Courthouse","06-105-0002","AQS","17","."
"12/30/2009","39","PM10","Weaverville-Courthouse","06-105-0002","AQS","39","."
