"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2009","24","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","24","3"
"01/02/2009","31","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","31","."
"01/03/2009","24","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","24","."
"01/04/2009","19","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","19","."
"01/05/2009","23","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","23","."
"01/06/2009","21","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","21","."
"01/07/2009","13","PM2.5","Lakeport-Lakeport Blvd.","06-033-3001","AQS","9","13"
"01/08/2009","25","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","25","."
"01/09/2009","20","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","20","."
"01/10/2009","24","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","24","."
"01/11/2009","24","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","24","."
"01/12/2009","29","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","29","."
"01/13/2009","19","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","19","8"
"01/14/2009","20","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","20","."
"01/15/2009","25","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","25","."
"01/16/2009","23","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","23","."
"01/17/2009","24","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","24","."
"01/18/2009","26","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","26","."
"01/19/2009","23","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","23","13"
"01/20/2009","23","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","23","."
"01/21/2009","14","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","14","."
"01/22/2009","19","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","19","."
"01/23/2009","23","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","23","."
"01/24/2009","29","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","29","."
"01/25/2009","37","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","37","5"
"01/26/2009","25","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","25","."
"01/27/2009","31","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","31","."
"01/28/2009","25","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","25","."
"01/29/2009","28","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","28","."
"01/30/2009","25","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","25","."
"01/31/2009","26","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","26","11"
"02/01/2009","29","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","29","."
"02/02/2009","29","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","29","."
"02/03/2009","31","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","31","."
"02/04/2009","35","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","35","."
"02/05/2009","35","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","35","."
"02/06/2009","34","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","34","10"
"02/07/2009","31","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","31","."
"02/08/2009","35","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","35","."
"02/09/2009","31","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","31","."
"02/10/2009","29","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","29","."
"02/11/2009","32","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","32","."
"02/12/2009","29","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","29","5"
"02/13/2009","33","Ozone","Lakeport-Lakeport Blvd.","06-033-3001","AQS","33","."
