"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25","NO2"
"01/01/2009","20","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","20",".",".","9"
"01/02/2009","29","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","29",".",".","10"
"01/03/2009","20","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","20",".",".","19"
"01/04/2009","18","NO2","Ukiah-Gobbi Street","06-045-0008","AQS","14",".",".","18"
"01/05/2009","20","NO2","Ukiah-Gobbi Street","06-045-0008","AQS","18",".",".","20"
"01/06/2009","17","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","17",".",".","15"
"01/07/2009","13","NO2","Ukiah-Gobbi Street","06-045-0008","AQS","7",".",".","13"
"01/08/2009","24","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","24",".",".","21"
"01/09/2009","19","NO2","Ukiah-Gobbi Street","06-045-0008","AQS","1",".",".","19"
"01/10/2009","20","NO2","Ukiah-Gobbi Street","06-045-0008","AQS","13",".",".","20"
"01/11/2009","23","NO2","Ukiah-Gobbi Street","06-045-0008","AQS","18",".",".","23"
"01/12/2009","26","NO2","Ukiah-Gobbi Street","06-045-0008","AQS","9",".",".","26"
"01/13/2009","23","NO2","Ukiah-Gobbi Street","06-045-0008","AQS","14",".",".","23"
"01/14/2009","21","NO2","Ukiah-Gobbi Street","06-045-0008","AQS","13",".",".","21"
"01/15/2009","24","NO2","Ukiah-Gobbi Street","06-045-0008","AQS",".",".",".","24"
"01/16/2009","19","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","19",".",".","6"
"01/17/2009","28","NO2","Ukiah-Gobbi Street","06-045-0008","AQS","17",".",".","28"
"01/18/2009","30","NO2","Ukiah-Gobbi Street","06-045-0008","AQS","20",".",".","30"
"01/19/2009","31","NO2","Ukiah-Gobbi Street","06-045-0008","AQS","18",".",".","31"
"01/20/2009","32","NO2","Ukiah-Gobbi Street","06-045-0008","AQS","16",".",".","32"
"01/21/2009","29","NO2","Ukiah-Gobbi Street","06-045-0008","AQS","4",".",".","29"
"01/22/2009","22","NO2","Ukiah-Gobbi Street","06-045-0008","AQS","6",".",".","22"
"01/23/2009","21","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","21",".",".","20"
"01/24/2009","29","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","29",".",".","16"
"01/25/2009","31","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","31",".",".","10"
"01/26/2009","26","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","26",".",".","24"
"01/27/2009","26","NO2","Ukiah-Gobbi Street","06-045-0008","AQS","19",".",".","26"
"01/28/2009","25","NO2","Ukiah-Gobbi Street","06-045-0008","AQS","24",".",".","25"
"01/29/2009","30","NO2","Ukiah-Gobbi Street","06-045-0008","AQS","19",".",".","30"
"01/30/2009","33","NO2","Ukiah-Gobbi Street","06-045-0008","AQS","21",".",".","33"
"01/31/2009","23","NO2","Ukiah-Gobbi Street","06-045-0008","AQS","21",".",".","23"
"02/01/2009","79","PM2.5","","06-045-2001","AQS","24",".","79","21"
"02/02/2009","77","PM2.5","","06-045-2001","AQS","19",".","77","25"
"02/03/2009","87","PM2.5","","06-045-2001","AQS","26",".","87","34"
"02/04/2009","93","PM2.5","","06-045-2001","AQS","27",".","93","36"
"02/05/2009","69","PM2.5","","06-045-2001","AQS","31",".","69","11"
"02/06/2009","56","PM2.5","","06-045-2001","AQS","31",".","56","20"
"02/07/2009","70","PM2.5","","06-045-2001","AQS","25",".","70","19"
"02/08/2009","68","PM2.5","","06-045-2001","AQS","28",".","68","11"
"02/09/2009","69","PM2.5","","06-045-2001","AQS","30",".","69","22"
"02/10/2009","73","PM2.5","","06-045-2001","AQS","26",".","73","14"
"02/11/2009","67","PM2.5","","06-045-2001","AQS","25",".","67","12"
"02/12/2009","58","PM2.5","","06-045-2001","AQS","27",".","58","14"
"02/13/2009","68","PM2.5","","06-045-2001","AQS","28",".","68","11"
"02/14/2009","61","PM2.5","","06-045-2001","AQS","32",".","61","12"
"02/15/2009","51","PM2.5","","06-045-2001","AQS","31",".","51","7"
"02/16/2009","54","PM2.5","Ukiah-Library","06-045-0006","AQS","31",".","54","9"
"02/17/2009","58","PM2.5","","06-045-2001","AQS","25",".","58","14"
"02/18/2009","58","PM2.5","","06-045-2001","AQS","30",".","58","18"
"02/19/2009","64","PM2.5","","06-045-2001","AQS","36",".","64","24"
"02/20/2009","70","PM2.5","","06-045-2001","AQS","32",".","70","25"
"02/21/2009","67","PM2.5","","06-045-2001","AQS","35",".","67","11"
"02/22/2009","48","PM2.5","","06-045-2001","AQS","31",".","48","5"
"02/23/2009","52","PM2.5","","06-045-2001","AQS","30",".","52","11"
"02/24/2009","61","PM2.5","","06-045-2001","AQS","30",".","61","8"
"02/25/2009","58","PM2.5","","06-045-2001","AQS","26",".","58","11"
"02/26/2009","54","PM2.5","Ukiah-Library","06-045-0006","AQS","31",".","54","21"
"02/27/2009","63","PM2.5","","06-045-2001","AQS","27",".","63","13"
