"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25","NO2"
"04/10/2009","37","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","37",".","."
"04/11/2009","40","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","40",".","."
"04/12/2009","41","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","41",".","."
"04/13/2009","38","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","38","18","."
"04/14/2009","40","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","40",".","."
"04/15/2009","41","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","41",".","."
"04/16/2009","46","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","46","20","."
"04/17/2009","46","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","46",".","."
"04/18/2009","44","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","44",".","."
"04/19/2009","47","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","47","20","."
"04/20/2009","54","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","54",".","."
"04/21/2009","58","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","58",".","."
"04/22/2009","77","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","77","18","."
"04/23/2009","45","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","45",".","."
"04/24/2009","46","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","46",".","."
"04/25/2009","45","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","45","20","."
"04/26/2009","46","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","46",".","."
"04/27/2009","47","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","47",".","."
"04/28/2009","44","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","44","21","."
"04/29/2009","48","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","48",".","."
"04/30/2009","45","Ozone","Grass Valley-Litton Building","06-057-0005","AQS","45",".","."
"05/01/2009","42","Ozone","White Cloud","06-057-0007","AQS","42","9","."
"05/02/2009","46","Ozone","White Cloud","06-057-0007","AQS","46",".","."
