"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25","NO2"
"01/01/2009","65","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","27","15","65","10"
"01/02/2009","67","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","23",".","67","17"
"01/03/2009","43","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","27",".","43","35"
"01/04/2009","47","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","30",".","47","26"
"01/05/2009","62","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","19",".","62","19"
"01/06/2009","65","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","19",".","65","19"
"01/07/2009","65","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","11","18","65","23"
"01/08/2009","54","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","15",".","54","16"
"01/09/2009","30","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","30",".","30","24"
"01/10/2009","61","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","30",".","61","28"
"01/11/2009","81","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","33",".","81","31"
"01/12/2009","73","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","33",".","73","31"
"01/13/2009","68","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","28","25","68","39"
"01/14/2009","65","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","26",".","65","37"
"01/15/2009","54","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","33",".","54","35"
"01/16/2009","73","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","31",".","73","40"
"01/17/2009","44","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","31",".","44","41"
"01/18/2009","38","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","31",".","38","36"
"01/19/2009","39","NO2","Roseville-N Sunrise Ave","06-061-0006","AQS","31","14","38","39"
"01/20/2009","41","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","30",".","41","36"
"01/21/2009","66","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","24",".","66","36"
"01/22/2009","66","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","21",".","66","26"
"01/23/2009","53","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","15",".","53","23"
"01/24/2009","45","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","30",".","45","19"
"01/25/2009","31","Ozone","Colfax-City Hall","06-061-0004","AQS","31","9","26","15"
"01/26/2009","30","Ozone","Colfax-City Hall","06-061-0004","AQS","30",".","18","22"
"01/27/2009","32","Ozone","Colfax-City Hall","06-061-0004","AQS","32",".","19","28"
"01/28/2009","44","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","21",".","44","35"
"01/29/2009","59","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","26",".","59","30"
"01/30/2009","75","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","27",".","75","37"
"01/31/2009","67","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","28","20","67","31"
"02/01/2009","44","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","34",".","44","21"
"02/02/2009","52","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","32",".","52","43"
"02/03/2009","44","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","31",".","44","36"
"02/04/2009","55","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","31",".","55","31"
"02/05/2009","31","Ozone","Auburn - Dewitt - C Avenue","06-061-0002","AQS","31",".","26","22"
"02/06/2009","30","Ozone","Colfax-City Hall","06-061-0004","AQS","30","8","24","18"
"02/07/2009","43","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","35",".","43","18"
"02/08/2009","34","Ozone","Colfax-City Hall","06-061-0004","AQS","34",".","30","10"
"02/09/2009","31","Ozone","Colfax-City Hall","06-061-0004","AQS","31",".","10","31"
"02/10/2009","29","Ozone","Colfax-City Hall","06-061-0004","AQS","29",".","18","23"
"02/11/2009","30","Ozone","Colfax-City Hall","06-061-0004","AQS","30",".","17","13"
"02/12/2009","29","Ozone","Colfax-City Hall","06-061-0004","AQS","29","7","21","21"
"02/13/2009","32","Ozone","Colfax-City Hall","06-061-0004","AQS","32",".","8","12"
"02/14/2009","34","Ozone","Roseville-N Sunrise Ave","06-061-0006","AQS","34",".","8","5"
"02/15/2009","40","Ozone","Colfax-City Hall","06-061-0004","AQS","40",".","21","37"
"02/16/2009","34","Ozone","Auburn - Dewitt - C Avenue","06-061-0002","AQS","34",".","16","27"
"02/17/2009","31","Ozone","Auburn - Dewitt - C Avenue","06-061-0002","AQS","31",".","5","16"
"02/18/2009","31","Ozone","Colfax-City Hall","06-061-0004","AQS","31","6","13","28"
"02/19/2009","37","Ozone","Colfax-City Hall","06-061-0004","AQS","37",".","17","30"
"02/20/2009","36","Ozone","Colfax-City Hall","06-061-0004","AQS","36",".","15","35"
"02/21/2009","36","Ozone","Colfax-City Hall","06-061-0004","AQS","36",".","30","14"
"02/22/2009","41","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","35",".","41","10"
"02/23/2009","33","Ozone","Colfax-City Hall","06-061-0004","AQS","33",".","4","13"
