"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM25","NO2"
"01/01/2018","77","PM2.5","Redwood City","06-081-1001","AQS","10","18","77","25"
"01/02/2018","73","PM2.5","Redwood City","06-081-1001","AQS","14","3","73","30"
"01/03/2018","83","PM2.5","Redwood City","06-081-1001","AQS","16","0","83","34"
"01/04/2018","55","PM2.5","Redwood City","06-081-1001","AQS","15","16","55","28"
"01/05/2018","23","Ozone","Redwood City","06-081-1001","AQS","7","23","21","18"
"01/06/2018","33","PM2.5","Redwood City","06-081-1001","AQS","7","26","33","16"
"01/07/2018","52","PM2.5","Redwood City","06-081-1001","AQS","8","13","52","18"
"01/08/2018","38","PM2.5","Redwood City","06-081-1001","AQS","9","6","38","29"
"01/09/2018","34","Ozone","Redwood City","06-081-1001","AQS","6","34","11","20"
"01/10/2018","28","Ozone","Redwood City","06-081-1001","AQS","6","28","20","25"
"01/11/2018","49","PM2.5","Redwood City","06-081-1001","AQS","8","12","49","27"
"01/12/2018","52","PM2.5","Redwood City","06-081-1001","AQS","8","14","52","23"
"01/13/2018","47","PM2.5","Redwood City","06-081-1001","AQS","8","15","47","16"
"01/14/2018","60","PM2.5","Redwood City","06-081-1001","AQS","7","10","60","18"
"01/15/2018","78","PM2.5","Redwood City","06-081-1001","AQS","9","6","78","25"
"01/16/2018","69","PM2.5","Redwood City","06-081-1001","AQS","11","7","69","23"
"01/17/2018","77","PM2.5","Redwood City","06-081-1001","AQS","7","7","77","21"
"01/18/2018","54","PM2.5","Redwood City","06-081-1001","AQS","7","31","54","20"
"01/19/2018","29","PM2.5","Redwood City","06-081-1001","AQS","8","29","29","23"
"01/20/2018","30","PM2.5","Redwood City","06-081-1001","AQS","7","28","30","25"
"01/21/2018","33","PM2.5","Redwood City","06-081-1001","AQS","5","31","33","11"
"01/22/2018","30","PM2.5","Redwood City","06-081-1001","AQS","6","29","30","24"
"01/23/2018","52","PM2.5","Redwood City","06-081-1001","AQS","9","19","52","25"
"01/24/2018","32","Ozone","Redwood City","06-081-1001","AQS","13","32","30","20"
"01/25/2018","32","Ozone","Redwood City","06-081-1001","AQS","6","32","28","23"
"01/26/2018","36","PM2.5","Redwood City","06-081-1001","AQS","9","25","36","21"
"01/27/2018","36","PM2.5","Redwood City","06-081-1001","AQS","7","28","36","21"
"01/28/2018","35","PM2.5","Redwood City","06-081-1001","AQS","6","26","35","18"
"01/29/2018","55","PM2.5","Redwood City","06-081-1001","AQS","9","11","55","24"
"01/30/2018","54","PM2.5","Redwood City","06-081-1001","AQS","11","12","54","25"
"01/31/2018","32","NO2","Redwood City","06-081-1001","AQS","11","10",".","32"
