"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25","NO2"
"01/01/2018","139","PM2.5","Merced-Coffee","06-047-0003","AQS","20",".","139","22"
"01/02/2018","143","PM2.5","Merced-M Street","06-047-2510","AQS","19","57","143","24"
"01/03/2018","157","PM2.5","Merced-Coffee","06-047-0003","AQS","13",".","157","18"
"01/04/2018","117","PM2.5","Merced-Coffee","06-047-0003","AQS","19",".","117","12"
"01/05/2018","63","PM2.5","Merced-Coffee","06-047-0003","AQS","18",".","63","18"
"01/06/2018","24","Ozone","Merced-Coffee","06-047-0003","AQS","24",".","23","15"
"01/07/2018","58","PM2.5","Merced-Coffee","06-047-0003","AQS","14",".","58","13"
"01/08/2018","25","PM2.5","Merced-M Street","06-047-2510","AQS","20","9","25","9"
"01/09/2018","29","Ozone","Merced-Coffee","06-047-0003","AQS","29",".","5","12"
"01/10/2018","24","PM2.5","Merced-Coffee","06-047-0003","AQS","22",".","24","9"
"01/11/2018","40","PM2.5","Merced-M Street","06-047-2510","AQS","23",".","40","20"
"01/12/2018","63","PM2.5","Merced-Coffee","06-047-0003","AQS","11",".","63","12"
"01/13/2018","75","PM2.5","Merced-Coffee","06-047-0003","AQS","18",".","75","6"
"01/14/2018","94","PM2.5","Merced-M Street","06-047-2510","AQS","16","30","94","14"
"01/15/2018","80","PM2.5","Merced-Coffee","06-047-0003","AQS","8",".","80","12"
"01/16/2018","59","PM2.5","Merced-Coffee","06-047-0003","AQS","9",".","59","11"
"01/17/2018","90","PM2.5","Merced-Coffee","06-047-0003","AQS","13",".","90","19"
"01/18/2018","81","PM2.5","Merced-Coffee","06-047-0003","AQS","22",".","81","16"
"01/19/2018","31","Ozone","Merced-Coffee","06-047-0003","AQS","31",".","24","13"
"01/20/2018","37","PM2.5","Merced-Coffee","06-047-0003","AQS","24","14","37","13"
"01/21/2018","58","PM2.5","Merced-Coffee","06-047-0003","AQS","24",".","58","16"
"01/22/2018","60","PM2.5","Merced-Coffee","06-047-0003","AQS","18",".","60","16"
"01/23/2018","59","PM2.5","Merced-M Street","06-047-2510","AQS","16",".","59","20"
"01/24/2018","67","PM2.5","Merced-Coffee","06-047-0003","AQS","22",".","67","17"
"01/25/2018","31","Ozone","Merced-Coffee","06-047-0003","AQS","31",".","30","24"
"01/26/2018","52","PM2.5","Merced-Coffee","06-047-0003","AQS","19","13","52","20"
"01/27/2018","57","PM2.5","Merced-Coffee","06-047-0003","AQS","24",".","57","19"
"01/28/2018","59","PM2.5","Merced-Coffee","06-047-0003","AQS","21",".","59","15"
"01/29/2018","75","PM2.5","Merced-M Street","06-047-2510","AQS","19",".","75","21"
"01/30/2018","74","PM2.5","Merced-Coffee","06-047-0003","AQS","19",".","74","25"
"01/31/2018","67","PM2.5","Merced-Coffee","06-047-0003","AQS","18",".","67","22"
"02/01/2018","93","PM2.5","Merced-M Street","06-047-2510","AQS","27","37","93","28"
"02/02/2018","142","PM2.5","Merced-Coffee","06-047-0003","AQS","31",".","142","26"
"02/03/2018","115","PM2.5","Merced-Coffee","06-047-0003","AQS","34",".","115","24"
"02/04/2018","105","PM2.5","Merced-M Street","06-047-2510","AQS","33",".","105","16"
"02/05/2018","81","PM2.5","Merced-Coffee","06-047-0003","AQS","31",".","81","24"
"02/06/2018","54","PM2.5","Merced-Coffee","06-047-0003","AQS","26",".","54","20"
"02/07/2018","98","PM2.5","Merced-M Street","06-047-2510","AQS","38","44","98","24"
"02/08/2018","66","PM2.5","Merced-Coffee","06-047-0003","AQS","20",".","66","25"
"02/09/2018","56","PM2.5","Merced-Coffee","06-047-0003","AQS",".",".","56","."
"02/10/2018","51","PM2.5","Merced-M Street","06-047-2510","AQS","33",".","51","19"
"02/11/2018","30","PM2.5","Merced-Coffee","06-047-0003","AQS","29",".","30","11"
"02/12/2018","34","PM2.5","Merced-Coffee","06-047-0003","AQS",".",".","34","."
"02/13/2018","51","PM2.5","Merced-Coffee","06-047-0003","AQS","28","22","51","15"
"02/14/2018","44","PM2.5","Merced-Coffee","06-047-0003","AQS","33",".","44","18"
