"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2018","12","Ozone","Yreka","06-093-2001","AQS","12","."
"01/02/2018","44","PM2.5","Yreka","06-093-2001","AQS","6","44"
"01/03/2018","6","Ozone","Yreka","06-093-2001","AQS","6","."
"01/04/2018","23","Ozone","Yreka","06-093-2001","AQS","23","."
"01/05/2018","30","Ozone","Yreka","06-093-2001","AQS","30","2"
"01/06/2018","31","Ozone","Yreka","06-093-2001","AQS","31","."
"01/07/2018","15","Ozone","Yreka","06-093-2001","AQS","15","."
"01/08/2018","45","PM2.5","Yreka","06-093-2001","AQS","17","45"
"01/09/2018","19","Ozone","Yreka","06-093-2001","AQS","19","."
"01/10/2018","24","Ozone","Yreka","06-093-2001","AQS","24","."
"01/11/2018","29","Ozone","Yreka","06-093-2001","AQS","29","2"
"01/12/2018","27","Ozone","Yreka","06-093-2001","AQS","27","."
"01/13/2018","20","Ozone","Yreka","06-093-2001","AQS","20","."
"01/14/2018","54","PM2.5","Yreka","06-093-2001","AQS","16","54"
"01/15/2018","32","Ozone","Yreka","06-093-2001","AQS","32","."
"01/16/2018","22","Ozone","Yreka","06-093-2001","AQS","22","."
"01/17/2018","30","Ozone","Yreka","06-093-2001","AQS","30","4"
"01/18/2018","31","Ozone","Yreka","06-093-2001","AQS","31","."
"01/19/2018","33","Ozone","Yreka","06-093-2001","AQS","33","."
"01/20/2018","30","Ozone","Yreka","06-093-2001","AQS","30","28"
"01/21/2018","25","Ozone","Yreka","06-093-2001","AQS","25","."
"01/22/2018","25","Ozone","Yreka","06-093-2001","AQS","25","."
"01/23/2018","19","Ozone","Yreka","06-093-2001","AQS","19","2"
"01/24/2018","30","Ozone","Yreka","06-093-2001","AQS","30","."
"01/25/2018","30","Ozone","Yreka","06-093-2001","AQS","30","."
"01/26/2018","31","PM2.5","Yreka","06-093-2001","AQS","29","31"
"01/27/2018","29","Ozone","Yreka","06-093-2001","AQS","29","."
"01/28/2018","19","Ozone","Yreka","06-093-2001","AQS","19","."
"01/29/2018","10","Ozone","Yreka","06-093-2001","AQS","10","9"
"01/30/2018","26","Ozone","Yreka","06-093-2001","AQS","26","."
