"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM25"
"01/01/2018","97","PM2.5","Quincy-N Church Street","06-063-1006","AQS","97"
"01/02/2018","105","PM2.5","Portola","06-063-1010","AQS","105"
"01/03/2018","91","PM2.5","Quincy-N Church Street","06-063-1006","AQS","91"
"01/04/2018","79","PM2.5","Quincy-N Church Street","06-063-1006","AQS","79"
"01/05/2018","84","PM2.5","Portola","06-063-1010","AQS","84"
"01/06/2018","35","PM2.5","Quincy-N Church Street","06-063-1006","AQS","35"
"01/07/2018","35","PM2.5","Quincy-N Church Street","06-063-1006","AQS","35"
"01/08/2018","129","PM2.5","Portola","06-063-1010","AQS","129"
"01/09/2018","60","PM2.5","Quincy-N Church Street","06-063-1006","AQS","60"
"01/10/2018","40","PM2.5","Quincy-N Church Street","06-063-1006","AQS","40"
"01/11/2018","79","PM2.5","Portola","06-063-1010","AQS","79"
"01/12/2018","55","PM2.5","Quincy-N Church Street","06-063-1006","AQS","55"
"01/13/2018","53","PM2.5","Quincy-N Church Street","06-063-1006","AQS","53"
"01/14/2018","85","PM2.5","Portola","06-063-1010","AQS","85"
"01/15/2018","67","PM2.5","Quincy-N Church Street","06-063-1006","AQS","67"
"01/18/2018","49","PM2.5","Portola","06-063-1010","AQS","49"
"01/19/2018","15","PM2.5","Quincy-N Church Street","06-063-1006","AQS","15"
"01/20/2018","76","PM2.5","Portola","06-063-1010","AQS","76"
"01/21/2018","31","PM2.5","Quincy-N Church Street","06-063-1006","AQS","31"
"01/22/2018","53","PM2.5","Quincy-N Church Street","06-063-1006","AQS","53"
"01/23/2018","72","PM2.5","Portola","06-063-1010","AQS","72"
"01/26/2018","85","PM2.5","Portola","06-063-1010","AQS","85"
"01/29/2018","83","PM2.5","Portola","06-063-1010","AQS","83"
"01/30/2018","92","PM2.5","Portola","06-063-1010","AQS","92"
"01/31/2018","54","PM2.5","Quincy-N Church Street","06-063-1006","AQS","54"
"02/01/2018","97","PM2.5","Portola","06-063-1010","AQS","97"
