"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2018","169","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","26","36","4","108","169","62"
"01/02/2018","62","NO2","Calexico-Ethel Street","06-025-0005","AQS","9","36","1","58","60","62"
"01/03/2018","84","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","17","19","3","76","84","60"
"01/04/2018","64","PM10","Calexico-Ethel Street","06-025-0005","AQS","19","27","3","64","55","60"
"01/05/2018","109","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","20","31","3","83","109","65"
"01/06/2018","85","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","11","37","1","68","85","71"
"01/07/2018","51","NO2","Calexico-Ethel Street","06-025-0005","AQS","8","31","1","34","38","51"
"01/08/2018","113","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","32","19","4","85","113","63"
"01/09/2018","59","PM10","Brawley-220 Main Street","06-025-0007","AQS","6","35","1","59","43","45"
"01/10/2018","48","NO2","Calexico-Ethel Street","06-025-0005","AQS","8","34","1","24","28","48"
"01/11/2018","54","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","13","31","1","47","54","49"
"01/12/2018","56","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","14","32","1","54","56","49"
"01/13/2018","47","NO2","Calexico-Ethel Street","06-025-0005","AQS","8","34","0","21","33","47"
"01/14/2018","51","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","10","37","1","33","51","50"
"01/15/2018","52","NO2","Calexico-Ethel Street","06-025-0005","AQS","13","34","1","44","41","52"
"01/16/2018","69","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","18","30","3","66","69","55"
"01/17/2018","64","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","16","34","3","59","64","47"
"01/18/2018","73","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","20","31","4","67","73","53"
"01/19/2018","83","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","25","35","6","75","83","52"
"01/20/2018","136","PM10","Calexico-Ethel Street","06-025-0005","AQS","3","40","0","136","58","4"
"01/21/2018","52","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","13","38","1","31","52","28"
"01/22/2018","42","PM2.5","Calexico-Ethel Street","06-025-0005","AQS","18","35","1","40","42","33"
"01/23/2018","61","PM2.5","Brawley-220 Main Street","06-025-0007","AQS","11","36","1","51","61","36"
"01/24/2018","50","PM10","Calexico-Ethel Street","06-025-0005","AQS","13","34","1","50","46","35"
"01/25/2018","69","PM10","Calexico-Ethel Street","06-025-0005","AQS","15","36","3","69","60","55"
"01/26/2018","35","Ozone","El Centro-9th Street","06-025-1003","AQS","5","35","0","31","30","35"
"01/27/2018","39","Ozone","Calexico-Ethel Street","06-025-0005","AQS","5","39","1","23","26","18"
"01/28/2018","38","Ozone","Calexico-Ethel Street","06-025-0005","AQS","2","38","0","15","15","10"
"01/29/2018","51","PM2.5","Brawley-220 Main Street","06-025-0007","AQS","2","34","0","32","51","24"
"01/30/2018","58","PM10","Calexico-Ethel Street","06-025-0005","AQS","11","31","1","58","43","37"
"01/31/2018","63","PM10","Calexico-Ethel Street","06-025-0005","AQS","16","36","1","63","61","38"
