"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM25"
"01/01/2018","40","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","40"
"01/02/2018","46","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","46"
"01/03/2018","49","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","49"
"01/04/2018","35","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","35"
"01/05/2018","53","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","53"
"01/06/2018","43","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","43"
"01/07/2018","23","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","23"
"01/08/2018","34","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","34"
"01/09/2018","28","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","28"
"01/10/2018","13","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","13"
"01/11/2018","34","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","34"
"01/12/2018","62","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","62"
"01/13/2018","52","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","52"
"01/14/2018","53","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","53"
"01/15/2018","64","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","64"
"01/16/2018","67","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","67"
"01/17/2018","54","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","54"
"01/18/2018","77","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","77"
"01/19/2018","26","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","26"
"01/20/2018","23","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","23"
"01/21/2018","27","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","27"
"01/22/2018","52","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","52"
"01/23/2018","20","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","20"
"01/24/2018","32","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","32"
"01/25/2018","37","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","37"
"01/26/2018","17","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","17"
"01/27/2018","23","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","23"
"01/28/2018","43","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","43"
"01/29/2018","27","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","27"
"01/30/2018","34","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","34"
"01/31/2018","40","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","40"
"02/01/2018","35","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","35"
"02/02/2018","24","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","24"
"02/03/2018","23","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","23"
"02/04/2018","30","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","30"
"02/05/2018","45","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","45"
"02/06/2018","49","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","49"
"02/07/2018","27","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","27"
"02/08/2018","19","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","19"
"02/09/2018","34","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","34"
"02/10/2018","35","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","35"
"02/11/2018","26","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","26"
"02/12/2018","18","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","18"
"02/13/2018","56","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","56"
"02/14/2018","45","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","45"
"02/15/2018","43","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","43"
"02/16/2018","60","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","60"
"02/17/2018","63","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","63"
"02/18/2018","48","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","48"
"02/19/2018","46","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","46"
"02/20/2018","25","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","25"
"02/21/2018","32","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","32"
"02/22/2018","42","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","42"
"02/23/2018","30","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","30"
"02/24/2018","48","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","48"
"02/25/2018","8","PM2.5","Redwood NP","06-015-0002","AQS","8"
"02/26/2018","24","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","24"
"02/27/2018","28","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","28"
"02/28/2018","17","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","17"
"03/01/2018","27","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","27"
"03/02/2018","13","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","13"
"03/03/2018","13","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","13"
"03/04/2018","15","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","15"
"03/05/2018","11","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","11"
"03/06/2018","26","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","26"
"03/07/2018","18","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","18"
"03/08/2018","38","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","38"
"03/09/2018","21","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","21"
"03/10/2018","35","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","35"
"03/11/2018","25","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","25"
"03/12/2018","27","PM2.5","CRESCENT CITY-CRESCENT ELK SCHOOL","06-015-0007","AQS","27"
