"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25"
"01/01/2018","32","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","32",".","31","19"
"01/02/2018","38","PM10","Bishop Tribe EMO","06-027-1023","AQS","1","26",".","38","33"
"01/03/2018","31","PM10","Bishop Tribe EMO","06-027-1023","AQS","1","30",".","31","18"
"01/04/2018","34","PM10","Bishop Tribe EMO","06-027-1023","AQS","1","29",".","34","15"
"01/05/2018","34","PM10","Bishop Tribe EMO","06-027-1023","AQS","1","31",".","34","15"
"01/06/2018","37","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","37",".","18","13"
"01/07/2018","38","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","38",".","21","12"
"01/08/2018","33","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","33",".","19","13"
"01/09/2018","27","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","27",".","8","11"
"01/10/2018","31","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","31",".","17","25"
"01/11/2018","31","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","31",".","21","28"
"01/12/2018","33","PM2.5","Keeler","06-027-1003","AQS","1","33",".","19","33"
"01/13/2018","37","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","37",".","13","21"
"01/14/2018","34","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","34",".","16","14"
"01/15/2018","33","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","33",".","19","14"
"01/16/2018","31","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","31",".","19","20"
"01/17/2018","32","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","32",".","21","20"
"01/18/2018","31","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","31",".","26","15"
"01/19/2018","39","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","39",".","21","11"
"01/20/2018","39","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","39",".","26","33"
"01/21/2018","37","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","37",".","13","10"
"01/22/2018","36","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","36",".","20","13"
"01/23/2018","34","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","34",".","21","12"
"01/24/2018","35","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","35",".","34","24"
"01/25/2018","43","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","43",".","36","40"
"01/26/2018","40","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","40",".","20","11"
"01/27/2018","37","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","37",".","14","12"
"01/28/2018","36","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","36",".","15","10"
"01/29/2018","34","PM10","Bishop Tribe EMO","06-027-1023","AQS","1","32",".","34","30"
"01/30/2018","34","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","34",".","25","24"
"01/31/2018","37","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","37",".","24","24"
"02/01/2018","35","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","35",".","24","15"
"02/02/2018","34","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","34",".","22","15"
"02/03/2018","40","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","40",".","20","15"
"02/04/2018","39","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","39",".","26","19"
"02/05/2018","40","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","40",".","25","22"
"02/06/2018","44","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","44",".","26","11"
"02/07/2018","41","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","41",".","26","28"
"02/08/2018","39","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","39",".","20","13"
"02/09/2018","34","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","34",".","21","10"
"02/10/2018","297","PM10","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","44",".","297","81"
"02/11/2018","161","PM10","Coso Junction","06-027-1001","AQS","1","42",".","161","75"
"02/12/2018","44","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","44",".","31","22"
"02/13/2018","40","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","40",".","22","13"
"02/14/2018","41","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","41",".","22","16"
"02/15/2018","44","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","44",".","20","14"
"02/16/2018","41","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","41",".","27","13"
"02/17/2018","37","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","37",".","23","15"
"02/18/2018","111","PM10","Shell Cut","06-027-0025","AQS","1","49",".","111","23"
"02/19/2018","44","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","44",".","27","14"
"02/20/2018","40","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","40",".","11","11"
"02/21/2018","41","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","41",".","20","13"
"02/22/2018","46","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","46",".","20","23"
"02/23/2018","42","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","42",".","17","17"
"02/24/2018","43","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","43",".","18","12"
"02/25/2018","43","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","43",".","9","13"
"02/26/2018","60","PM10","Dirty Socks","06-027-0022","AQS","2","46",".","60","21"
"02/27/2018","43","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","2","43",".","16","23"
"02/28/2018","43","Ozone","White Mountain Research Center - Owens Valley Lab","06-027-0002","AQS","1","43",".","17","15"
"03/01/2018","100","PM10","Shell Cut","06-027-0025","AQS","1","43",".","100","15"
"03/02/2018","166","PM10","Shell Cut","06-027-0025","AQS","1","43",".","166","15"
"03/03/2018","50","PM10","Dirty Socks","06-027-0022","AQS","1","46",".","50","11"
"03/04/2018","44","Ozone","Death Valley NP - Park Village","06-027-0101","AQS","1","44",".","13","7"
