"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM25","NO2"
"01/01/2018","74","PM2.5","Napa","06-055-0003","AQS","10","16","74","21"
"01/02/2018","64","PM2.5","Napa","06-055-0003","AQS","11","7","64","24"
"01/03/2018","89","PM2.5","Napa","06-055-0003","AQS","13","12","89","20"
"01/04/2018","89","PM2.5","Napa","06-055-0003","AQS","9",".","89","."
"01/05/2018","45","PM2.5","Napa","06-055-0003","AQS","8","19","45","17"
"01/06/2018","53","PM2.5","Napa","06-055-0003","AQS","7","20","53","18"
"01/07/2018","77","PM2.5","Napa","06-055-0003","AQS","11","5","77","16"
"01/08/2018","35","PM2.5","Napa","06-055-0003","AQS","11","14","35","15"
"01/09/2018","24","PM2.5","Napa","06-055-0003","AQS","5","16","24","10"
"01/10/2018","46","PM2.5","Napa","06-055-0003","AQS","7","22","46","18"
"01/11/2018","57","PM2.5","Napa","06-055-0003","AQS","8","18","57","14"
"01/12/2018","59","PM2.5","Napa","06-055-0003","AQS","10","12","59","20"
"01/13/2018","58","PM2.5","Napa","06-055-0003","AQS","10","14","58","13"
"01/14/2018","72","PM2.5","Napa","06-055-0003","AQS","8","11","72","14"
"01/15/2018","73","PM2.5","Napa","06-055-0003","AQS","7","9","73","17"
"01/16/2018","63","PM2.5","Napa","06-055-0003","AQS","7","7","63","12"
"01/17/2018","62","PM2.5","Napa","06-055-0003","AQS","7","12","62","12"
"01/18/2018","61","PM2.5","Napa","06-055-0003","AQS","7","25","61","16"
"01/19/2018","54","PM2.5","Napa","06-055-0003","AQS","9","29","54","25"
"01/20/2018","62","PM2.5","Napa","06-055-0003","AQS","10","22","62","19"
"01/21/2018","55","PM2.5","Napa","06-055-0003","AQS","10","24","55","17"
"01/22/2018","43","PM2.5","Napa","06-055-0003","AQS","6","23","43","14"
"01/23/2018","53","PM2.5","Napa","06-055-0003","AQS","9","23","53","23"
"01/24/2018","46","PM2.5","Napa","06-055-0003","AQS","9","25","46","16"
"01/25/2018","48","PM2.5","Napa","06-055-0003","AQS","8","24","48","25"
"01/26/2018","45","PM2.5","Napa","06-055-0003","AQS","8","23","45","19"
"01/27/2018","47","PM2.5","Napa","06-055-0003","AQS","8","23","47","16"
"01/28/2018","53","PM2.5","Napa","06-055-0003","AQS","7","17","53","15"
"01/29/2018","59","PM2.5","Napa","06-055-0003","AQS","11","6","59","20"
"01/30/2018","55","PM2.5","Napa","06-055-0003","AQS","11","11","55","23"
"01/31/2018","56","PM2.5","Napa","06-055-0003","AQS","11","16","56","25"
"02/01/2018","50","PM2.5","Napa","06-055-0003","AQS","10",".","50","."
"02/02/2018","56","PM2.5","Napa","06-055-0003","AQS","11","16","56","24"
"02/03/2018","64","PM2.5","Napa","06-055-0003","AQS","11","23","64","29"
"02/04/2018","62","PM2.5","Napa","06-055-0003","AQS","13","22","62","22"
"02/05/2018","52","PM2.5","Napa","06-055-0003","AQS","10","19","52","26"
"02/06/2018","38","PM2.5","Napa","06-055-0003","AQS","10","36","38","30"
"02/07/2018","61","PM2.5","Napa","06-055-0003","AQS","11","37","61","31"
"02/08/2018","62","PM2.5","Napa","06-055-0003","AQS","10","27","62","37"
"02/09/2018","54","PM2.5","Napa","06-055-0003","AQS","10","25","54","29"
"02/10/2018","39","Ozone","Napa","06-055-0003","AQS","10","39","38","14"
"02/11/2018","35","PM2.5","Napa","06-055-0003","AQS","6","26","35","22"
"02/12/2018","31","PM2.5","Napa","06-055-0003","AQS","9","31","31","19"
"02/13/2018","41","PM2.5","Napa","06-055-0003","AQS","7","30","41","25"
"02/14/2018","55","PM2.5","Napa","06-055-0003","AQS","9","27","55","24"
"02/15/2018","52","PM2.5","Napa","06-055-0003","AQS","9","33","52","29"
"02/16/2018","53","PM2.5","Napa","06-055-0003","AQS","8","26","53","24"
"02/17/2018","54","PM2.5","Napa","06-055-0003","AQS","9","26","54","19"
"02/18/2018","37","PM2.5","Napa","06-055-0003","AQS","7","34","37","13"
"02/19/2018","58","PM2.5","Napa","06-055-0003","AQS","8","31","58","28"
"02/20/2018","47","PM2.5","Napa","06-055-0003","AQS","9","28","47","30"
"02/21/2018","48","PM2.5","Napa","06-055-0003","AQS","7","30","48","25"
"02/22/2018","54","PM2.5","Napa","06-055-0003","AQS","9","31","54","34"
"02/23/2018","58","PM2.5","Napa","06-055-0003","AQS","11","31","58","27"
"02/24/2018","53","PM2.5","Napa","06-055-0003","AQS","10","30","53","21"
"02/25/2018","38","PM2.5","Napa","06-055-0003","AQS","7","30","38","21"
"02/26/2018","33","PM2.5","Napa","06-055-0003","AQS","7","32","33","16"
"02/27/2018","35","PM2.5","Napa","06-055-0003","AQS","2","33","35","27"
"02/28/2018","38","PM2.5","Napa","06-055-0003","AQS","3","24","38","19"
"03/01/2018","32","Ozone","Napa","06-055-0003","AQS","2","32","28","8"
"03/02/2018","42","PM2.5","Napa","06-055-0003","AQS","5","29","42","25"
"03/03/2018","52","PM2.5","Napa","06-055-0003","AQS","5","30","52","21"
"03/04/2018","43","PM2.5","Napa","06-055-0003","AQS","7","30","43","16"
"03/05/2018","43","PM2.5","Napa","06-055-0003","AQS","5","30","43","25"
"03/06/2018","42","PM2.5","Napa","06-055-0003","AQS","5","32","42","25"
"03/07/2018","39","Ozone","Napa","06-055-0003","AQS","5","39","31","24"
"03/08/2018","32","Ozone","Napa","06-055-0003","AQS","2","32","31","14"
"03/09/2018","26","PM2.5","Napa","06-055-0003","AQS","5","21","26","11"
"03/10/2018","47","PM2.5","Napa","06-055-0003","AQS","5","19","47","22"
"03/11/2018","46","PM2.5","Napa","06-055-0003","AQS","7","28","46","17"
"03/12/2018","32","PM2.5","Napa","06-055-0003","AQS","3","26","32","16"
"03/13/2018","32","Ozone","Napa","06-055-0003","AQS","2","32","14","8"
"03/14/2018","33","Ozone","Napa","06-055-0003","AQS","3","33","23","18"
"03/15/2018","30","Ozone","Napa","06-055-0003","AQS","5","30","29","19"
"03/16/2018","31","Ozone","Napa","06-055-0003","AQS","3","31","26","21"
"03/17/2018","36","PM2.5","Napa","06-055-0003","AQS","5","30","36","17"
"03/18/2018","37","PM2.5","Napa","06-055-0003","AQS","6","28","37","15"
"03/19/2018","35","PM2.5","Napa","06-055-0003","AQS","6","31","35","21"
"03/20/2018","32","PM2.5","Napa","06-055-0003","AQS","6","27","32","24"
"03/21/2018","25","Ozone","Napa","06-055-0003","AQS","3","25","17","12"
"03/22/2018","34","Ozone","Napa","06-055-0003","AQS","3","34","14","7"
"03/23/2018","35","PM2.5","Napa","06-055-0003","AQS","7","35","35","21"
"03/24/2018","38","Ozone","Napa","06-055-0003","AQS","2","38","27","8"
"03/25/2018","32","Ozone","Napa","06-055-0003","AQS","3","32","30","12"
"03/26/2018","37","Ozone","Napa","06-055-0003","AQS","7","37","29","17"
"03/27/2018","34","Ozone","Napa","06-055-0003","AQS","3","34","30","16"
"03/28/2018","43","PM2.5","Napa","06-055-0003","AQS","7","30","43","19"
