"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","SO2","PM10","PM25","NO2"
"01/01/2018","66","PM2.5","Atascadero","06-079-8002","AQS","43","0","26","66","17"
"01/02/2018","70","PM2.5","Atascadero","06-079-8002","AQS","45","0","44","70","29"
"01/03/2018","75","PM2.5","Atascadero","06-079-8002","AQS","37","0","41","75","23"
"01/04/2018","24","Ozone","Carrizo Plains","06-079-8006","AQS","24","0","11","13","9"
"01/05/2018","29","Ozone","Red Hills","06-079-8005","AQS","29","0","6","9","13"
"01/06/2018","30","Ozone","Morro Bay","06-079-3001","AQS","30","0","13","15","8"
"01/07/2018","31","Ozone","Paso Robles","06-079-0005","AQS","31","0","14","17","12"
"01/08/2018","30","Ozone","San Luis Obispo","06-079-2006","AQS","30","0","9","4","9"
"01/09/2018","40","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","40","0","11","12","6"
"01/10/2018","53","PM10","Arroyo Grande CDF","06-079-2007","AQS","34","0","53","30","13"
"01/11/2018","34","Ozone","San Luis Obispo","06-079-2006","AQS","34","0","25","25","13"
"01/12/2018","52","PM2.5","Atascadero","06-079-8002","AQS","35","0","16","52","7"
"01/13/2018","54","PM2.5","Atascadero","06-079-8002","AQS","31","0","32","54","18"
"01/14/2018","38","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","38","0","22","29","22"
"01/15/2018","39","Ozone","Red Hills","06-079-8005","AQS","39","0","19","29","25"
"01/16/2018","37","PM2.5","Mesa2","06-079-2004","AQS","31","0","25","37","18"
"01/17/2018","41","Ozone","Red Hills","06-079-8005","AQS","41","0","13","38","23"
"01/18/2018","39","Ozone","Red Hills","06-079-8005","AQS","39","0","17","18","11"
"01/19/2018","37","Ozone","Paso Robles","06-079-0005","AQS","37","0","22","18","16"
"01/20/2018","40","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","35","0","37","40","14"
"01/21/2018","42","PM2.5","Atascadero","06-079-8002","AQS","34","0","23","42","20"
"01/22/2018","36","PM2.5","Arroyo Grande CDF","06-079-2007","AQS","36","0","25","36","14"
"01/23/2018","43","PM2.5","Atascadero","06-079-8002","AQS","36","0","15","43","14"
"01/24/2018","48","PM2.5","Atascadero","06-079-8002","AQS","37","0","19","48","16"
"01/25/2018","38","Ozone","Paso Robles","06-079-0005","AQS","38","0","15","30","15"
"01/26/2018","39","Ozone","Nipomo Regional Park (NRP)","06-079-4002","AQS","39","0","10","34","16"
"01/27/2018","41","Ozone","San Luis Obispo","06-079-2006","AQS","41","0","14","39","12"
"01/28/2018","43","PM2.5","Atascadero","06-079-8002","AQS","37","0","28","43","11"
