"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2018","152","PM2.5","Anaheim","06-059-0007","AQS","15","41","54","152","34"
"01/02/2018","157","PM2.5","Anaheim","06-059-0007","AQS","19","24","70","157","58"
"01/03/2018","134","PM2.5","Anaheim","06-059-0007","AQS","22","20","60","134","65"
"01/04/2018","98","PM2.5","Anaheim","06-059-0007","AQS","17","39","47","98","46"
"01/05/2018","69","PM2.5","Anaheim","06-059-0007","AQS","15","21","28","69","42"
"01/06/2018","66","PM2.5","Anaheim","06-059-0007","AQS","14","16","23","66","32"
"01/07/2018","70","PM2.5","Anaheim","06-059-0007","AQS","13","25","21","70","29"
"01/08/2018","73","PM2.5","Anaheim","06-059-0007","AQS","15","19","29","73","32"
"01/09/2018","37","Ozone","Mission Viejo","06-059-2022","AQS","9","37","4","18","35"
"01/10/2018","57","PM2.5","Anaheim","06-059-0007","AQS","11","32","20","57","29"
"01/11/2018","69","PM2.5","Anaheim","06-059-0007","AQS","19","29","34","69","42"
"01/12/2018","101","PM2.5","Anaheim","06-059-0007","AQS","22","27","49","101","45"
"01/13/2018","43","Ozone","Mission Viejo","06-059-2022","AQS","25","43","20","41","34"
"01/14/2018","43","NO2","Anaheim","06-059-0007","AQS","15","41","19","31","43"
"01/15/2018","54","PM2.5","Anaheim","06-059-0007","AQS","15","37","26","54","39"
"01/16/2018","88","PM2.5","Anaheim","06-059-0007","AQS","18","34","44","88","46"
"01/17/2018","98","PM2.5","Anaheim","06-059-0007","AQS","19","31","54","98","52"
"01/18/2018","72","PM2.5","Anaheim","06-059-0007","AQS","19","33","42","72","50"
"01/19/2018","52","PM2.5","Anaheim","06-059-0007","AQS","11","36","25","52","30"
"01/20/2018","36","Ozone","Mission Viejo","06-059-2022","AQS","9","36","23","24","35"
"01/21/2018","44","PM2.5","Anaheim","06-059-0007","AQS","13","38","31","44","38"
"01/22/2018","44","NO2","Anaheim","06-059-0007","AQS","14","30","36","39","44"
"01/23/2018","46","NO2","Anaheim","06-059-0007","AQS","15","34","28","33","46"
"01/24/2018","43","NO2","Anaheim","06-059-0007","AQS","15","34","21","25","43"
"01/25/2018","38","PM2.5","Anaheim","06-059-0007","AQS","16","33","27","38","35"
"01/26/2018","44","NO2","Anaheim","06-059-0007","AQS","16","35","28","41","44"
"01/27/2018","48","NO2","Anaheim","06-059-0007","AQS","16","38","30","38","48"
"01/28/2018","42","NO2","La Habra","06-059-5001","AQS","15","40","36","20","42"
"01/29/2018","35","Ozone","Mission Viejo","06-059-2022","AQS","7","35","21","13","30"
"01/30/2018","46","NO2","Anaheim","06-059-0007","AQS","18","30","27","31","46"
"01/31/2018","46","NO2","Anaheim","06-059-0007","AQS","18","38","32","39","46"
"02/01/2018","73","PM2.5","Anaheim","06-059-0007","AQS","17","48","46","73","54"
"02/02/2018","84","PM2.5","Anaheim","06-059-0007","AQS","19","58",".","84","64"
"02/03/2018","97","Ozone","Mission Viejo","06-059-2022","AQS","19","97",".","85","53"
"02/04/2018","87","Ozone","Mission Viejo","06-059-2022","AQS","19","87",".","74","46"
"02/05/2018","66","PM2.5","Anaheim","06-059-0007","AQS","20","51",".","66","38"
"02/06/2018","73","PM2.5","Anaheim","06-059-0007","AQS","13","41",".","73","33"
"02/07/2018","63","PM2.5","Anaheim","06-059-0007","AQS","18","42","31","63","52"
"02/08/2018","48","PM2.5","Anaheim","06-059-0007","AQS","19","39",".","48","47"
"02/09/2018","60","PM2.5","Anaheim","06-059-0007","AQS","18","42","31","60","44"
"02/10/2018","53","PM2.5","Anaheim","06-059-0007","AQS","13","44","23","53","29"
"02/11/2018","53","PM2.5","Anaheim","06-059-0007","AQS","13","44","32","53","28"
"02/12/2018","40","Ozone","Mission Viejo","06-059-2022","AQS","10","40","16","26","25"
"02/13/2018","43","Ozone","Mission Viejo","06-059-2022","AQS","13","43","13","21","36"
"02/14/2018","39","Ozone","Mission Viejo","06-059-2022","AQS","13","39","15","24","35"
"02/15/2018","49","NO2","Anaheim","06-059-0007","AQS","14","43","23","36","49"
"02/16/2018","48","Ozone","Mission Viejo","06-059-2022","AQS","11","48","16","20","43"
"02/17/2018","50","Ozone","Mission Viejo","06-059-2022","AQS","14","50","24","39","38"
"02/18/2018","45","Ozone","Mission Viejo","06-059-2022","AQS","14","45","17","35","32"
"02/19/2018","42","Ozone","Mission Viejo","06-059-2022","AQS","10","42","27","17","25"
"02/20/2018","42","Ozone","Mission Viejo","06-059-2022","AQS","11","42","19","21","42"
"02/21/2018","42","Ozone","Mission Viejo","06-059-2022","AQS","13","42","19","23","42"
"02/22/2018","44","Ozone","Mission Viejo","06-059-2022","AQS","11","44","18","24","34"
"02/23/2018","44","Ozone","Mission Viejo","06-059-2022","AQS","14","44","23","31","40"
"02/24/2018","45","Ozone","Mission Viejo","06-059-2022","AQS","16","45",".","40","38"
"02/25/2018","49","Ozone","Mission Viejo","06-059-2022","AQS","13","49","23","36","43"
"02/26/2018","48","Ozone","Mission Viejo","06-059-2022","AQS","14","48","22","31","40"
"02/27/2018","42","Ozone","Mission Viejo","06-059-2022","AQS","11","42","12","24","36"
"02/28/2018","45","Ozone","Mission Viejo","06-059-2022","AQS","11","45",".","30","34"
"03/01/2018","44","Ozone","Mission Viejo","06-059-2022","AQS","13","44",".","24","31"
"03/02/2018","32","Ozone","Mission Viejo","06-059-2022","AQS","11","32",".","20","29"
"03/03/2018","42","Ozone","Mission Viejo","06-059-2022","AQS","11","42","8","24","25"
"03/04/2018","43","Ozone","Mission Viejo","06-059-2022","AQS","14","43",".","30","34"
"03/05/2018","48","NO2","Anaheim","06-059-0007","AQS","11","47",".","14","48"
"03/06/2018","51","NO2","Anaheim Near-Road","06-059-0008","AQS","15","43",".","17","51"
"03/07/2018","58","PM2.5","Anaheim","06-059-0007","AQS","18","29",".","58","58"
"03/08/2018","55","PM2.5","Anaheim","06-059-0007","AQS","18","40",".","55","51"
"03/09/2018","38","Ozone","Mission Viejo","06-059-2022","AQS","9","38","19","27","36"
"03/10/2018","25","Ozone","Anaheim","06-059-0007","AQS","8","25",".","16","16"
"03/11/2018","32","Ozone","Mission Viejo","06-059-2022","AQS","8","32",".","16","22"
"03/12/2018","51","PM2.5","Anaheim","06-059-0007","AQS","8","32",".","51","25"
"03/13/2018","48","PM2.5","Anaheim","06-059-0007","AQS","8","23",".","48","26"
"03/14/2018","41","Ozone","Mission Viejo","06-059-2022","AQS","7","41",".","13","25"
"03/15/2018","42","Ozone","Mission Viejo","06-059-2022","AQS","7","42","10","13","28"
"03/16/2018","42","Ozone","Mission Viejo","06-059-2022","AQS","8","42",".","15","28"
"03/17/2018","43","Ozone","Mission Viejo","06-059-2022","AQS","7","43",".","14","22"
"03/18/2018","43","Ozone","Mission Viejo","06-059-2022","AQS","9","43",".","21","25"
"03/19/2018","46","Ozone","Mission Viejo","06-059-2022","AQS","9","46",".","32","35"
"03/20/2018","51","PM2.5","Anaheim","06-059-0007","AQS","11","44",".","51","39"
"03/21/2018","40","Ozone","Mission Viejo","06-059-2022","AQS","10","40","21","38","33"
"03/22/2018","43","PM2.5","Anaheim","06-059-0007","AQS","13","33",".","43","27"
"03/23/2018","41","Ozone","Mission Viejo","06-059-2022","AQS","9","41",".","19","25"
