"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM25"
"01/01/2018","74","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","74"
"01/02/2018","72","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","72"
"01/03/2018","83","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","83"
"01/04/2018","37","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","37"
"01/05/2018","63","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","63"
"01/06/2018","56","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","56"
"01/07/2018","68","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","68"
"01/08/2018","59","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","59"
"01/09/2018","40","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","40"
"01/10/2018","56","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","56"
"01/11/2018","77","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","77"
"01/12/2018","61","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","61"
"01/13/2018","55","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","55"
"01/14/2018","70","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","70"
"01/15/2018","98","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","98"
"01/16/2018","73","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","73"
"01/17/2018","60","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","60"
"01/18/2018","50","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","50"
"01/19/2018","42","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","42"
"01/20/2018","59","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","59"
"01/21/2018","90","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","90"
"01/22/2018","83","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","83"
"01/23/2018","58","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","58"
"01/24/2018","68","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","68"
"01/25/2018","69","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","69"
"01/26/2018","1","PM2.5","Trinity","06-105-9000","AQS","1"
"01/29/2018","3","PM2.5","Trinity","06-105-9000","AQS","3"
"01/30/2018","63","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","63"
"01/31/2018","73","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","73"
"02/01/2018","61","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","61"
"02/02/2018","58","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","58"
"02/03/2018","62","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","62"
"02/04/2018","64","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","64"
"02/05/2018","55","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","55"
"02/06/2018","55","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","55"
"02/07/2018","51","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","51"
"02/08/2018","49","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","49"
"02/09/2018","56","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","56"
"02/10/2018","56","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","56"
"02/11/2018","33","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","33"
"02/12/2018","48","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","48"
"02/13/2018","59","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","59"
"02/14/2018","56","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","56"
"02/15/2018","59","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","59"
"02/16/2018","61","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","61"
"02/17/2018","43","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","43"
"02/18/2018","12","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","12"
"02/19/2018","35","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","35"
"02/20/2018","67","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","67"
"02/21/2018","68","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","68"
"02/22/2018","15","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","15"
"02/23/2018","49","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","49"
"02/24/2018","47","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","47"
"02/25/2018","58","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","58"
"02/27/2018","59","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","59"
"02/28/2018","77","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","77"
"03/01/2018","71","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","71"
"03/02/2018","38","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","38"
"03/03/2018","57","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","57"
"03/04/2018","54","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","54"
"03/05/2018","55","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","55"
"03/06/2018","58","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","58"
"03/07/2018","53","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","53"
"03/08/2018","52","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","52"
"03/09/2018","36","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","36"
"03/10/2018","38","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","38"
"03/11/2018","34","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","34"
"03/12/2018","45","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","45"
"03/13/2018","23","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","23"
"03/14/2018","19","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","19"
"03/15/2018","61","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","61"
"03/16/2018","32","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","32"
"03/17/2018","33","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","33"
"03/18/2018","47","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","47"
"03/19/2018","36","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","36"
"03/20/2018","46","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","46"
"03/21/2018","44","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","44"
"03/22/2018","37","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","37"
"03/23/2018","45","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","45"
"03/24/2018","30","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","30"
"03/25/2018","29","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","29"
"03/26/2018","49","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","49"
"03/27/2018","45","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","45"
"03/28/2018","34","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","34"
"03/29/2018","31","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","31"
"03/30/2018","51","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","51"
"03/31/2018","43","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","43"
"04/01/2018","21","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","21"
