"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM25","NO2"
"10/13/2018","54","PM2.5","Oakland West","06-001-0011","AQS","13","40","0","54","24"
"10/14/2018","59","PM2.5","Oakland West","06-001-0011","AQS","8","38","0","59","24"
"10/15/2018","40","Ozone","Livermore","06-001-0007","AQS","8","40","1","30","35"
"10/16/2018","43","NO2","Laney College","06-001-0012","AQS","14","37","1","38","43"
"10/17/2018","68","PM2.5","Oakland West","06-001-0011","AQS","8","37","1","68","33"
"10/18/2018","67","PM2.5","Oakland West","06-001-0011","AQS","8","47","1","67","35"
"10/19/2018","77","Ozone","Livermore","06-001-0007","AQS","11","77","4","64","45"
"10/20/2018","70","PM2.5","Oakland West","06-001-0011","AQS","10","67","0","70","29"
"10/21/2018","64","PM2.5","Oakland West","06-001-0011","AQS","8","44","0","64","25"
"10/22/2018","55","PM2.5","Oakland West","06-001-0011","AQS","7","35","0","55","26"
"10/23/2018","45","PM2.5","Oakland West","06-001-0011","AQS","8","34","0","45","28"
"10/24/2018","44","PM2.5","Oakland West","06-001-0011","AQS","9","31","1","44","27"
"10/25/2018","55","PM2.5","Oakland West","06-001-0011","AQS","8","39","1","55","28"
"10/26/2018","51","PM2.5","Oakland West","06-001-0011","AQS","9","45","3","51","38"
"10/27/2018","40","PM2.5","Oakland West","06-001-0011","AQS","11","25","1","40","26"
"10/28/2018","35","PM2.5","Oakland West","06-001-0011","AQS","7","30","0","35","25"
"10/29/2018","34","PM2.5","Oakland West","06-001-0011","AQS","9","31","0","34","28"
"10/30/2018","42","PM2.5","Oakland West","06-001-0011","AQS","11","31","0","42","30"
"10/31/2018","58","PM2.5","Oakland West","06-001-0011","AQS","16","31",".","58","36"
"11/01/2018","58","PM2.5","Oakland West","06-001-0011","AQS","18","33","6","58","43"
"11/02/2018","48","PM2.5","Oakland","06-001-0009","AQS","10","39","3","48","36"
"11/03/2018","45","PM2.5","Oakland","06-001-0009","AQS","11","42","3","45","36"
"11/04/2018","52","PM2.5","Laney College","06-001-0012","AQS","11","35","0","52","25"
"11/05/2018","38","PM2.5","Laney College","06-001-0012","AQS","10","34","1","38","34"
"11/06/2018","56","NO2","Pleasanton - Owens Ct","06-001-0015","AQS","14","39","4","54","56"
"11/07/2018","53","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","14","39","6","53","41"
"11/08/2018","92","PM2.5","Oakland","06-001-0009","AQS","14","44","1","92","45"
"11/09/2018","168","PM2.5","Oakland","06-001-0009","AQS","22","61","4","168","45"
"11/10/2018","180","PM2.5","Oakland West","06-001-0011","AQS","27","48","3","180","49"
"11/11/2018","167","PM2.5","Oakland West","06-001-0011","AQS","35","58","1","167","46"
"11/12/2018","167","PM2.5","Oakland West","06-001-0011","AQS","25","87","3","167","58"
"11/13/2018","162","PM2.5","Oakland West","06-001-0011","AQS","27","64","3","162","70"
"11/14/2018","186","PM2.5","Livermore","06-001-0007","AQS","23","45","7","186","57"
"11/15/2018","203","PM2.5","Oakland","06-001-0009","AQS","30","49","16","203","69"
"11/16/2018","223","PM2.5","Livermore","06-001-0007","AQS","34","51","13","223","70"
"11/17/2018","191","PM2.5","Livermore","06-001-0007","AQS","32","51","3","191","47"
"11/18/2018","176","PM2.5","Livermore","06-001-0007","AQS","19","77","1","176","47"
"11/19/2018","170","PM2.5","Oakland","06-001-0009","AQS","28","61","11","170","73"
"11/20/2018","156","PM2.5","Pleasanton - Owens Ct","06-001-0015","AQS","33","43","4","156","61"
"11/21/2018","83","PM2.5","Pleasanton - Owens Ct","06-001-0015","AQS","17","31","0","83","46"
"11/22/2018","32","Ozone","Hayward","06-001-2001","AQS","7","32","0","23","20"
"11/23/2018","29","Ozone","Berkeley Aquatic Park","06-001-0013","AQS","6","29","0","23","20"
"11/24/2018","30","Ozone","Livermore","06-001-0007","AQS","13","30","0","28","23"
"11/25/2018","43","PM2.5","Laney College","06-001-0012","AQS","16","27","1","43","25"
"11/26/2018","52","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","15","24","3","52","32"
"11/27/2018","46","PM2.5","Laney College","06-001-0012","AQS","13","23","0","46","31"
"11/28/2018","35","NO2","Berkeley Aquatic Park","06-001-0013","AQS","7","31","1","34","35"
"11/29/2018","42","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","6","32","1","42","20"
"11/30/2018","32","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","7","29","0","32","29"
"12/01/2018","34","Ozone","Oakland West","06-001-0011","AQS","8","34","0","30","26"
"12/02/2018","31","Ozone","Hayward","06-001-2001","AQS","7","31","1","30","23"
"12/03/2018","30","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","9","28","0","30","25"
"12/04/2018","51","PM2.5","Pleasanton - Owens Ct","06-001-0015","AQS","9","22","0","51","26"
"12/05/2018","33","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","8","30","0","33","25"
"12/06/2018","47","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","10","28","0","47","31"
"12/07/2018","54","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","15","28","1","54","34"
"12/08/2018","71","PM2.5","Oakland West","06-001-0011","AQS","16","34","1","71","34"
"12/09/2018","79","PM2.5","Oakland West","06-001-0011","AQS","24","23","1","79","26"
"12/10/2018","74","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","15","20","0","74","26"
"12/11/2018","55","PM2.5","Oakland West","06-001-0011","AQS","22","23",".","55","33"
"12/12/2018","55","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","15","32","1","55","41"
"12/13/2018","62","PM2.5","Livermore","06-001-0007","AQS","15","32","1","62","32"
"12/14/2018","63","PM2.5","Oakland West","06-001-0011","AQS","19","33","1","63","38"
"12/15/2018","50","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","10","33","0","50","30"
"12/16/2018","34","Ozone","Hayward","06-001-2001","AQS","11","34","0","26","23"
"12/17/2018","38","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","11","34","0","38","33"
"12/18/2018","45","PM2.5","Oakland West","06-001-0011","AQS","15","30","3","45","44"
"12/19/2018","45","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","16","26","0","45","32"
"12/20/2018","67","PM2.5","Oakland West","06-001-0011","AQS","19","18","3","67","29"
"12/21/2018","52","PM2.5","Oakland West","06-001-0011","AQS","11","27","0","52","28"
"12/22/2018","35","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","9","28","1","35","26"
"12/23/2018","51","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","13","24","3","51","28"
"12/24/2018","48","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","10","34","0","48","21"
"12/25/2018","29","Ozone","Hayward","06-001-2001","AQS","8","29","0","28","19"
"12/26/2018","28","NO2","Oakland West","06-001-0011","AQS","9","24","1","27","28"
"12/27/2018","33","Ozone","Hayward","06-001-2001","AQS","11","33","1","19","25"
"12/28/2018","35","NO2","Oakland West","06-001-0011","AQS","13","34","1","23","35"
"12/29/2018","39","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","14","32","1","39","33"
"12/30/2018","45","PM2.5","Oakland West","06-001-0011","AQS","14","31","3","45","28"
"12/31/2018","32","Ozone","Hayward","06-001-2001","AQS","8","32","0","15","19"
