"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25","NO2"
"01/01/2018","162","PM2.5","Hanford-Irwin","06-031-1004","AQS","30","74","162","24"
"01/02/2018","171","PM2.5","Hanford-Irwin","06-031-1004","AQS","26","98","171","33"
"01/03/2018","175","PM2.5","Hanford-Irwin","06-031-1004","AQS","22","112","175","23"
"01/04/2018","112","PM2.5","Hanford-Irwin","06-031-1004","AQS","21","52","112","17"
"01/05/2018","99","PM2.5","Corcoran-Patterson","06-031-0004","AQS","24","51","99","26"
"01/06/2018","54","PM2.5","Corcoran-Patterson","06-031-0004","AQS","13","19","54","19"
"01/07/2018","63","PM2.5","Hanford-Irwin","06-031-1004","AQS","24","25","63","21"
"01/08/2018","77","PM2.5","Corcoran-Patterson","06-031-0004","AQS","12","27","77","17"
"01/09/2018","37","Ozone","Hanford-Irwin","06-031-1004","AQS","37","13","27","27"
"01/10/2018","38","PM2.5","Hanford-Irwin","06-031-1004","AQS","30","18","38","20"
"01/11/2018","62","PM2.5","Hanford-Irwin","06-031-1004","AQS","31","24","62","19"
"01/12/2018","69","PM2.5","Hanford-Irwin","06-031-1004","AQS","25","25","69","16"
"01/13/2018","78","PM2.5","Corcoran-Patterson","06-031-0004","AQS","19","31","78","7"
"01/14/2018","80","PM2.5","Corcoran-Patterson","06-031-0004","AQS","15","32","80","10"
"01/15/2018","76","PM2.5","Corcoran-Patterson","06-031-0004","AQS","6","30","76","15"
"01/16/2018","97","PM2.5","Hanford-Irwin","06-031-1004","AQS","6","30","97","16"
"01/17/2018","108","PM2.5","Corcoran-Patterson","06-031-0004","AQS","15","44","108","20"
"01/18/2018","90","PM2.5","Hanford-Irwin","06-031-1004","AQS","18","40","90","18"
"01/19/2018","36","PM2.5","Corcoran-Patterson","06-031-0004","AQS","31","17","36","27"
"01/20/2018","52","PM2.5","Hanford-Irwin","06-031-1004","AQS","30","19","52","19"
"01/21/2018","77","PM2.5","Hanford-Irwin","06-031-1004","AQS","30","31","77","26"
"01/22/2018","79","PM2.5","Hanford-Irwin","06-031-1004","AQS","31","38","79","32"
"01/23/2018","89","PM2.5","Corcoran-Patterson","06-031-0004","AQS","23","44","89","25"
"01/24/2018","79","PM2.5","Hanford-Irwin","06-031-1004","AQS","27","42","79","30"
"01/25/2018","39","Ozone","Hanford-Irwin","06-031-1004","AQS","39","14","31","12"
"01/26/2018","53","PM2.5","Hanford-Irwin","06-031-1004","AQS","33","23","53","24"
"01/27/2018","64","PM2.5","Hanford-Irwin","06-031-1004","AQS","31","26","64","28"
"01/28/2018","91","PM2.5","Hanford-Irwin","06-031-1004","AQS","31","42","91","25"
"01/29/2018","116","PM2.5","Hanford-Irwin","06-031-1004","AQS","26","58","116","30"
"01/30/2018","109","PM2.5","Hanford-Irwin","06-031-1004","AQS","29","54","109","26"
"01/31/2018","109","PM2.5","Hanford-Irwin","06-031-1004","AQS","28","57","109","35"
"02/01/2018","125","PM2.5","Hanford-Irwin","06-031-1004","AQS","32","57","125","38"
"02/02/2018","145","PM2.5","Hanford-Irwin","06-031-1004","AQS","38","69","145","36"
"02/03/2018","149","PM2.5","Hanford-Irwin","06-031-1004","AQS","43","64","149","32"
"02/04/2018","157","PM2.5","Corcoran-Patterson","06-031-0004","AQS","50","67","157","38"
"02/05/2018","114","PM2.5","Corcoran-Patterson","06-031-0004","AQS","41","60","114","39"
"02/06/2018","96","PM2.5","Corcoran-Patterson","06-031-0004","AQS","40","51","96","20"
"02/07/2018","79","PM2.5","Hanford-Irwin","06-031-1004","AQS","39","55","79","36"
"02/08/2018","87","PM2.5","Hanford-Irwin","06-031-1004","AQS","46","59","87","47"
"02/09/2018","97","PM2.5","Hanford-Irwin","06-031-1004","AQS","44","59","97","40"
"02/10/2018","83","PM2.5","Hanford-Irwin","06-031-1004","AQS","45","66","83","25"
"02/11/2018","53","PM10","Santa Rosa Rancheria","06-031-0500","AQS","35","53","35","16"
"02/12/2018","55","PM2.5","Hanford-Irwin","06-031-1004","AQS","30","32","55","."
"02/13/2018","55","PM2.5","Hanford-Irwin","06-031-1004","AQS","31","31","55","."
"02/14/2018","54","PM2.5","Hanford-Irwin","06-031-1004","AQS","34","35","54","17"
"02/15/2018","55","PM10","Santa Rosa Rancheria","06-031-0500","AQS","37","55","37","16"
"02/16/2018","55","PM2.5","Hanford-Irwin","06-031-1004","AQS","38","46","55","34"
"02/17/2018","72","PM2.5","Hanford-Irwin","06-031-1004","AQS","43","54","72","20"
"02/18/2018","68","PM2.5","Hanford-Irwin","06-031-1004","AQS","38","64","68","21"
"02/19/2018","38","Ozone","Santa Rosa Rancheria","06-031-0500","AQS","38","23","15","19"
"02/20/2018","36","PM2.5","Hanford-Irwin","06-031-1004","AQS","36","30","36","."
"02/21/2018","40","Ozone","Santa Rosa Rancheria","06-031-0500","AQS","40","30","37","32"
"02/22/2018","43","PM2.5","Hanford-Irwin","06-031-1004","AQS","39","37","43","23"
"02/23/2018","36","Ozone","Santa Rosa Rancheria","06-031-0500","AQS","36","25","19","14"
