"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2017","48","PM2.5","Madera-City","06-039-2010","AQS",".","31","7","48","8"
"01/02/2017","57","PM2.5","Madera-City","06-039-2010","AQS",".","21","14","57","17"
"01/03/2017","32","Ozone","Madera-City","06-039-2010","AQS",".","32","8","28","10"
"01/04/2017","32","Ozone","Madera-City","06-039-2010","AQS",".","32","3","13","8"
"01/05/2017","29","Ozone","Madera-Pump Yard","06-039-0004","AQS",".","29","5","27","4"
"01/06/2017","65","PM2.5","Madera-City","06-039-2010","AQS",".","25","16","65","19"
"01/07/2017","46","PM2.5","Madera-City","06-039-2010","AQS",".","21","8","46","9"
"01/08/2017","22","Ozone","Madera-Pump Yard","06-039-0004","AQS",".","22","4","3","4"
"01/09/2017","34","Ozone","Madera-City","06-039-2010","AQS",".","34","5","10","6"
"01/10/2017","30","Ozone","Madera-City","06-039-2010","AQS",".","30","6","16","14"
"01/11/2017","32","Ozone","Madera-City","06-039-2010","AQS",".","32","6","21","10"
"01/12/2017","31","Ozone","Madera-Pump Yard","06-039-0004","AQS",".","31","5","23","10"
"01/13/2017","49","PM2.5","Madera-City","06-039-2010","AQS",".","22","6","49","6"
"01/14/2017","55","PM2.5","Madera-City","06-039-2010","AQS",".","21","7","55","12"
"01/15/2017","49","PM2.5","Madera-City","06-039-2010","AQS",".","25","7","49","12"
"01/16/2017","65","PM2.5","Madera-City","06-039-2010","AQS",".","28","12","65","17"
"01/17/2017","79","PM2.5","Madera-City","06-039-2010","AQS",".","20","21","79","11"
"01/18/2017","65","PM2.5","Madera-City","06-039-2010","AQS",".","35","14","65","13"
"01/19/2017","34","Ozone","Madera-Pump Yard","06-039-0004","AQS",".","34","6","29","10"
"01/20/2017","37","Ozone","Madera-City","06-039-2010","AQS",".","37","3","18","8"
"01/21/2017","35","Ozone","Madera-Pump Yard","06-039-0004","AQS",".","35","8","27","8"
"01/22/2017","34","Ozone","Madera-City","06-039-2010","AQS",".","34","3","8","3"
"01/23/2017","38","Ozone","Madera-City","06-039-2010","AQS",".","38","3","16","11"
"01/24/2017","32","PM2.5","Madera-City","06-039-2010","AQS",".","32","8","32","15"
"01/25/2017","59","PM2.5","Madera-City","06-039-2010","AQS",".","31","11","59","25"
"01/26/2017","65","PM2.5","Madera-City","06-039-2010","AQS",".","26","17","65","12"
"01/27/2017","63","PM2.5","Madera-City","06-039-2010","AQS",".","31","16","63","14"
"01/28/2017","63","PM2.5","Madera-City","06-039-2010","AQS",".","31","15","63","12"
"01/29/2017","62","PM2.5","Madera-City","06-039-2010","AQS",".","31","16","62","12"
"01/30/2017","72","PM2.5","Madera-City","06-039-2010","AQS",".","35","19","72","23"
"01/31/2017","96","PM2.5","Madera-City","06-039-2010","AQS",".","36","26","96","22"
"02/01/2017","76","PM2.5","Madera-City","06-039-2010","AQS",".","30","21","76","24"
"02/02/2017","58","PM2.5","Madera-City","06-039-2010","AQS",".","31","12","58","13"
"02/03/2017","32","PM2.5","Madera-City","06-039-2010","AQS",".","31","3","32","5"
"02/04/2017","37","Ozone","Madera-Pump Yard","06-039-0004","AQS",".","37","9","32","13"
"02/05/2017","40","PM2.5","Madera-City","06-039-2010","AQS",".","29","10","40","8"
"02/06/2017","32","Ozone","Madera-City","06-039-2010","AQS",".","32","5","13","8"
"02/07/2017","31","Ozone","Madera-City","06-039-2010","AQS",".","31","6","13","6"
"02/08/2017","18","PM2.5","Madera-City","06-039-2010","AQS",".","15","8","18","12"
"02/09/2017","24","PM2.5","Madera-City","06-039-2010","AQS",".","15","10","24","10"
"02/10/2017","29","Ozone","Madera-Pump Yard","06-039-0004","AQS",".","29","6","18","8"
"02/11/2017","28","PM2.5","Madera-City","06-039-2010","AQS",".","28","8","28","3"
"02/12/2017","51","PM2.5","Madera-City","06-039-2010","AQS",".","31","10","51","10"
"02/13/2017","53","PM2.5","Madera-City","06-039-2010","AQS",".","31","13","53","6"
"02/14/2017","67","PM2.5","Madera-City","06-039-2010","AQS",".","35","16","67","19"
"02/15/2017","77","PM2.5","Madera-City","06-039-2010","AQS",".","35","23","77","."
"02/16/2017","44","PM2.5","Madera-City","06-039-2010","AQS",".","35","9","44","8"
"02/17/2017","32","Ozone","Madera-City","06-039-2010","AQS",".","32","3","18","6"
"02/18/2017","40","Ozone","Madera-City","06-039-2010","AQS",".","40","6","15","5"
"02/19/2017","38","Ozone","Madera-Pump Yard","06-039-0004","AQS",".","38","9","23","5"
"02/20/2017","35","Ozone","Madera-Pump Yard","06-039-0004","AQS",".","35","5","17","5"
"02/21/2017","39","Ozone","Madera-Pump Yard","06-039-0004","AQS",".","39","8","15","2"
"02/22/2017","39","Ozone","Madera-Pump Yard","06-039-0004","AQS",".","39","6","20","3"
"02/23/2017","37","Ozone","Madera-Pump Yard","06-039-0004","AQS",".","37","7","26","4"
"02/24/2017","40","Ozone","Madera-Pump Yard","06-039-0004","AQS",".","40","9","38","19"
"02/25/2017","45","PM2.5","Madera-City","06-039-2010","AQS",".","38","12","45","8"
"02/26/2017","61","PM2.5","Madera-City","06-039-2010","AQS",".","41","15","61","8"
"02/27/2017","41","Ozone","Madera-Pump Yard","06-039-0004","AQS",".","41","9","38","8"
"02/28/2017","39","PM2.5","Madera-City","06-039-2010","AQS",".","37","14","39","5"
"03/01/2017","59","PM2.5","Madera-City","06-039-2010","AQS",".","39","18","59","12"
"03/02/2017","53","PM2.5","Madera-City","06-039-2010","AQS","2","39","18","53","10"
"03/03/2017","58","PM2.5","Madera-City","06-039-2010","AQS","3","41","19","58","17"
"03/04/2017","51","PM2.5","Madera-City","06-039-2010","AQS","3","44","15","51","12"
"03/05/2017","40","Ozone","Madera-City","06-039-2010","AQS","2","40","6","19","8"
"03/06/2017","41","Ozone","Madera-Pump Yard","06-039-0004","AQS","2","41","7","22","11"
"03/07/2017","54","PM2.5","Madera-City","06-039-2010","AQS","3","41","13","54","11"
"03/08/2017","48","PM2.5","Madera-City","06-039-2010","AQS","2","39","15","48","11"
"03/09/2017","58","PM2.5","Madera-City","06-039-2010","AQS","2","43","19","58","11"
"03/10/2017","56","PM2.5","Madera-City","06-039-2010","AQS","3","37","22","56","17"
"03/11/2017","57","PM2.5","Madera-City","06-039-2010","AQS","2","40","19","57","12"
"03/12/2017","45","PM2.5","Madera-City","06-039-2010","AQS","2","39","16","45","13"
"03/13/2017","49","PM2.5","Madera-City","06-039-2010","AQS","2","46","26","49","12"
