"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2017","33","Ozone","Sonora-Barretta Street","06-109-0005","AQS","33","."
"01/02/2017","34","Ozone","Sonora-Barretta Street","06-109-0005","AQS","34","."
"01/03/2017","41","Ozone","Sonora-Barretta Street","06-109-0005","AQS","41","."
"01/04/2017","37","Ozone","Sonora-Barretta Street","06-109-0005","AQS","37","."
"01/05/2017","35","Ozone","Sonora-Barretta Street","06-109-0005","AQS","35","."
"01/06/2017","37","Ozone","Sonora-Barretta Street","06-109-0005","AQS","37","."
"01/07/2017","37","Ozone","Sonora-Barretta Street","06-109-0005","AQS","37","."
"01/08/2017","31","Ozone","Sonora-Barretta Street","06-109-0005","AQS","31","."
"01/09/2017","40","Ozone","Sonora-Barretta Street","06-109-0005","AQS","40","."
"01/10/2017","42","Ozone","Sonora-Barretta Street","06-109-0005","AQS","42","."
"01/11/2017","40","Ozone","Sonora-Barretta Street","06-109-0005","AQS","40","."
"01/12/2017","38","Ozone","Sonora-Barretta Street","06-109-0005","AQS","38","."
"01/13/2017","26","Ozone","Sonora-Barretta Street","06-109-0005","AQS","26","."
"01/14/2017","21","Ozone","Sonora-Barretta Street","06-109-0005","AQS","21","."
"01/15/2017","14","Ozone","Sonora-Barretta Street","06-109-0005","AQS","14","."
"01/16/2017","16","Ozone","Sonora-Barretta Street","06-109-0005","AQS","16","."
"01/17/2017","24","Ozone","Sonora-Barretta Street","06-109-0005","AQS","24","."
"01/18/2017","44","Ozone","Sonora-Barretta Street","06-109-0005","AQS","44","."
"01/19/2017","41","Ozone","Sonora-Barretta Street","06-109-0005","AQS","41","."
"01/20/2017","42","Ozone","Sonora-Barretta Street","06-109-0005","AQS","42","."
"01/21/2017","43","Ozone","Sonora-Barretta Street","06-109-0005","AQS","43","."
"01/22/2017","43","Ozone","Sonora-Barretta Street","06-109-0005","AQS","43","."
"01/23/2017","40","Ozone","Sonora-Barretta Street","06-109-0005","AQS","40","."
"01/24/2017","36","Ozone","Sonora-Barretta Street","06-109-0005","AQS","36","."
"01/25/2017","34","Ozone","Sonora-Barretta Street","06-109-0005","AQS","34","."
"01/26/2017","31","Ozone","Sonora-Barretta Street","06-109-0005","AQS","31","."
"01/27/2017","37","Ozone","Sonora-Barretta Street","06-109-0005","AQS","37","."
"01/28/2017","33","Ozone","Sonora-Barretta Street","06-109-0005","AQS","33","."
