"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM25"
"01/01/2017","107","PM2.5","Portola","06-063-1010","AQS","107"
"01/02/2017","4","PM2.5","Quincy-N Church Street","06-063-1006","AQS","4"
"01/03/2017","52","PM2.5","Quincy-N Church Street","06-063-1006","AQS","52"
"01/04/2017","86","PM2.5","Portola","06-063-1010","AQS","86"
"01/05/2017","33","PM2.5","Quincy-N Church Street","06-063-1006","AQS","33"
"01/06/2017","56","PM2.5","Quincy-N Church Street","06-063-1006","AQS","56"
"01/07/2017","79","PM2.5","Portola","06-063-1010","AQS","79"
"01/08/2017","26","PM2.5","Quincy-N Church Street","06-063-1006","AQS","26"
"01/09/2017","10","PM2.5","Quincy-N Church Street","06-063-1006","AQS","10"
"01/10/2017","18","PM2.5","Quincy-N Church Street","06-063-1006","AQS","18"
"01/11/2017","39","PM2.5","Quincy-N Church Street","06-063-1006","AQS","39"
"01/12/2017","45","PM2.5","Quincy-N Church Street","06-063-1006","AQS","45"
"01/13/2017","62","PM2.5","Quincy-N Church Street","06-063-1006","AQS","62"
"01/14/2017","71","PM2.5","Quincy-N Church Street","06-063-1006","AQS","71"
"01/15/2017","61","PM2.5","Quincy-N Church Street","06-063-1006","AQS","61"
"01/16/2017","78","PM2.5","Quincy-N Church Street","06-063-1006","AQS","78"
"01/17/2017","84","PM2.5","Quincy-N Church Street","06-063-1006","AQS","84"
"01/18/2017","44","PM2.5","Quincy-N Church Street","06-063-1006","AQS","44"
"01/19/2017","57","PM2.5","Portola","06-063-1010","AQS","57"
"01/20/2017","46","PM2.5","Portola","06-063-1010","AQS","46"
"01/21/2017","56","PM2.5","Quincy-N Church Street","06-063-1006","AQS","56"
"01/22/2017","35","PM2.5","Quincy-N Church Street","06-063-1006","AQS","35"
"01/23/2017","59","PM2.5","Quincy-N Church Street","06-063-1006","AQS","59"
"01/24/2017","38","PM2.5","Quincy-N Church Street","06-063-1006","AQS","38"
"01/25/2017","79","PM2.5","Portola","06-063-1010","AQS","79"
"01/26/2017","53","PM2.5","Quincy-N Church Street","06-063-1006","AQS","53"
"01/27/2017","90","PM2.5","Portola","06-063-1010","AQS","90"
"01/28/2017","72","PM2.5","Quincy-N Church Street","06-063-1006","AQS","72"
"01/29/2017","89","PM2.5","Quincy-N Church Street","06-063-1006","AQS","89"
"01/30/2017","63","PM2.5","Quincy-N Church Street","06-063-1006","AQS","63"
"01/31/2017","149","PM2.5","Portola","06-063-1010","AQS","149"
"02/01/2017","62","PM2.5","Quincy-N Church Street","06-063-1006","AQS","62"
"02/02/2017","67","PM2.5","Quincy-N Church Street","06-063-1006","AQS","67"
"02/03/2017","61","PM2.5","Portola","06-063-1010","AQS","61"
"02/04/2017","21","PM2.5","Quincy-N Church Street","06-063-1006","AQS","21"
"02/05/2017","25","PM2.5","Quincy-N Church Street","06-063-1006","AQS","25"
"02/06/2017","30","PM2.5","Portola","06-063-1010","AQS","30"
"02/07/2017","16","PM2.5","Quincy-N Church Street","06-063-1006","AQS","16"
"02/08/2017","40","PM2.5","Quincy-N Church Street","06-063-1006","AQS","40"
"02/09/2017","64","PM2.5","Portola","06-063-1010","AQS","64"
"02/10/2017","26","PM2.5","Quincy-N Church Street","06-063-1006","AQS","26"
"02/11/2017","33","PM2.5","Quincy-N Church Street","06-063-1006","AQS","33"
"02/12/2017","76","PM2.5","Portola","06-063-1010","AQS","76"
"02/13/2017","62","PM2.5","Quincy-N Church Street","06-063-1006","AQS","62"
"02/14/2017","56","PM2.5","Quincy-N Church Street","06-063-1006","AQS","56"
"02/15/2017","89","PM2.5","Portola","06-063-1010","AQS","89"
"02/16/2017","23","PM2.5","Quincy-N Church Street","06-063-1006","AQS","23"
"02/17/2017","41","PM2.5","Quincy-N Church Street","06-063-1006","AQS","41"
"02/18/2017","56","PM2.5","Quincy-N Church Street","06-063-1006","AQS","56"
"02/19/2017","13","PM2.5","Quincy-N Church Street","06-063-1006","AQS","13"
"02/20/2017","9","PM2.5","Quincy-N Church Street","06-063-1006","AQS","9"
"02/21/2017","26","PM2.5","Portola","06-063-1010","AQS","26"
"02/22/2017","32","PM2.5","Quincy-N Church Street","06-063-1006","AQS","32"
"02/23/2017","13","PM2.5","Quincy-N Church Street","06-063-1006","AQS","13"
"02/24/2017","79","PM2.5","Portola","06-063-1010","AQS","79"
"02/25/2017","55","PM2.5","Quincy-N Church Street","06-063-1006","AQS","55"
"02/26/2017","33","PM2.5","Quincy-N Church Street","06-063-1006","AQS","33"
"02/27/2017","61","PM2.5","Portola","06-063-1010","AQS","61"
"02/28/2017","93","PM2.5","Portola","06-063-1010","AQS","93"
"03/01/2017","56","PM2.5","Quincy-N Church Street","06-063-1006","AQS","56"
"03/02/2017","107","PM2.5","Portola","06-063-1010","AQS","107"
"03/03/2017","52","PM2.5","Quincy-N Church Street","06-063-1006","AQS","52"
"03/04/2017","28","PM2.5","Quincy-N Church Street","06-063-1006","AQS","28"
"03/05/2017","13","PM2.5","Portola","06-063-1010","AQS","13"
"03/06/2017","20","PM2.5","Quincy-N Church Street","06-063-1006","AQS","20"
"03/07/2017","51","PM2.5","Quincy-N Church Street","06-063-1006","AQS","51"
"03/08/2017","95","PM2.5","Portola","06-063-1010","AQS","95"
"03/09/2017","33","PM2.5","Quincy-N Church Street","06-063-1006","AQS","33"
"03/10/2017","105","PM2.5","Portola","06-063-1010","AQS","105"
"03/11/2017","75","PM2.5","Portola","06-063-1010","AQS","75"
"03/12/2017","30","PM2.5","Quincy-N Church Street","06-063-1006","AQS","30"
"03/13/2017","34","PM2.5","Quincy-N Church Street","06-063-1006","AQS","34"
"03/14/2017","61","PM2.5","Portola","06-063-1010","AQS","61"
"03/15/2017","38","PM2.5","Quincy-N Church Street","06-063-1006","AQS","38"
"03/17/2017","60","PM2.5","Portola","06-063-1010","AQS","60"
"03/18/2017","43","PM2.5","Quincy-N Church Street","06-063-1006","AQS","43"
"03/19/2017","45","PM2.5","Quincy-N Church Street","06-063-1006","AQS","45"
"03/20/2017","54","PM2.5","Portola","06-063-1010","AQS","54"
"03/21/2017","19","PM2.5","Quincy-N Church Street","06-063-1006","AQS","19"
"03/22/2017","15","PM2.5","Quincy-N Church Street","06-063-1006","AQS","15"
"03/23/2017","30","PM2.5","Portola","06-063-1010","AQS","30"
"03/24/2017","16","PM2.5","Quincy-N Church Street","06-063-1006","AQS","16"
"03/25/2017","23","PM2.5","Quincy-N Church Street","06-063-1006","AQS","23"
"03/26/2017","57","PM2.5","Portola","06-063-1010","AQS","57"
"03/27/2017","17","PM2.5","Quincy-N Church Street","06-063-1006","AQS","17"
"03/28/2017","21","PM2.5","Quincy-N Church Street","06-063-1006","AQS","21"
"03/29/2017","43","PM2.5","Portola","06-063-1010","AQS","43"
"03/30/2017","30","PM2.5","Quincy-N Church Street","06-063-1006","AQS","30"
"03/31/2017","20","PM2.5","Quincy-N Church Street","06-063-1006","AQS","20"
"04/01/2017","53","PM2.5","Portola","06-063-1010","AQS","53"
"04/02/2017","18","PM2.5","Quincy-N Church Street","06-063-1006","AQS","18"
"04/03/2017","24","PM2.5","Quincy-N Church Street","06-063-1006","AQS","24"
"04/04/2017","56","PM2.5","Portola","06-063-1010","AQS","56"
"04/05/2017","25","PM2.5","Quincy-N Church Street","06-063-1006","AQS","25"
"04/06/2017","15","PM2.5","Quincy-N Church Street","06-063-1006","AQS","15"
