"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2017","47","PM2.5","Ukiah-Library","06-045-0006","AQS","36","10","47"
"01/02/2017","37","PM2.5","Ukiah-Library","06-045-0006","AQS","28","0","37"
"01/03/2017","32","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","32","0","31"
"01/04/2017","31","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","31","6","20"
"01/05/2017","51","PM2.5","Ukiah-Library","06-045-0006","AQS","20","0","51"
"01/06/2017","56","PM2.5","Ukiah-Library","06-045-0006","AQS","32","2","56"
"01/07/2017","33","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","33","0","28"
"01/08/2017","34","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","34","3","0"
"01/09/2017","36","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","36","5","21"
"01/10/2017","39","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","39","8","10"
"01/11/2017","33","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","33","7","18"
"01/12/2017","35","PM2.5","Willits-125 East Commercial Street","06-045-2002","AQS","25","3","35"
"01/13/2017","42","PM2.5","Ukiah-Library","06-045-0006","AQS","15","4","42"
"01/14/2017","53","PM2.5","Ukiah-Library","06-045-0006","AQS","14","6","53"
"01/15/2017","53","PM2.5","Ukiah-Library","06-045-0006","AQS","11","3","53"
"01/16/2017","43","PM2.5","Ukiah-Library","06-045-0006","AQS","15","6","43"
"01/17/2017","59","PM2.5","Ukiah-Library","06-045-0006","AQS","12","9","59"
"01/18/2017","50","PM2.5","Ukiah-Library","06-045-0006","AQS","37","4","50"
"01/19/2017","38","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","38","11","16"
"01/20/2017","35","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","35","13","18"
"01/21/2017","40","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","40","21","23"
"01/22/2017","35","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","35","5","19"
"01/23/2017","33","PM2.5","Ukiah-Library","06-045-0006","AQS","31","0","33"
"01/24/2017","37","PM2.5","Ukiah-Library","06-045-0006","AQS","29","4","37"
"01/25/2017","57","PM2.5","Ukiah-Library","06-045-0006","AQS","19","5","57"
"01/26/2017","40","PM2.5","Willits-125 East Commercial Street","06-045-2002","AQS","22","9","40"
"01/27/2017","40","PM2.5","Willits-125 East Commercial Street","06-045-2002","AQS","22","12","40"
"01/28/2017","55","PM2.5","Ukiah-Library","06-045-0006","AQS","19","10","55"
"01/29/2017","55","PM2.5","Ukiah-Library","06-045-0006","AQS","18","11","55"
"01/30/2017","45","PM2.5","Ukiah-Library","06-045-0006","AQS","19","11","45"
"01/31/2017","50","PM2.5","Ukiah-Library","06-045-0006","AQS","14","6","50"
"02/01/2017","58","PM2.5","Ukiah-Library","06-045-0006","AQS","32","7","58"
"02/02/2017","33","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","33","2","14"
"02/03/2017","33","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","33","6","14"
"02/04/2017","33","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","33","3","15"
"02/05/2017","43","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","43","2","14"
"02/06/2017","40","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","40","5","13"
"02/07/2017","33","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","33","6","18"
"02/08/2017","18","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","18","0","13"
"02/09/2017","33","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","33","5","9"
"02/10/2017","32","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","32","6","21"
"02/11/2017","28","PM2.5","Ukiah-Library","06-045-0006","AQS","25","7","28"
"02/12/2017","31","PM2.5","Ukiah-Library","06-045-0006","AQS","27","6","31"
"02/13/2017","42","PM2.5","Ukiah-Library","06-045-0006","AQS","19","7","42"
"02/14/2017","29","PM2.5","Ukiah-Library","06-045-0006","AQS","22","9","29"
"02/15/2017","37","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","37","8","32"
"02/16/2017","44","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","44","16","27"
"02/17/2017","31","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","31","5","23"
"02/18/2017","39","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","39","13","13"
"02/19/2017","35","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","35","0","11"
"02/20/2017","45","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","45","7","16"
"02/21/2017","37","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","37","10","17"
"02/22/2017","38","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","38","6","28"
"02/23/2017","35","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","35","3","30"
"02/24/2017","45","PM2.5","Ukiah-Library","06-045-0006","AQS","35","2","45"
"02/25/2017","46","PM2.5","Ukiah-Library","06-045-0006","AQS","33","4","46"
"02/26/2017","42","PM2.5","Ukiah-Library","06-045-0006","AQS","34","2","42"
"02/27/2017","35","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","35","4","25"
"02/28/2017","38","PM2.5","Ukiah-Library","06-045-0006","AQS","36","4","38"
"03/01/2017","35","PM2.5","Ukiah-Library","06-045-0006","AQS","31","3","35"
"03/02/2017","32","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","32","5","31"
"03/03/2017","31","PM2.5","Ukiah-Library","06-045-0006","AQS","25","4","31"
"03/04/2017","40","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","40","4","23"
"03/05/2017","43","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","43","6","19"
"03/06/2017","36","PM2.5","Ukiah-Library","06-045-0006","AQS","32","2","36"
"03/07/2017","35","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","35","4","27"
"03/08/2017","32","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","32","8","30"
"03/09/2017","25","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","25","5","18"
"03/10/2017","24","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","24","6","17"
"03/11/2017","31","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","31","5","21"
"03/12/2017","32","Ozone","Ukiah-Gobbi Street","06-045-0008","AQS","32","2","21"
