"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM25","NO2"
"01/01/2017","45","PM2.5","Redwood City","06-081-1001","AQS","2","33","45","19"
"01/02/2017","25","Ozone","Redwood City","06-081-1001","AQS","2","25","18","22"
"01/03/2017","25","Ozone","Redwood City","06-081-1001","AQS","2","25","14","13"
"01/04/2017","25","Ozone","Redwood City","06-081-1001","AQS","3","25","15","24"
"01/05/2017","28","NO2","Redwood City","06-081-1001","AQS","5","27","26","28"
"01/06/2017","32","NO2","Redwood City","06-081-1001","AQS","7","19","21","32"
"01/07/2017","28","Ozone","Redwood City","06-081-1001","AQS","5","28","16","16"
"01/08/2017","32","Ozone","Redwood City","06-081-1001","AQS","2","32","9","3"
"01/09/2017","36","Ozone","Redwood City","06-081-1001","AQS","5","36","11","24"
"01/10/2017","40","Ozone","Redwood City","06-081-1001","AQS","3","40","12","13"
"01/11/2017","36","Ozone","Redwood City","06-081-1001","AQS","3","36","20","23"
"01/12/2017","28","NO2","Redwood City","06-081-1001","AQS","5","25","16","28"
"01/13/2017","28","PM2.5","Redwood City","06-081-1001","AQS","9","19","28","25"
"01/14/2017","26","PM2.5","Redwood City","06-081-1001","AQS","8","19","26","20"
"01/15/2017","49","PM2.5","Redwood City","06-081-1001","AQS","6","15","49","21"
"01/16/2017","49","PM2.5","Redwood City","06-081-1001","AQS","8","22","49","26"
"01/17/2017","65","PM2.5","Redwood City","06-081-1001","AQS","7","9","65","25"
"01/18/2017","38","PM2.5","Redwood City","06-081-1001","AQS","7","37","38","26"
"01/19/2017","33","NO2","Redwood City","06-081-1001","AQS","6","31","13","33"
"01/20/2017","35","Ozone","Redwood City","06-081-1001","AQS","5","35","9","26"
"01/21/2017","34","Ozone","Redwood City","06-081-1001","AQS","3","34","17","8"
"01/22/2017","33","Ozone","Redwood City","06-081-1001","AQS","3","33","8","19"
"01/23/2017","31","Ozone","Redwood City","06-081-1001","AQS","6","31","12","25"
"01/24/2017","29","NO2","Redwood City","06-081-1001","AQS","9","21","19","29"
"01/25/2017","30","PM2.5","Redwood City","06-081-1001","AQS","9","21","30","24"
"01/26/2017","34","PM2.5","Redwood City","06-081-1001","AQS","9","19","34","28"
"01/27/2017","25","PM2.5","Redwood City","06-081-1001","AQS","9","22","25","25"
"01/28/2017","38","PM2.5","Redwood City","06-081-1001","AQS","7","23","38","27"
"01/29/2017","52","PM2.5","Redwood City","06-081-1001","AQS","8","28","52","25"
"01/30/2017","53","PM2.5","Redwood City","06-081-1001","AQS","14","11","53","39"
"01/31/2017","70","PM2.5","Redwood City","06-081-1001","AQS","11","9","70","38"
"02/01/2017","69","PM2.5","Redwood City","06-081-1001","AQS","11","19","69","30"
"02/02/2017","30","Ozone","Redwood City","06-081-1001","AQS","6","30","14","21"
"02/03/2017","34","Ozone","Redwood City","06-081-1001","AQS","5","34","11","10"
"02/04/2017","32","Ozone","Redwood City","06-081-1001","AQS","7","32","23","20"
"02/05/2017","31","Ozone","Redwood City","06-081-1001","AQS","8","31","17","15"
"02/06/2017","33","Ozone","Redwood City","06-081-1001","AQS","6","33","14","24"
"02/07/2017","25","Ozone","Redwood City","06-081-1001","AQS","5","25","11","16"
"02/08/2017","16","Ozone","Redwood City","06-081-1001","AQS","5","16","15","11"
"02/09/2017","29","Ozone","Redwood City","06-081-1001","AQS","5","29","8","11"
"02/10/2017","33","Ozone","Redwood City","06-081-1001","AQS","5","33","15","20"
"02/11/2017","27","Ozone","Redwood City","06-081-1001","AQS","6","27","19","21"
"02/12/2017","28","Ozone","Redwood City","06-081-1001","AQS","6","28","26","18"
"02/13/2017","49","PM2.5","Redwood City","06-081-1001","AQS","9","10","49","28"
"02/14/2017","44","PM2.5","Redwood City","06-081-1001","AQS","10","19","44","28"
"02/15/2017","53","PM2.5","Redwood City","06-081-1001","AQS",".",".","53","."
"02/16/2017","36","Ozone","Redwood City","06-081-1001","AQS","6","36","27","17"
"02/17/2017","31","Ozone","Redwood City","06-081-1001","AQS","5","31","5","11"
"02/18/2017","37","Ozone","Redwood City","06-081-1001","AQS","3","37","15","10"
"02/19/2017","13","PM2.5","Redwood City","06-081-1001","AQS","3",".","13","9"
"02/20/2017","40","Ozone","Redwood City","06-081-1001","AQS","5","40","12","13"
"02/21/2017","33","Ozone","Redwood City","06-081-1001","AQS","5","33","12","25"
"02/22/2017","35","Ozone","Redwood City","06-081-1001","AQS","8","35","13","25"
"02/23/2017","33","NO2","Redwood City","06-081-1001","AQS","6","32","23","33"
"02/24/2017","32","Ozone","Redwood City","06-081-1001","AQS","8","32","25","24"
"02/25/2017","38","Ozone","Redwood City","06-081-1001","AQS","6","38","16","20"
"02/26/2017","37","Ozone","Redwood City","06-081-1001","AQS","6","37","20","18"
