"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM25"
"01/07/2017","53","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","53"
"01/08/2017","95","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","95"
"01/09/2017","55","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","55"
"01/10/2017","86","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","86"
"01/11/2017","51","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","51"
"01/12/2017","57","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","57"
"01/13/2017","63","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","63"
"01/14/2017","81","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","81"
"01/15/2017","79","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","79"
"01/16/2017","77","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","77"
"01/17/2017","91","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","91"
"01/18/2017","59","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","59"
"01/19/2017","104","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","104"
"01/20/2017","51","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","51"
"01/21/2017","40","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","40"
"01/22/2017","50","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","50"
"01/23/2017","51","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","51"
"01/24/2017","48","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","48"
"01/25/2017","61","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","61"
"01/26/2017","65","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","65"
"01/27/2017","69","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","69"
"01/28/2017","64","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","64"
"01/29/2017","58","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","58"
"01/30/2017","57","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","57"
"01/31/2017","91","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","91"
"02/01/2017","96","PM2.5","Weaverville-Courthouse","06-105-0002","AQS","96"
